,gene_id,database,kegg_id
2750,b0002,KEGG_pathway,map00260
2751,b0002,KEGG_pathway,map00261
2752,b0002,KEGG_pathway,map00270
2753,b0002,KEGG_pathway,map00300
2754,b0002,KEGG_pathway,map01100
2755,b0002,KEGG_pathway,map01110
2756,b0002,KEGG_pathway,map01120
2757,b0002,KEGG_pathway,map01130
2758,b0002,KEGG_pathway,map01230
2764,b0003,KEGG_pathway,map00260
2765,b0003,KEGG_pathway,map01100
2766,b0003,KEGG_pathway,map01110
2767,b0003,KEGG_pathway,map01120
2768,b0003,KEGG_pathway,map01230
2775,b0004,KEGG_pathway,map00260
2776,b0004,KEGG_pathway,map00750
2777,b0004,KEGG_pathway,map01100
2778,b0004,KEGG_pathway,map01110
2779,b0004,KEGG_pathway,map01120
2780,b0004,KEGG_pathway,map01230
2784,b0009,KEGG_pathway,map00790
2785,b0009,KEGG_pathway,map01100
2786,b0009,KEGG_pathway,map04122
2790,b0014,KEGG_pathway,map03018
2791,b0014,KEGG_pathway,map04212
2792,b0014,KEGG_pathway,map05152
2794,b0023,KEGG_pathway,map03010
2796,b0026,KEGG_pathway,map00970
2798,b0027,KEGG_pathway,map03060
2803,b0029,KEGG_pathway,map00900
2804,b0029,KEGG_pathway,map01100
2805,b0029,KEGG_pathway,map01110
2806,b0029,KEGG_pathway,map01130
2814,b0031,KEGG_pathway,map00261
2815,b0031,KEGG_pathway,map00300
2816,b0031,KEGG_pathway,map01100
2817,b0031,KEGG_pathway,map01110
2818,b0031,KEGG_pathway,map01120
2819,b0031,KEGG_pathway,map01130
2820,b0031,KEGG_pathway,map01230
2824,b0032,KEGG_pathway,map00240
2825,b0032,KEGG_pathway,map00250
2826,b0032,KEGG_pathway,map01100
2830,b0033,KEGG_pathway,map00240
2831,b0033,KEGG_pathway,map00250
2832,b0033,KEGG_pathway,map01100
2834,b0049,KEGG_pathway,map00230
2837,b0052,KEGG_pathway,map00750
2838,b0052,KEGG_pathway,map01100
2843,b0061,KEGG_pathway,map00040
2844,b0061,KEGG_pathway,map00053
2845,b0061,KEGG_pathway,map01100
2846,b0061,KEGG_pathway,map01120
2849,b0062,KEGG_pathway,map00040
2850,b0062,KEGG_pathway,map01100
2853,b0063,KEGG_pathway,map00040
2854,b0063,KEGG_pathway,map01100
2856,b0066,KEGG_pathway,map02010
2858,b0067,KEGG_pathway,map02010
2860,b0068,KEGG_pathway,map02010
2867,b0071,KEGG_pathway,map00290
2868,b0071,KEGG_pathway,map00660
2869,b0071,KEGG_pathway,map01100
2870,b0071,KEGG_pathway,map01110
2871,b0071,KEGG_pathway,map01210
2872,b0071,KEGG_pathway,map01230
2880,b0072,KEGG_pathway,map00290
2881,b0072,KEGG_pathway,map00660
2882,b0072,KEGG_pathway,map00966
2883,b0072,KEGG_pathway,map01100
2884,b0072,KEGG_pathway,map01110
2885,b0072,KEGG_pathway,map01210
2886,b0072,KEGG_pathway,map01230
2893,b0073,KEGG_pathway,map00290
2894,b0073,KEGG_pathway,map00660
2895,b0073,KEGG_pathway,map01100
2896,b0073,KEGG_pathway,map01110
2897,b0073,KEGG_pathway,map01210
2898,b0073,KEGG_pathway,map01230
2905,b0074,KEGG_pathway,map00290
2906,b0074,KEGG_pathway,map00620
2907,b0074,KEGG_pathway,map01100
2908,b0074,KEGG_pathway,map01110
2909,b0074,KEGG_pathway,map01210
2910,b0074,KEGG_pathway,map01230
2920,b0077,KEGG_pathway,map00290
2921,b0077,KEGG_pathway,map00650
2922,b0077,KEGG_pathway,map00660
2923,b0077,KEGG_pathway,map00770
2924,b0077,KEGG_pathway,map01100
2925,b0077,KEGG_pathway,map01110
2926,b0077,KEGG_pathway,map01130
2927,b0077,KEGG_pathway,map01210
2928,b0077,KEGG_pathway,map01230
2938,b0078,KEGG_pathway,map00290
2939,b0078,KEGG_pathway,map00650
2940,b0078,KEGG_pathway,map00660
2941,b0078,KEGG_pathway,map00770
2942,b0078,KEGG_pathway,map01100
2943,b0078,KEGG_pathway,map01110
2944,b0078,KEGG_pathway,map01130
2945,b0078,KEGG_pathway,map01210
2946,b0078,KEGG_pathway,map01230
2949,b0084,KEGG_pathway,map00550
2950,b0084,KEGG_pathway,map01501
2953,b0085,KEGG_pathway,map00300
2954,b0085,KEGG_pathway,map00550
2959,b0086,KEGG_pathway,map00300
2960,b0086,KEGG_pathway,map00550
2961,b0086,KEGG_pathway,map01100
2962,b0086,KEGG_pathway,map01502
2966,b0088,KEGG_pathway,map00471
2967,b0088,KEGG_pathway,map00550
2968,b0088,KEGG_pathway,map01100
2970,b0089,KEGG_pathway,map04112
2975,b0090,KEGG_pathway,map00550
2976,b0090,KEGG_pathway,map01100
2977,b0090,KEGG_pathway,map01502
2978,b0090,KEGG_pathway,map04112
2982,b0091,KEGG_pathway,map00471
2983,b0091,KEGG_pathway,map00550
2984,b0091,KEGG_pathway,map01100
2989,b0092,KEGG_pathway,map00473
2990,b0092,KEGG_pathway,map00550
2991,b0092,KEGG_pathway,map01100
2992,b0092,KEGG_pathway,map01502
2994,b0093,KEGG_pathway,map04112
2996,b0094,KEGG_pathway,map04112
2998,b0095,KEGG_pathway,map04112
3001,b0096,KEGG_pathway,map00540
3002,b0096,KEGG_pathway,map01100
3006,b0098,KEGG_pathway,map02024
3007,b0098,KEGG_pathway,map03060
3008,b0098,KEGG_pathway,map03070
3011,b0103,KEGG_pathway,map00770
3012,b0103,KEGG_pathway,map01100
3014,b0104,KEGG_pathway,map00230
3017,b0109,KEGG_pathway,map00760
3018,b0109,KEGG_pathway,map01100
3027,b0114,KEGG_pathway,map00010
3028,b0114,KEGG_pathway,map00020
3029,b0114,KEGG_pathway,map00620
3030,b0114,KEGG_pathway,map01100
3031,b0114,KEGG_pathway,map01110
3032,b0114,KEGG_pathway,map01120
3033,b0114,KEGG_pathway,map01130
3034,b0114,KEGG_pathway,map01200
3043,b0115,KEGG_pathway,map00010
3044,b0115,KEGG_pathway,map00020
3045,b0115,KEGG_pathway,map00620
3046,b0115,KEGG_pathway,map01100
3047,b0115,KEGG_pathway,map01110
3048,b0115,KEGG_pathway,map01120
3049,b0115,KEGG_pathway,map01130
3050,b0115,KEGG_pathway,map01200
3063,b0116,KEGG_pathway,map00010
3064,b0116,KEGG_pathway,map00020
3065,b0116,KEGG_pathway,map00260
3066,b0116,KEGG_pathway,map00280
3067,b0116,KEGG_pathway,map00620
3068,b0116,KEGG_pathway,map00630
3069,b0116,KEGG_pathway,map00640
3070,b0116,KEGG_pathway,map01100
3071,b0116,KEGG_pathway,map01110
3072,b0116,KEGG_pathway,map01120
3073,b0116,KEGG_pathway,map01130
3074,b0116,KEGG_pathway,map01200
3086,b0118,KEGG_pathway,map00020
3087,b0118,KEGG_pathway,map00630
3088,b0118,KEGG_pathway,map00640
3089,b0118,KEGG_pathway,map00720
3090,b0118,KEGG_pathway,map01100
3091,b0118,KEGG_pathway,map01110
3092,b0118,KEGG_pathway,map01120
3093,b0118,KEGG_pathway,map01130
3094,b0118,KEGG_pathway,map01200
3095,b0118,KEGG_pathway,map01210
3096,b0118,KEGG_pathway,map01230
3100,b0120,KEGG_pathway,map00270
3101,b0120,KEGG_pathway,map00330
3102,b0120,KEGG_pathway,map01100
3108,b0121,KEGG_pathway,map00270
3109,b0121,KEGG_pathway,map00330
3110,b0121,KEGG_pathway,map00410
3111,b0121,KEGG_pathway,map00480
3112,b0121,KEGG_pathway,map01100
3117,b0124,KEGG_pathway,map00030
3118,b0124,KEGG_pathway,map01100
3119,b0124,KEGG_pathway,map01110
3120,b0124,KEGG_pathway,map01130
3125,b0125,KEGG_pathway,map00230
3126,b0125,KEGG_pathway,map00983
3127,b0125,KEGG_pathway,map01100
3128,b0125,KEGG_pathway,map01110
3133,b0131,KEGG_pathway,map00410
3134,b0131,KEGG_pathway,map00770
3135,b0131,KEGG_pathway,map01100
3136,b0131,KEGG_pathway,map01110
3141,b0133,KEGG_pathway,map00410
3142,b0133,KEGG_pathway,map00770
3143,b0133,KEGG_pathway,map01100
3144,b0133,KEGG_pathway,map01110
3148,b0134,KEGG_pathway,map00770
3149,b0134,KEGG_pathway,map01100
3150,b0134,KEGG_pathway,map01110
3152,b0139,KEGG_pathway,map05133
3155,b0142,KEGG_pathway,map00790
3156,b0142,KEGG_pathway,map01100
3158,b0143,KEGG_pathway,map03018
3160,b0149,KEGG_pathway,map00550
3162,b0151,KEGG_pathway,map02010
3164,b0152,KEGG_pathway,map02010
3166,b0153,KEGG_pathway,map02010
3171,b0154,KEGG_pathway,map00860
3172,b0154,KEGG_pathway,map01100
3173,b0154,KEGG_pathway,map01110
3174,b0154,KEGG_pathway,map01120
3176,b0158,KEGG_pathway,map02010
3180,b0159,KEGG_pathway,map00270
3181,b0159,KEGG_pathway,map01100
3182,b0159,KEGG_pathway,map01230
3184,b0160,KEGG_pathway,map00230
3187,b0161,KEGG_pathway,map01503
3188,b0161,KEGG_pathway,map02020
3190,b0167,KEGG_pathway,map02020
3192,b0169,KEGG_pathway,map03010
3195,b0171,KEGG_pathway,map00240
3196,b0171,KEGG_pathway,map01100
3201,b0173,KEGG_pathway,map00900
3202,b0173,KEGG_pathway,map01100
3203,b0173,KEGG_pathway,map01110
3204,b0173,KEGG_pathway,map01130
3207,b0174,KEGG_pathway,map00900
3208,b0174,KEGG_pathway,map01110
3213,b0175,KEGG_pathway,map00564
3214,b0175,KEGG_pathway,map01100
3215,b0175,KEGG_pathway,map01110
3216,b0175,KEGG_pathway,map04070
3219,b0176,KEGG_pathway,map02024
3220,b0176,KEGG_pathway,map04112
3223,b0179,KEGG_pathway,map00540
3224,b0179,KEGG_pathway,map01100
3229,b0180,KEGG_pathway,map00061
3230,b0180,KEGG_pathway,map00780
3231,b0180,KEGG_pathway,map01100
3232,b0180,KEGG_pathway,map01212
3236,b0181,KEGG_pathway,map00540
3237,b0181,KEGG_pathway,map01100
3238,b0181,KEGG_pathway,map01503
3241,b0182,KEGG_pathway,map00540
3242,b0182,KEGG_pathway,map01100
3244,b0183,KEGG_pathway,map03030
3251,b0184,KEGG_pathway,map00230
3252,b0184,KEGG_pathway,map00240
3253,b0184,KEGG_pathway,map01100
3254,b0184,KEGG_pathway,map03030
3255,b0184,KEGG_pathway,map03430
3256,b0184,KEGG_pathway,map03440
3267,b0185,KEGG_pathway,map00061
3268,b0185,KEGG_pathway,map00620
3269,b0185,KEGG_pathway,map00640
3270,b0185,KEGG_pathway,map00720
3271,b0185,KEGG_pathway,map01100
3272,b0185,KEGG_pathway,map01110
3273,b0185,KEGG_pathway,map01120
3274,b0185,KEGG_pathway,map01130
3275,b0185,KEGG_pathway,map01200
3276,b0185,KEGG_pathway,map01212
3281,b0186,KEGG_pathway,map00310
3282,b0186,KEGG_pathway,map00960
3283,b0186,KEGG_pathway,map01100
3284,b0186,KEGG_pathway,map01110
3286,b0192,KEGG_pathway,map01503
3288,b0194,KEGG_pathway,map00970
3290,b0196,KEGG_pathway,map02020
3292,b0197,KEGG_pathway,map02010
3294,b0198,KEGG_pathway,map02010
3296,b0199,KEGG_pathway,map02010
3299,b0200,KEGG_pathway,map00540
3300,b0200,KEGG_pathway,map01100
3302,b0212,KEGG_pathway,map00620
3304,b0214,KEGG_pathway,map03030
3311,b0215,KEGG_pathway,map00230
3312,b0215,KEGG_pathway,map00240
3313,b0215,KEGG_pathway,map01100
3314,b0215,KEGG_pathway,map03030
3315,b0215,KEGG_pathway,map03430
3316,b0215,KEGG_pathway,map03440
3318,b0219,KEGG_pathway,map00250
3322,b0221,KEGG_pathway,map00071
3323,b0221,KEGG_pathway,map01100
3324,b0221,KEGG_pathway,map01212
3327,b0222,KEGG_pathway,map00540
3328,b0222,KEGG_pathway,map01100
3330,b0229,KEGG_pathway,map02040
3333,b0230,KEGG_pathway,map02030
3334,b0230,KEGG_pathway,map02040
3337,b0237,KEGG_pathway,map00480
3338,b0237,KEGG_pathway,map01100
3342,b0238,KEGG_pathway,map00230
3343,b0238,KEGG_pathway,map01100
3344,b0238,KEGG_pathway,map01110
3350,b0242,KEGG_pathway,map00330
3351,b0242,KEGG_pathway,map00332
3352,b0242,KEGG_pathway,map01100
3353,b0242,KEGG_pathway,map01130
3354,b0242,KEGG_pathway,map01230
