Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
DRX031195	25217994	17456203	110901	4865159	0	0	0	0	6395	0	0	0	0	1883692	839817	55827	69.22121957836931	25217994.0	20352835.0	80.71	4865159.0	19.29	DRX031195_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25217994.0	0.0	20-100	51.0	14.722114820220842	98.23294319127842	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	26592329	8427700	26592329	2659232900	73021843	2565539510	3.52332396308725	0.0159	0.4219	0.5622		
DRX031196	24774281	15204668	3264278	3961751	0	0	0	0	6900	0	0	0	0	1632814	660068	43802	61.372792211406654	24774281.0	20812530.0	84.01	3961751.0	15.99	DRX031196_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24774281.0	0.0	20-100	51.0	16.09198272301598	97.68866220577704	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	26117419	8207529	26117419	2611741900	71332670	2517425090	3.611260745175471	0.0135	0.3698	0.6168		
DRX031197	18545212	14045303	9731	2221904	0	0	0	0	4544	0	0	0	0	1550067	673782	39881	75.73546746189798	18545212.0	16323308.0	88.02	2221904.0	11.98	DRX031197_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18545212.0	0.0	20-100	51.0	19.75782583880626	97.75639049044034	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	19594506	6245348	19594506	1959450600	52616332	1889870351	3.5510080733854683	0.016	0.4219	0.562		
DRX031198	16763422	11126271	1775427	1904285	0	0	0	0	4677	0	0	0	0	1397392	523375	31995	66.37231348110188	16763422.0	14859137.0	88.64	1904285.0	11.36	DRX031198_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16763422.0	0.0	20-100	51.0	19.593529666553295	97.67445620589878	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	17681516	5559827	17681516	1768151600	43990901	1708750227	3.359518097882557	0.0163	0.3845	0.5991		
DRX031199	20476660	15180916	411617	2435552	0	0	0	0	6831	0	0	0	0	1660009	743272	38463	74.13765721558106	20476660.0	18041108.0	88.11	2435552.0	11.89	DRX031199_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20476660.0	0.0	20-100	50.0	19.11685267971385	97.54353014602968	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	21509141	7103151	21509141	2150914100	56898541	2071576219	3.688565759088194	0.0155	0.418	0.5665		
DRX031200	15918232	9513623	3206180	1620970	0	0	0	0	5339	0	0	0	0	1105766	442990	23364	59.765575724741296	15918232.0	14297262.0	89.82	1620970.0	10.18	DRX031200_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15918232.0	0.0	20-100	51.0	19.335110843607588	97.52249659384285	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	16742873	5381889	16742873	1674287300	42891949	1615258053	3.525634280329308	0.0137	0.3573	0.629		
DRX031201	20763308	15736302	19763	2546584	0	0	0	0	5153	0	0	0	0	1665701	743719	46086	75.78899277513969	20763308.0	18216724.0	87.74	2546584.0	12.26	DRX031201_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20763308.0	0.0	20-100	51.0	19.036002776172023	97.78850528056512	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	21842790	6963506	21842790	2184279000	55231529	2110526131	3.3765315236744025	0.0151	0.4196	0.5653		
DRX031202	28056150	18576249	1620782	4607744	0	0	0	0	8962	0	0	0	0	2325917	865633	50863	66.21096978737282	28056150.0	23448406.0	83.58	4607744.0	16.42	DRX031202_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28056150.0	0.0	20-100	51.0	14.362591195919716	98.00202415513176	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	29379411	9557069	29379411	2937941100	69918017	2837879016	3.4058573876787386	0.0168	0.3969	0.5863		
DRX031203	25275377	17853074	1741437	2834122	0	0	0	0	8606	0	0	0	0	1991143	804312	42683	70.63425404099807	25275377.0	22441255.0	88.79	2834122.0	11.21	DRX031203_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25275377.0	0.0	20-100	51.0	13.8652254598249	97.99530926877964	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	26565222	8595329	26565222	2656522200	73156547	2557290330	3.735405260306125	0.0123	0.397	0.5907		
DRX031204	8075077	5398218	8489	602160	0	0	0	0	7054	0	0	0	0	1773553	276011	9592	66.85035944548888	8075077.0	7472917.0	92.54	602160.0	7.46	DRX031204_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8075077.0	0.0	20-100	51.0	22.26688256805698	97.29002658426664	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	8414098	2869889	8414098	841409800	15582248	813387404	3.330409985716829	0.0182	0.5473	0.4345		
DRX031205	6248607	4288938	2327	451631	0	0	0	0	2743	0	0	0	0	1275866	218830	8272	68.63830610566482	6248607.0	5796976.0	92.77	451631.0	7.23	DRX031205_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6248607.0	0.0	20-100	51.0	25.67780911394736	97.64052788085408	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6558511	2153488	6558511	655851100	14255063	631353933	3.7351720535347126	0.0179	0.5398	0.4423		
DRX031206	13156374	7892214	382740	805924	0	0	0	0	8643	0	0	0	0	3660657	388580	17616	59.9877595452972	13156374.0	12350450.0	93.87	805924.0	6.13	DRX031206_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13156374.0	0.0	20-100	52.0	15.671934167358843	97.89373379017654	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	13646328	4355916	13646328	1364632800	27658670	1322208313	3.1088573424294066	0.0982	0.4894	0.4125		
DRX031207	17024511	11586178	49938	1175363	0	0	0	0	14367	0	0	0	0	3628711	547828	22126	68.05586368971184	17024511.0	15849148.0	93.1	1175363.0	6.9	DRX031207_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17024511.0	0.0	20-100	51.0	14.334879745966996	97.74711567339584	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17680351	5797436	17680351	1768035100	34780962	1711543253	3.19517678127544	0.0163	0.5366	0.4471		
DRX031208	23889798	12993486	2039408	1306121	0	0	0	0	18137	0	0	0	0	6895268	611316	26062	54.38926691636321	23889798.0	22583677.0	94.53	1306121.0	5.47	DRX031208_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23889798.0	0.0	20-100	52.0	12.35025186528069	97.80605512026514	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	24906114	8086802	24906114	2490611400	54494495	2407380786	3.3417743932273014	0.1094	0.4525	0.4381		
DRX031209	17334771	11931399	50700	1230401	0	0	0	0	13067	0	0	0	0	3498887	585267	25050	68.82928537100375	17334771.0	16104370.0	92.9	1230401.0	7.1	DRX031209_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17334771.0	0.0	20-100	51.0	14.95345701540352	97.75577837169006	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18056867	5900192	18056867	1805686700	39414605	1744990050	3.3614164627783985	0.017	0.5316	0.4514		
DRX031210	20240079	12426277	566882	974014	0	0	0	0	18833	0	0	0	0	5557577	671364	25132	61.394409577156296	20240079.0	19266065.0	95.19	974014.0	4.81	DRX031210_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20240079.0	0.0	20-100	51.0	16.4961237948155	97.525349085841	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	21056572	6898107	21056572	2105657200	44044198	2035601206	3.3270369934859296	0.0802	0.4874	0.4325		
DRX031211	31294808	17258419	2638012	1882460	0	0	0	0	33144	0	0	0	0	8514606	933726	34441	55.14786670044437	31294808.0	29412348.0	93.98	1882460.0	6.02	DRX031211_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31294808.0	0.0	20-100	52.0	13.92913473214325	97.3057272631294	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	32583175	10680646	32583175	3258317500	73006122	3141200643	3.594396709344624	0.1039	0.4702	0.4259		
DRX031212	18839973	10104862	3454400	1095492	0	0	0	0	13226	0	0	0	0	3620204	528823	22966	53.635225485726544	18839973.0	17744481.0	94.19	1095492.0	5.81	DRX031212_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18839973.0	0.0	20-100	52.0	13.437132015005684	97.8976773480514	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	19598872	6121197	19598872	1959887200	39735781	1899032783	3.1049958895593583	0.0497	0.4491	0.5012		
DRX085437	1903121	170323	1522934	103020	0	0	0	0	57720	0	0	0	0	40846	7835	443	8.94966741473611	1903121.0	1800101.0	94.59	103020.0	5.41	DRX085437_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1903121.0	0.0	21-76	52.0	10.99761862241904	73.2933849187729	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	1921819	242456	1921819	140992163	744145	139763632	0.8713470123867808	0.0137	0.1281	0.8582		
DRX085438	1861128	166982	1486679	104432	0	0	0	0	55185	0	0	0	0	39837	7674	339	8.972085745848753	1861128.0	1756696.0	94.39	104432.0	5.61	DRX085438_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1861128.0	0.0	26-76	52.0	11.43030273023304	73.3143813859122	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	1878528	244064	1878528	137902473	745485	136684010	0.8835686362201787	0.0141	0.1277	0.8581		
DRX085439	3419761	247722	2872247	150395	0	0	0	0	81427	0	0	0	0	54450	12402	1118	7.243839554869477	3419761.0	3269366.0	95.6	150395.0	4.4	DRX085439_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3419761.0	0.0	20-76	53.0	7.748585093705347	73.71729369391603	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	3442329	483007	3442329	254111111	1008065	252339213	0.6972926107115403	0.0095	0.1293	0.8611		
DRX085440	3337676	241227	2798370	154210	0	0	0	0	77810	0	0	0	0	53073	11867	1119	7.227394150900207	3337676.0	3183466.0	95.38	154210.0	4.62	DRX085440_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3337676.0	0.0	20-76	53.0	10.483056375877103	73.51926250480874	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	3358857	368106	3358857	248264897	756611	246951498	0.5290312951492292	0.0095	0.1288	0.8618		
DRX085441	2741143	397930	2144695	87402	0	0	0	0	20052	0	0	0	0	69509	18732	2823	14.516936912813378	2741143.0	2653741.0	96.81	87402.0	3.19	DRX085441_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2741143.0	0.0	20-76	53.0	12.323756303508898	74.59473219748112	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2745689	253979	2745689	205921323	160409	205435175	0.236084341785236	0.0077	0.1633	0.829		
DRX085442	2675597	388676	2093930	84622	0	0	0	0	19328	0	0	0	0	68060	18179	2802	14.526701891204096	2675597.0	2590975.0	96.84	84622.0	3.16	DRX085442_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2675597.0	0.0	23-76	53.0	10.522469042746083	74.7165922222218	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2679983	249168	2679983	201037641	172502	200543616	0.245737563146197	0.0077	0.1612	0.8311		
DRX085443	2897864	357365	1875024	408839	0	0	0	0	52028	0	0	0	0	189887	13862	859	12.332014200804457	2897864.0	2489025.0	85.89	408839.0	14.11	DRX085443_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2897864.0	0.0	22-76	52.0	12.880811799290182	73.8266081500029	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2913374	598334	2913374	216095905	515673	214793537	0.6026805551914554	0.0224	0.1847	0.793		
DRX085444	2885421	348581	1831095	457419	0	0	0	0	49360	0	0	0	0	184786	13365	815	12.080767416609223	2885421.0	2428002.0	84.15	457419.0	15.85	DRX085444_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2885421.0	0.0	20-76	52.0	18.365501181801115	73.1132690862096	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2899785	643593	2899785	215189623	521174	213844627	0.6250282802902629	0.022	0.1848	0.7933		
DRX085445	2622283	432599	1870843	74282	0	0	0	0	17155	0	0	0	0	205503	19711	2190	16.49703712375819	2622283.0	2548001.0	97.17	74282.0	2.83	DRX085445_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2622283.0	0.0	20-76	52.0	15.814443077997334	74.62109314669698	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2626386	277578	2626386	196978279	142386	196487426	0.2491914349601968	0.0183	0.1933	0.7884		
DRX085446	2550407	421490	1818679	71874	0	0	0	0	16686	0	0	0	0	200629	18958	2091	16.526381867678374	2550407.0	2478533.0	97.18	71874.0	2.82	DRX085446_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2550407.0	0.0	26-76	52.0	13.145622295878113	74.69688249757783	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2554231	272045	2554231	191586088	152100	191093324	0.2572023914387771	0.0181	0.1954	0.7866		
DRX085447	2742659	433558	1960754	94198	0	0	0	0	18860	0	0	0	0	214445	18901	1943	15.807944042624328	2742659.0	2648461.0	96.57	94198.0	3.43	DRX085447_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2742659.0	0.0	21-76	52.0	13.030570355046306	74.68876444355642	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2747267	307615	2747267	206018736	158327	205485762	0.2587017134208609	0.0188	0.1866	0.7945		
DRX085448	2675828	421266	1913826	91540	0	0	0	0	18177	0	0	0	0	210993	18212	1814	15.743388588504196	2675828.0	2584288.0	96.58	91540.0	3.42	DRX085448_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2675828.0	0.0	25-76	52.0	13.423943101177947	74.6863094339397	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	2680084	301616	2680084	201010406	167829	200474465	0.26662351002863	0.0182	0.1863	0.7955		
DRX085449	1465105	163077	1119082	63474	0	0	0	0	34391	0	0	0	0	79539	5140	402	11.13073806996768	1465105.0	1401631.0	95.67	63474.0	4.33	DRX085449_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1465105.0	0.0	25-76	53.0	15.101218521673704	73.7090624904017	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	1480593	180962	1480593	109406181	305841	108379171	0.9387129599195132	0.0195	0.1576	0.8229		
DRX085450	1424601	159654	1087652	62715	0	0	0	0	32492	0	0	0	0	76610	5067	411	11.206927413359953	1424601.0	1361886.0	95.6	62715.0	4.4	DRX085450_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1424601.0	0.0	20-76	53.0	18.263690956615093	73.63916352719112	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	2.6	1439381	178370	1439381	106405111	301005	105401561	0.9431407857842468	0.0205	0.159	0.8205		
DRX085451	4193721	673918	2848876	149096	0	0	0	0	145887	0	0	0	0	354711	19935	1298	16.069690854494134	4193721.0	4044625.0	96.44	149096.0	3.56	DRX085451_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4193721.0	0.0	20-76	53.0	17.643595524112605	72.96339837580993	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	2.6	4233501	541857	4233501	309616294	1318903	307411555	0.7120875234040492	0.0312	0.1764	0.7924		
DRX085452	4081274	654605	2773925	150441	0	0	0	0	137801	0	0	0	0	343956	19280	1266	16.039231867304178	4081274.0	3930833.0	96.31	150441.0	3.69	DRX085452_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4081274.0	0.0	24-76	53.0	14.670001388202287	73.0801009684721	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	4118199	533099	4118199	301441993	1258017	299323925	0.7026453013134106	0.0302	0.1773	0.7926		
DRX085453	2995631	516299	2060414	135698	0	0	0	0	16252	0	0	0	0	245650	19350	1968	17.235066668758602	2995631.0	2859933.0	95.47	135698.0	4.53	DRX085453_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2995631.0	0.0	26-76	53.0	13.76604884484298	74.79720032273669	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	2.6	2998931	333063	2998931	225266701	120061	224762354	0.2238888383241338	0.0225	0.177	0.8005		
DRX085454	2917525	502545	2007522	132769	0	0	0	0	15345	0	0	0	0	238322	19116	1906	17.22504520098371	2917525.0	2784756.0	95.45	132769.0	4.55	DRX085454_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2917525.0	0.0	20-76	53.0	17.58599484570479	74.71002716343476	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	2.6	2920770	326600	2920770	219427415	140356	218907243	0.2370588014264307	0.0225	0.1771	0.8003		
DRX086603	81262383	72329	78695828	2108298	0	0	0	0	94547	0	0	0	0	287528	3716	137	0.0890067425170143	81262383.0	79154085.0	97.41	2108298.0	2.59	DRX086603_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81262383.0	0.0	20-100	54.0	2.2935697510726034	97.01508654994772	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	84523686	34178453	84523686	8452368600	351638120	7966493605	5.748388623278923	0.0005	0.1015	0.898		
DRX086604	56809770	54706	54952617	1569532	0	0	0	0	46815	0	0	0	0	183285	2689	126	0.0962968165510967	56809770.0	55240238.0	97.24	1569532.0	2.76	DRX086604_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56809770.0	0.0	20-100	54.0	2.1410725963371964	97.706801523752	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	2.6	58982678	23588633	58982678	5898267800	239433734	5572345405	5.525730706903474	0.0005	0.1063	0.8932		
DRX086606	51305164	86905	49404719	1613849	0	0	0	0	28309	0	0	0	0	167360	3853	169	0.1693884069837492	51305164.0	49691315.0	96.85	1613849.0	3.15	DRX086606_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51305164.0	0.0	20-100	54.0	2.826392553976512	97.02116118369683	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	53648980	21467496	53648980	5364898000	250789500	5034977051	6.149622024500745	0.0004	0.1073	0.8922		
DRX086607	68370498	116237	65860924	2128585	0	0	0	0	54043	0	0	0	0	205151	5309	249	0.1700104626998621	68370498.0	66241913.0	96.89	2128585.0	3.11	DRX086607_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68370498.0	0.0	20-100	54.0	2.700751297238539	97.02483857876828	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	71644917	28364386	71644917	7164491700	349115702	6713887971	6.289402624334118	0.0003	0.1073	0.8924		
DRX086609	52825768	179768	50666231	1617246	0	0	0	0	38014	0	0	0	0	315870	8315	324	0.3403036184916422	52825768.0	51208522.0	96.94	1617246.0	3.06	DRX086609_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52825768.0	0.0	20-100	54.0	2.705954906313283	97.29974988721412	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	54590135	21975285	54590135	5459013500	193672872	5185369270	5.01270476799517	0.0003	0.1065	0.8932		
DRX086611	53739742	213749	51622643	1513684	0	0	0	0	47613	0	0	0	0	330943	10680	430	0.3977484670469761	53739742.0	52226058.0	97.18	1513684.0	2.82	DRX086611_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53739742.0	0.0	20-100	54.0	2.088725738433899	97.721295386941	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	2.6	55272828	22672317	55272828	5527282800	170076753	5269002246	4.672830454776079	0.0005	0.1068	0.8927		
DRX086612	84315818	152906	81697785	2066238	0	0	0	0	67189	0	0	0	0	322182	9028	490	0.1813491271590343	84315818.0	82249580.0	97.55	2066238.0	2.45	DRX086612_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	84315818.0	0.0	20-100	54.0	1.908788646247084	97.98012372957112	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	85471192	33255617	85471192	8547119200	153377275	8291910274	2.9859057774694424	0.0021	0.1057	0.8922		
DRX086613	33653654	53071	32499376	958975	0	0	0	0	11728	0	0	0	0	127070	3276	158	0.157697586122446	33653654.0	32694679.0	97.15	958975.0	2.85	DRX086613_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33653654.0	0.0	20-100	54.0	2.799743327879196	98.13703462928572	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	34288855	13019288	34288855	3428885500	78622156	3315150272	3.3169736347276686	0.0024	0.1077	0.8899		
