Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
DRX021104	14870930	10281994	9492	3067769	0	0	0	0	7738	0	0	0	0	995141	478704	30092	69.14156680180729	14870930.0	11803161.0	79.37	3067769.0	20.63	DRX021104_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14870930.0	0.0	20-101	50.0	18.56719404627905	99.17838050478348	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	15144738	4612439	15144738	1529618538	29427670	1492494984	2.426981177185498	0.2214	0.2159	0.5627		
DRX021105	14215095	10403257	25695	2092522	0	0	0	0	6292	0	0	0	0	1150233	500823	36273	73.18457597363928	14215095.0	12122573.0	85.28	2092522.0	14.72	DRX021105_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14215095.0	0.0	20-101	51.0	19.544276166017426	99.17594374149452	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	14421218	4407464	14421218	1456543018	24016434	1425201717	2.1517593790697087	0.219	0.2135	0.5675		
DRX021106	8068201	5495627	301993	1367371	0	0	0	0	3305	0	0	0	0	617902	266500	15503	68.11465158094103	8068201.0	6700830.0	83.05	1367371.0	16.95	DRX021106_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8068201.0	0.0	20-101	50.0	23.462330319575504	99.23699025346542	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass	2.6	8195758	2498391	8195758	827771558	14354677	809233404	2.2395253643155493	0.2392	0.2126	0.5482		
DRX021107	12305100	8797811	8003	2267367	0	0	0	0	6850	0	0	0	0	810337	386848	27884	71.49727348822846	12305100.0	10037733.0	81.57	2267367.0	18.43	DRX021107_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12305100.0	0.0	20-101	51.0	21.500635956464716	99.2271630462166	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass	2.6	12529904	3785937	12529904	1265520304	24559874	1234606666	2.442761123807303	0.2226	0.2169	0.5605		
DRX021108	7027788	5334760	7270	926452	0	0	0	0	4884	0	0	0	0	478252	258629	17541	75.9095180446536	7027788.0	6101336.0	86.82	926452.0	13.18	DRX021108_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7027788.0	0.0	20-101	51.0	28.32950472047277	99.23203090360722	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7137702	2184765	7137702	720907902	12376140	704734693	2.2434500932963832	0.2249	0.2178	0.5573		
DRX021109	6128548	4669281	3382	800877	0	0	0	0	2025	0	0	0	0	419051	218341	15591	76.18902552447986	6128548.0	5327671.0	86.93	800877.0	13.07	DRX021109_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6128548.0	0.0	20-101	51.0	28.23741977826864	99.22880036184752	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass	2.6	6240969	1901552	6240969	630337869	12521892	614825132	2.461019361665545	0.2283	0.2187	0.553		
DRX021110	26210390	20970122	18760	2643133	0	0	0	0	16634	0	0	0	0	1658910	852082	50749	80.00690565840493	26210390.0	23567257.0	89.92	2643133.0	10.08	DRX021110_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26210390.0	0.0	20-101	51.0	16.659275510572233	99.0729070418258	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass	2.6	26732510	8286234	26732510	2699983510	55465141	2628685352	2.640688646279917	0.2248	0.2138	0.5615		
DRX021111	11730269	9080552	6735	1373466	0	0	0	0	7677	0	0	0	0	815609	421416	24814	77.41128528254552	11730269.0	10356803.0	88.29	1373466.0	11.71	DRX021111_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11730269.0	0.0	20-101	51.0	23.331992895827224	98.92979589811624	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12074885	3682011	12074885	1219563385	36422555	1176962439	3.4931309453833754	0.2301	0.2203	0.5496		
DRX021112	10121358	7813064	16770	1144718	0	0	0	0	4547	0	0	0	0	764173	357906	20180	77.19383110448223	10121358.0	8976640.0	88.69	1144718.0	11.31	DRX021112_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10121358.0	0.0	20-101	51.0	24.940932903877457	99.31048956078818	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10215725	3129315	10215725	1031788225	12983422	1013692482	1.75382336816259	0.2354	0.2235	0.5411		
DRX021113	19802889	15749533	23810	1933382	0	0	0	0	12793	0	0	0	0	1355824	678664	48883	79.53149159195914	19802889.0	17869507.0	90.24	1933382.0	9.76	DRX021113_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19802889.0	0.0	20-101	51.0	19.931089045135348	99.00081255820804	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass	2.6	20385699	6199560	20385699	2058955599	62670937	1985600062	3.5627546818215774	0.2271	0.2131	0.5598		
