,dim
trial2_frac0.2_n207,165
trial4_frac0.2_n207,175
trial3_frac0.2_n207,165
trial4_frac0.6_n621,280
trial3_frac0.6_n621,280
trial0_frac0.4_n414,240
trial0_frac0.8_n828,280
trial1_frac0.8_n828,300
trial1_frac0.4_n414,240
trial2_frac0.6_n621,280
trial4_frac0.8_n828,280
trial3_frac0.8_n828,280
trial4_frac0.4_n414,260
trial0_frac0.6_n621,280
trial3_frac0.4_n414,220
trial2_frac0.4_n414,240
trial1_frac0.6_n621,280
trial2_frac0.8_n828,280
trial1_frac0.2_n207,200
trial0_frac0.2_n207,150
