Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
p1k_00230	2.6	9495666	2576326	9495666	712174950	4510203	704109510	1.1325082411281104
p1k_00231	2.6	11432372	3108313	11432372	857427900	5543977	847572770	1.149382939370179
p1k_00232	2.6	10148005	2755319	10148005	761100375	4873518	752401661	1.1429128516721594
p1k_00233	2.6	3894250	1095138	3894250	136298750	165389	134696446	1.17558231458469
p1k_00234	2.6	4262155	1224755	4262155	149175425	177836	147366353	1.2127144936909011
p1k_00235	2.6	3968501	1137229	3968501	138897535	165667	137218380	1.2089163425398441
p1k_00236	2.6	3956246	1130686	3956246	138468610	167228	136795495	1.2082991228120221
p1k_00237	2.6	3853771	1107478	3853771	134881985	157513	133242324	1.215626386281311
p1k_00238	2.6	3336919	1157577	3336919	116792165	142093	115166798	1.391674689821873
p1k_00239	2.6	4005088	1119106	4005088	140178080	163472	138540834	1.1679757634003833
p1k_00240	2.6	3943690	1261237	3943690	138029150	823774	135511230	1.8241943821287026
p1k_00241	2.6	4393705	1418670	4393705	153779675	730453	151096892	1.7445627973917879
p1k_00242	2.6	3941923	1274322	3941923	137967305	644967	135574555	1.7342876995386698
p1k_00243	2.6	4363615	1384824	4363615	152726525	919633	149930934	1.8304554497000438
p1k_00244	2.6	4036543	1290781	4036543	141279005	681525	138856552	1.714658876596703
p1k_00245	2.6	3730495	1180581	3730495	130567325	607522	128359085	1.6912654065632422
p1k_00246	2.6	3943884	1251002	3943884	138035940	632578	135704660	1.6888934867252687
p1k_00247	2.6	3791758	1230127	3791758	132711530	602633	130398667	1.7427747234923747
p1k_00248	2.6	4073373	1326709	4073373	142568055	725867	139984402	1.8122243443666257
p1k_00249	2.6	4305020	1366318	4305020	150675700	779705	148037440	1.750952542447123
p1k_00250	2.6	4325684	1375182	4325684	151398940	773128	148745454	1.752645031728756
p1k_00251	2.6	4088291	1337089	4088291	143090185	862802	140375359	1.8972831714488314
p1k_00252	2.6	3760144	1233927	3760144	131605040	746942	129111018	1.8950809178736618
p1k_00253	2.6	3369880	1086623	3369880	117945800	576566	115876217	1.7546898660232073
p1k_00254	2.6	4405297	1409121	4405297	154185395	733051	151464594	1.7646295227897557
p1k_00255	2.6	11212625	3496321	11212625	1132475125	6110538	1121304811	0.9863628571974153
p1k_00256	2.6	10196781	3174865	10196781	1029874881	7029396	1018357543	1.1183240034766904
p1k_00257	2.6	11344801	3418775	11344801	1145824901	4414794	1136454765	0.8177633416608739
p1k_00258	2.6	11307751	3377477	11307751	1142082851	5512239	1131747602	0.9049473942236788
p1k_00259	2.6	6919959	2163101	6919959	698915859	4889478	691032139	1.1279927187916337
p1k_00260	2.6	8728217	2602426	8728217	881549917	257182	877592005	0.4489719667230143
p1k_00261	2.6	7948101	2341642	7948101	802758201	239672	799204303	0.44271089296538996
p1k_00262	2.6	8071816	2380953	8071816	815253416	242363	811587514	0.44966410787783806
p1k_00263	2.6	7282035	2162740	7282035	735485535	239842	732168554	0.450992010332331
p1k_00264	2.6	7341486	2178659	7341486	741490086	233333	738140305	0.4517634238470452
p1k_00265	2.6	7458182	2205224	7458182	753276382	240393	749961868	0.44001299910661473
p1k_00266	2.6	8869539	2613175	8869539	895823439	269142	891899177	0.4380619918117592
p1k_00267	2.6	10336529	3002232	10336529	1043989429	283874	1039426516	0.4370650576769394
p1k_00268	2.6	10618586	3085101	10618586	1072477186	285127	1067741630	0.4415530756101324
p1k_00269	2.6	11468636	3363383	11468636	1158332236	294551	1153120365	0.4499461240928462
p1k_00270	2.6	10660908	3141369	10660908	1076751708	287425	1071940439	0.44683179643491217
p1k_00271	2.6	8658437	2578650	8658437	848526826	262875	844580227	0.46511187143068594
p1k_00272	2.6	9434777	2799646	9434777	924608146	280982	919861831	0.5133325961417605
p1k_00273	2.6	9066388	2726195	9066388	888506024	268420	883590383	0.5532479090991509
p1k_00274	2.6	7607321	2408139	7607321	745517458	230891	739109622	0.8595152174156061
p1k_00275	2.6	8459025	2474616	8459025	854361525	600369	850248140	0.48145719108781265
p1k_00276	2.6	10545607	3076173	10545607	1065106307	715371	1060033329	0.47628841991262383
p1k_00277	2.6	7872345	2335803	7872345	795106845	568058	791254006	0.48456871227161924
p1k_00278	2.6	8829656	2607905	8829656	891795256	648172	887432509	0.4892094873399954
p1k_00279	2.6	6101853	1857396	6101853	616287153	709627	612931382	0.5445141901246154
p1k_00280	2.6	8741482	2613515	8741482	882889682	653232	878542632	0.4923661572477183
p1k_00281	2.6	11770022	3461795	11770022	600271122	309090	595253411	0.835907445169418
p1k_00282	2.6	16649350	5192688	16649350	849116850	440501	841741507	0.8685898766465416
p1k_00283	2.6	10604620	3159518	10604620	1071066620	330707	1066156484	0.45843422886243995
p1k_00284	2.6	10808529	3176189	10808529	1091661429	318066	1086850368	0.440709992328583
p1k_00285	2.6	20138810	5948277	20138810	2013881000	1310872	2004089379	0.4862065335538694
p1k_00286	2.6	10640474	3097143	10640474	1074687874	288115	1070008507	0.4354163765320386
p1k_00287	2.6	7876564	2311733	7876564	795532964	245051	792012898	0.4424789618145855
p1k_00288	2.6	10256409	3041241	10256409	1035897309	313743	1031237127	0.4498691095644115
p1k_00289	2.6	9113397	2690201	9113397	920453097	278850	916334564	0.4474462646085268
p1k_00290	2.6	8847609	2615475	8847609	893608509	273252	889622968	0.4460052651535349
p1k_00291	2.6	10114540	2962617	10114540	1021568540	263992	1017085015	0.43888636194689395
p1k_00292	2.6	10250345	2973162	10250345	1035284845	267582	1030779928	0.43513792573675697
p1k_00293	2.6	9398646	2699247	9398646	939864600	1071176	934945548	0.5233787930729596
p1k_00294	2.6	6888024	1973722	6888024	688802400	733155	685295342	0.5091529878525394
p1k_00295	2.6	9131688	2722576	9131688	922300488	277449	918110614	0.4542851331549984
p1k_00296	2.6	7168314	2167506	7168314	723999714	380630	720640201	0.46402131589792317
p1k_00297	2.6	11650722	3461135	11650722	1176722922	486714	1171330916	0.45822222880094454
p1k_00298	2.6	7140798	2096056	7140798	721220598	230950	718001910	0.44628342686352396
p1k_00299	2.6	10497593	3109075	10497593	1049759300	645344	1044728663	0.47921814076807895
p1k_00300	2.6	7623518	2238027	7623518	769975318	226681	766562055	0.4432951187144417
p1k_00301	2.6	8260472	2447078	8260472	834307672	243099	830585005	0.4461983420428141
p1k_00302	2.6	9523093	2810840	9523093	961832393	252447	957526352	0.4476914097859875
p1k_00303	2.6	9765788	2904163	9765788	986344588	257011	981780311	0.46274669679639385
p1k_00304	2.6	9643442	2848280	9643442	973987642	248925	969628526	0.44755352245013397
p1k_00305	2.6	10970781	3234873	10970781	1108048881	284274	1103087940	0.44771860565599003
p1k_00306	2.6	11701163	3449547	11701163	1181817463	292415	1176561782	0.4447117397181327
p1k_00307	2.6	8854703	2624151	8854703	894325003	269441	890272751	0.4531073140532559
p1k_00308	2.6	7866299	2329397	7866299	794496199	249554	790886348	0.45435723978838066
p1k_00309	2.6	9569061	2869101	9569061	966475161	288975	962074026	0.4553800426123937
p1k_00310	2.6	8966499	2697846	8966499	905616399	280656	901469831	0.4578724506953191
p1k_00311	2.6	8621068	2584974	8621068	870727868	266844	866663572	0.46676994608377453
p1k_00312	2.6	10514687	3131428	10514687	1061983387	323595	1057368114	0.4345899433547354
p1k_00313	2.6	6978590	2072203	6978590	704837590	217597	701727684	0.4412230624646452
p1k_00314	2.6	6757362	2037976	6757362	682493562	372317	679243739	0.4761690338113402
p1k_00315	2.6	9936117	2980896	9936117	1003547817	399288	998906527	0.4624881765848134
p1k_00316	2.6	9341336	2768774	9341336	943474936	274816	939241498	0.4487069914064999
p1k_00317	2.6	12764528	999574	12764528	505462788	786615	503374976	0.41304959525526935
p1k_00318	2.6	13578580	1053723	13578580	537715942	814679	535534980	0.405597422291043
p1k_00319	2.6	9412703	4422006	9412703	372738756	672601	366549457	1.6604924763981344
