Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
p1k_00001	2.6	6496162	2056266	6496162	201381022	10060007	188572802	6.360192173421386
p1k_00002	2.6	4394188	1383413	4394188	136219828	6035575	128348546	5.778367302005403
p1k_00003	2.6	11445313	1513488	11445313	354804703	6338224	346636233	2.3022440037949554
p1k_00004	2.6	10563549	1411164	10563549	327470019	6001546	319757327	2.355236068191024
p1k_00005	2.6	10848313	1439302	10848313	336297703	8690930	325858317	3.1042097245606226
p1k_00006	2.6	9037985	1199445	9037985	280177535	8349883	270366795	3.501615502470603
p1k_00007	2.6	11303219	1506428	11303219	350399789	6423699	342148845	2.354722879128218
p1k_00008	2.6	11791043	1540767	11791043	365522333	6390710	357267590	2.2583416264198553
p1k_00009	2.6	10702587	1409451	10702587	331780197	8836260	321222269	3.1822055974003773
p1k_00010	2.6	10191100	1338900	10191100	315924100	8602587	305687623	3.2401697116490955
p1k_00011	2.6	10705755	1419747	10705755	331878405	6638143	323503075	2.523614032675612
p1k_00012	2.6	10835549	1405070	10835549	335902019	6158300	328032197	2.342892139627181
p1k_00013	2.6	8328676	1820123	8328676	258188956	36639356	219216620	15.094501563420861
p1k_00014	2.6	10233764	4370518	10233764	317246684	20085857	291346029	8.1642003860945
p1k_00015	2.6	10711415	1446643	10711415	332053865	6743989	323536231	2.5651362317375828
p1k_00016	2.6	8635899	3565929	8635899	267712869	5353680	257513460	3.809831420543328
p1k_00017	2.6	11011905	1453377	11011905	341369055	6629177	332960940	2.4630571742948404
p1k_00018	2.6	9930142	1287480	9930142	307834402	5735833	300528274	2.3733955505077042
p1k_00019	2.6	7953402	953760	7953402	601200943	737221	599286369	0.3184582496571367
p1k_00020	2.6	8039029	652122	8039029	607651741	284530	606532879	0.18412882322343252
p1k_00021	2.6	7815384	3903394	7815384	590916050	166757	585708213	0.8813158823491086
p1k_00022	2.6	8797292	682029	8797292	665145182	134890	664146138	0.15019938910119024
p1k_00023	2.6	6256504	492170	6256504	473059028	92270	472356750	0.1484546237219259
p1k_00024	2.6	7170760	564440	7170760	542184927	122875	541362904	0.15161303073259355
p1k_00025	2.6	8126768	637284	8126768	614425064	154465	613415464	0.16431621350655057
p1k_00026	2.6	5854610	457035	5854610	442624381	123334	441878887	0.1684258780132584
p1k_00027	2.6	8879503	2236696	8879503	275264593	10358213	261776711	4.899969826486183
p1k_00028	2.6	8527195	2158860	8527195	264343045	9905182	251083439	5.016060097211939
p1k_00029	2.6	6969271	2056552	6969271	216047401	7327178	205498350	4.882748392793672
p1k_00030	2.6	9832264	2906329	9832264	304800184	10302185	289752752	4.936818542078045
p1k_00031	2.6	4954483	1474713	4954483	153588973	5126513	146058839	4.90278296215966
p1k_00032	2.6	7648208	2282009	7648208	237094448	7900756	225554906	4.867065465826513
p1k_00033	2.6	10664383	745229	10664383	330595873	5014934	324590213	1.816616748872724
p1k_00034	2.6	10681790	754742	10681790	331135490	4912516	325243135	1.779439286317513
p1k_00035	2.6	10547275	780096	10547275	326965525	4837970	321106056	1.7920754795172977
p1k_00036	2.6	10402789	774742	10402789	322486459	4757952	316720376	1.7880077873285216
p1k_00037	2.6	4261898	1171467	4261898	149166430	194230	147347636	1.2193051747635175
p1k_00038	2.6	3977165	1095997	3977165	139200775	184586	137527447	1.2020967555676325
p1k_00039	2.6	4231556	1195999	4231556	148104460	193169	146294863	1.2218382890022352
p1k_00040	2.6	4656543	1450199	4656543	162979005	876737	160157409	1.7312634839070222
p1k_00041	2.6	8206775	993442	8206775	619722573	916758	617480524	0.3617826907847683
p1k_00042	2.6	5682446	689149	5682446	429222030	670303	427643513	0.36776234435124405
p1k_00043	2.6	7653797	947209	7653797	578229681	800741	575841014	0.4131000324765411
p1k_00044	2.6	9484300	1184398	9484300	716552285	981053	713319749	0.4511235352490712
p1k_00045	2.6	6661396	830257	6661396	503346296	628528	501438916	0.37893990979125036
p1k_00046	2.6	6603058	819545	6603058	499002395	658827	497157624	0.36969181280182034
p1k_00047	2.6	5200630	641336	5200630	392982390	510337	391507295	0.37535905870998443
p1k_00048	2.6	6125210	754496	6125210	462867116	614365	461163443	0.3680695692368001
p1k_00049	2.6	7981080	1032230	7981080	603297125	1641523	600360028	0.48684087463536313
p1k_00050	2.6	8100145	1077387	8100145	251104495	5735222	244054432	2.8076211857537636
p1k_00051	2.6	9224375	1189905	9224375	285955625	5935754	278575897	2.580724893941149
p1k_00052	2.6	9351020	1363381	9351020	289881620	10089377	278082307	4.070390182033617
p1k_00053	2.6	10429535	1741730	10429535	323315585	17503453	303602948	6.097026532141963
p1k_00054	2.6	9437466	1229923	9437466	292561446	6114984	284946444	2.602872697040197
p1k_00055	2.6	12238795	1813248	12238795	379402645	12089856	365063438	3.779416719669943
p1k_00056	2.6	5577929	1835340	5577929	172915799	7017215	163340703	5.537432701565923
p1k_00057	2.6	8557209	2798308	8557209	265273479	10363751	251020825	5.3728152749110665
p1k_00058	2.6	12127390	3987340	12127390	375949090	14844678	355564110	5.422271403822257
p1k_00059	2.6	4745433	1565653	4745433	147108423	5496167	139435474	5.215846138191557
p1k_00060	2.6	8458095	2439076	8458095	262200945	8770154	248381665	5.27049206477879
p1k_00061	2.6	9489355	2706577	9489355	294170005	9818262	279562183	4.9657754875450335
p1k_00062	2.6	8054151	2397245	8054151	249678681	8395215	235702763	5.597561611597908
p1k_00063	2.6	9407856	2779246	9407856	291643536	9788833	275465537	5.547182434381128
p1k_00064	2.6	7045353	569476	7045353	530640961	498165	527034292	0.6796816049034706
p1k_00065	2.6	7552478	561230	7552478	570753701	188597	569526666	0.21498502731566166
p1k_00066	2.6	6349861	471008	6349861	479858188	167131	478901185	0.1994345462747423
p1k_00067	2.6	6762786	499753	6762786	511139731	156023	510136877	0.19619957893666456
p1k_00068	2.6	3949972	1617148	3949972	142198992	1223051	118055951	16.97834890418914
p1k_00069	2.6	2607846	808025	2607846	93882456	246073	90402917	3.7062718086540047
p1k_00070	2.6	11994493	3766726	11994493	431801748	1177766	415574797	3.7579632493752664
p1k_00071	2.6	6352305	2056055	6352305	228682980	868176	216491332	5.331244152931713
p1k_00072	2.6	2798274	1338029	2798274	86746494	1388742	83701154	3.5106202678346863
p1k_00073	2.6	15256362	5940768	15256362	762818100	7566997	687784113	9.836419324607007
p1k_00074	2.6	14950361	6925475	14950361	747518050	7873891	598385332	19.950383539233602
p1k_00075	2.6	9820521	4171902	9820521	353538756	1050625	288272088	18.460965563843303
p1k_00076	2.6	13194718	4924387	13194718	475009848	1826297	420107397	11.558171105538847
p1k_00077	2.6	5816102	2933454	5816102	180299162	2775645	173965035	3.5131205989742758
p1k_00078	2.6	8464655	3796563	8464655	304727580	951816	244046046	19.913371149404988
p1k_00079	2.6	12857641	4167418	12857641	462875076	2609814	435539639	5.905575481882287
p1k_00080	2.6	3606287	1419531	3606287	129826332	1211388	109891625	15.35490273267522
p1k_00081	2.6	10797115	3757601	10797115	388696140	2092930	355777823	8.468907615084627
p1k_00082	2.6	10136072	795090	10136072	314218232	4627869	307850154	2.026641789519075
p1k_00083	2.6	10525313	837328	10525313	326284703	4754124	319557438	2.0617776249228577
p1k_00084	2.6	9429892	754953	9429892	292326652	4296158	286207150	2.093378061197102
p1k_00085	2.6	10086646	794640	10086646	312686026	4633723	306265483	2.0533514343874133
p1k_00086	2.6	8520029	562336	8520029	264120899	3695060	259708171	1.6707227700296448
p1k_00087	2.6	7908593	3961227	7908593	245166383	3424979	236833283	3.3989570258496657
p1k_00088	2.6	7438538	528216	7438538	230594678	3283282	226633684	1.7177300163015905
p1k_00089	2.6	8185939	577668	8185939	253764109	3567480	249458391	1.696740337696849
p1k_00090	2.6	8869693	628066	8869693	274960483	3924537	270227373	1.7213782680182446
p1k_00091	2.6	9672696	695227	9672696	299853576	4254776	294706137	1.7166508629531902
p1k_00092	2.6	6729653	526358	6729653	208619243	2851610	204816711	1.822713928647512
p1k_00093	2.6	7811736	632339	7811736	242163816	3252317	236441166	2.363131740540461
p1k_00094	2.6	2499411	189095	2499411	188954818	64227	188604299	0.18550413464450535
p1k_00095	2.6	3917636	1878727	3917636	296182403	45621	293771454	0.8140081840040984
p1k_00096	2.6	8172533	652898	8172533	253348523	3567349	248932360	1.7431177208797068
p1k_00097	2.6	9727223	826031	9727223	301543913	4268473	295018208	2.164097737897299
p1k_00098	2.6	1969209	146126	1969209	148871616	10991	148643031	0.15354505186536027
p1k_00099	2.6	4004221	297470	4004221	302721346	44325	302242270	0.15825643164258393
p1k_00100	2.6	4990075	500267	4990075	154692325	2257948	149252032	3.516847393689377
p1k_00101	2.6	2112504	168166	2112504	159679820	21416	158712641	0.6056989543199635
p1k_00102	2.6	3837526	303149	3837526	290081494	57432	288469433	0.5557269365139162
p1k_00103	2.6	2646035	1270739	2646035	200016243	14542	198408346	0.8038832126248866
p1k_00104	2.6	4059239	296880	4059239	306846353	39867	306362489	0.15768934363055637
p1k_00105	2.6	8293358	774214	8293358	257094098	3959416	250682062	2.49404247311815
p1k_00106	2.6	8297058	700946	8297058	257208798	3890610	252089305	1.9904035319973774
p1k_00107	2.6	8302695	721812	8302695	257383545	3920866	252022269	2.0829909697607127
p1k_00108	2.6	5148256	2453318	5148256	389271759	125266	385994352	0.8419328975776021
p1k_00109	2.6	6619494	499097	6619494	500486366	177307	499651520	0.16680694155013207
p1k_00110	2.6	6098921	2897942	6098921	461136000	152412	457292925	0.8333929686686791
p1k_00111	2.6	6451853	3070253	6451853	487830849	160423	483759865	0.8345072904563279
p1k_00112	2.6	6592922	499937	6592922	498483221	171398	497671093	0.1629198267437772
p1k_00113	2.6	6221344	493132	6221344	470363010	159032	469564939	0.16967129281700957
p1k_00114	2.6	6701145	506763	6701145	506675138	175137	505838506	0.16512197604611892
p1k_00115	2.6	6430775	3065029	6430775	486251886	182040	482130324	0.8476187175138279
p1k_00116	2.6	6360448	506672	6360448	480886859	200857	480049046	0.17422247755786566
p1k_00117	2.6	4958207	396321	4958207	374838298	133812	374192535	0.1722777537528996
p1k_00118	2.6	6158348	500005	6158348	465612402	177948	464807679	0.17283109224397333
p1k_00119	2.6	6817199	559318	6817199	515427742	200300	514507129	0.17861145704493336
p1k_00120	2.6	7775444	980812	7775444	587697123	1197532	585289326	0.4097003210954973
p1k_00121	2.6	5687214	723655	5687214	429883064	858306	428053824	0.4255203689531719
p1k_00122	2.6	5068955	633586	5068955	383154274	856982	381510198	0.42908982401172435
p1k_00123	2.6	5174312	641179	5174312	391109906	549036	389775545	0.3411728978299005
p1k_00124	2.6	5570223	701136	5570223	421049483	740601	419451667	0.3794841377349465
p1k_00125	2.6	5229852	1613985	5229852	162125412	6062215	153926526	5.057125776186154
p1k_00126	2.6	5333547	1641650	5333547	165339957	6237552	156937345	5.0820214015176015
p1k_00127	2.6	5473447	1686918	5473447	169676857	6351266	161097807	5.056110863722564
p1k_00128	2.6	8360781	2335619	8360781	259184211	11663358	244709389	5.5847622600745535
p1k_00129	2.6	6951598	2562859	6951598	215499538	1497289	210567333	2.2887311247971214
p1k_00130	2.6	14127069	1911326	14127069	437939139	23787795	411820982	5.963878236514503
p1k_00131	2.6	12345603	3474780	12345603	382713693	16571854	361946148	5.426391942553255
p1k_00132	2.6	2018768	889288	2018768	152541081	268073	151048085	0.9787501112569144
p1k_00133	2.6	5343270	659124	5343270	165641370	3004605	161837741	2.296303755517115
p1k_00134	2.6	9372184	1248512	9372184	290537704	5779854	283224445	2.517146277166147
p1k_00135	2.6	9457010	2908637	9457010	293167310	2005817	287275963	2.0095511331055294
p1k_00136	2.6	8522257	2699050	8522257	264189967	1545145	259015604	1.9585766479920867
p1k_00137	2.6	9169021	1207078	9169021	284239651	5774716	276987678	2.551358677259282
p1k_00138	2.6	10039848	1192504	10039848	311235288	5917329	303878175	2.3638428172065113
p1k_00139	2.6	6943528	2200116	6943528	215249368	1436487	210853887	2.042041303461574
p1k_00140	2.6	9924761	4648949	9924761	307667591	4422719	297422507	3.3299197899592876
p1k_00141	2.6	9250128	737203	9250128	286753968	4139235	281597889	1.7980846214480282
p1k_00142	2.6	3630212	1000111	3630212	127057420	142007	125604264	1.1437002262441658
p1k_00143	2.6	3645785	1169664	3645785	113019335	146530	108942245	3.6074269946819273
p1k_00144	2.6	3966272	1073246	3966272	138819520	159255	137242327	1.136146415143922
p1k_00145	2.6	3844985	1059935	3844985	134574475	150821	133016639	1.1576013950639599
p1k_00146	2.6	5689368	3217918	5689368	853405200	7900929	781011316	8.482943858321931
p1k_00147	2.6	6057659	3195971	6057659	908648850	4990175	841685922	7.3695056126467335
p1k_00148	2.6	6439613	3436644	6439613	965941950	8274882	890237265	7.837394886928764
p1k_00149	2.6	5023209	2693950	5023209	753481350	5634056	696462408	7.567399246179087
p1k_00150	2.6	5865488	3225866	5865488	879823200	5095841	809226010	8.024020053119763
p1k_00151	2.6	3922738	1151666	3922738	137295830	143152	135630362	1.2130506804176064
p1k_00152	2.6	3804115	1086071	3804115	133144025	142150	131563816	1.18684184288405
p1k_00153	2.6	4313072	1237211	4313072	150957520	161736	149160938	1.1901242150771951
p1k_00154	2.6	4370543	1110769	4370543	152969005	161649	151330501	1.0711346393342887
p1k_00155	2.6	5706374	3256075	5706374	855956100	2590925	785713749	8.206302986800376
p1k_00156	2.6	4614203	1272479	4614203	161497105	163734	159627611	1.1576021749739724
p1k_00157	2.6	4226462	1219209	4226462	147926170	158304	146146514	1.2030704235768424
p1k_00158	2.6	3648147	1077184	3648147	127685145	133920	126124858	1.2219800510074996
p1k_00159	2.6	4103006	1191395	4103006	143605210	156046	141858523	1.2163117201666986
p1k_00160	2.6	4181278	1296175	4181278	146344730	704239	143891372	1.6764238794249715
p1k_00161	2.6	14079450	4280257	14079450	1422024450	5448109	1410357773	0.8204273140310633
p1k_00162	2.6	13351511	4080964	13351511	1348502611	4666478	1337732608	0.7986638596133945
p1k_00163	2.6	11031928	3168742	11031928	1114224728	7856469	1101255512	1.1639677054447854
p1k_00164	2.6	7751299	2228553	7751299	782881199	7552002	771987704	1.3914620780157476
p1k_00165	2.6	13324226	4033369	13324226	1345746826	3649203	1336019748	0.7228014818293913
p1k_00166	2.6	13721416	4191441	13721416	1385863016	4839111	1374966068	0.786293296970413
p1k_00167	2.6	14059012	4334848	14059012	1419960212	4771742	1408897381	0.7790944356404262
p1k_00168	2.6	13860947	4302186	13860947	1399955647	4447183	1389199804	0.7682988402560441
p1k_00169	2.6	7930536	2292567	7930536	800984136	4380345	792591372	1.0478065198534718
p1k_00170	2.6	7669728	2302404	7669728	774642528	2479237	767302189	0.9475775902662551
p1k_00171	2.6	12896277	3976006	12896277	1302523977	5781964	1290735860	0.9050211134808155
p1k_00172	2.6	13608258	4197648	13608258	1374434058	4487729	1363668806	0.7832497992420966
p1k_00173	2.6	10325737	3220867	10325737	1042899437	3732864	1033783448	0.8741004814637752
p1k_00174	2.6	12363848	3854671	12363848	1248748648	3650543	1239006456	0.7801563601772965
p1k_00175	2.6	8441355	2407575	8441355	852576855	8599765	840298794	1.440111929850594
p1k_00176	2.6	8408759	2398544	8408759	849284659	9377853	836351763	1.5227987298425933
p1k_00177	2.6	14766394	4441014	14766394	1491405794	5565957	1479681632	0.786114821812205
p1k_00178	2.6	13811812	4158094	13811812	1394993012	4946215	1384322544	0.7649119320462947
p1k_00179	2.6	14792483	4452769	14792483	1494040783	5910677	1481982288	0.8071061471151287
p1k_00180	2.6	15242149	4569031	15242149	1539457049	6042771	1527135268	0.8003978420836085
p1k_00181	2.6	14329383	4406996	14329383	1447267683	5449703	1434728326	0.8664158778151891
p1k_00182	2.6	13588624	4171069	13588624	1372451024	5602523	1360262512	0.8880835663247683
p1k_00183	2.6	8197734	2315828	8197734	827971134	9436394	815106563	1.5537463169579533
p1k_00184	2.6	9387835	2666707	9387835	948171335	10718669	933506482	1.5466458917997135
p1k_00185	2.6	8026594	2388279	8026594	810685994	7775889	799523657	1.3769001910251333
p1k_00186	2.6	8612655	2572612	8612655	869878155	6305905	859899237	1.1471627310838723
p1k_00187	2.6	8952048	2663620	8952048	904156848	7246862	893109704	1.2218172128471232
p1k_00188	2.6	4646052	1382575	4646052	469251252	6667367	460619488	1.8394759658520845
p1k_00189	2.6	7364507	2214948	7364507	743815207	8235523	732314895	1.546124883139153
p1k_00190	2.6	9113140	2734343	9113140	920427140	11578159	904831725	1.6943671391523725
p1k_00191	2.6	12886326	3991599	12886326	1301518926	4241603	1291506626	0.7692780950002105
p1k_00192	2.6	11608719	3631688	11608719	1172480619	4774565	1162486753	0.85236939852564
p1k_00193	2.6	11683188	3610202	11683188	1180001988	4513594	1170253630	0.8261306420782063
p1k_00194	2.6	11785423	3650107	11785423	1190327723	4319759	1180744008	0.8051324702281171
p1k_00195	2.6	10065487	3075817	10065487	1016614187	4491377	1007728126	0.8740839065233309
p1k_00196	2.6	9400831	2881044	9400831	949483931	4073973	941281937	0.863837052130164
p1k_00197	2.6	13518649	4224980	13518649	1365383549	4918059	1354354620	0.8077531773454815
p1k_00198	2.6	12732089	3994893	12732089	1285940989	4145940	1276014298	0.7719398545433566
p1k_00199	2.6	11472322	3586338	11472322	1158704522	3826875	1149314727	0.8103701005492409
p1k_00200	2.6	11813712	3725795	11813712	1193184912	4395957	1183094966	0.845631376874132
p1k_00201	2.6	10298220	3174720	10298220	1040120220	3568903	1031971080	0.7834805865037409
p1k_00202	2.6	14673943	4504017	14673943	1482068243	5892270	1469571695	0.8431830355331351
p1k_00203	2.6	4484931	1381034	4484931	452978031	1749747	449237716	0.8257166449646209
p1k_00204	2.6	4319778	1324385	4319778	436297578	1578087	432787195	0.8045845718630141
p1k_00205	2.6	11756878	3679870	11756878	1187444678	3507210	1178480611	0.7549039686714567
p1k_00206	2.6	12820993	4037306	12820993	1294920293	4053924	1284773262	0.7836027479723805
p1k_00207	2.6	12054587	3721303	12054587	1205458700	4530808	1194570607	0.903232354621523
p1k_00208	2.6	11237518	3477139	11237518	1123751800	5035053	1112923191	0.9636121606212333
p1k_00209	2.6	11655541	3666087	11655541	1177209641	5362357	1166573042	0.9035433137435542
p1k_00210	2.6	10309639	3280693	10309639	1041273539	4122189	1032528242	0.8398654793819744
p1k_00211	2.6	12966983	3972366	12966983	1309665283	5262025	1298646794	0.841320995755524
p1k_00212	2.6	14077733	4320674	14077733	1421851033	5254650	1410316846	0.8112092429024526
p1k_00213	2.6	5370658	1644986	5370658	542436458	1950588	538122673	0.7952608893408857
p1k_00214	2.6	6707188	2069462	6707188	677425988	2111085	672316969	0.754181134249606
p1k_00215	2.6	11579963	3522751	11579963	1169576263	4679688	1159797149	0.8361245272639395
p1k_00216	2.6	11858526	3627018	11858526	1197711126	3774862	1188674524	0.7544892757387645
p1k_00217	2.6	12214414	3750209	12214414	1233655814	4660702	1223412188	0.8303471587254239
p1k_00218	2.6	10078335	3134074	10078335	1017911835	3985153	1009418011	0.8344361179374636
p1k_00219	2.6	7309138	2101787	7309138	548185350	6101362	539162911	1.6458737906804695
p1k_00220	2.6	7061062	1885093	7061062	529579650	3531912	523417369	1.1636174086372086
p1k_00221	2.6	7177308	1916150	7177308	538298100	3995912	531606135	1.2431708378684598
p1k_00222	2.6	6841188	1838512	6841188	513089100	3355049	507158955	1.1557729446990785
p1k_00223	2.6	10748683	2880780	10748683	806151225	5205890	796931551	1.1436655696950655
p1k_00224	2.6	9912160	2639279	9912160	743412000	4966770	734767445	1.1628215578979086
p1k_00225	2.6	16959697	4512801	16959697	1271977275	8586248	1257117233	1.1682631672802488
p1k_00226	2.6	9115388	2417279	9115388	683654100	4731261	675540063	1.1868629179580727
p1k_00227	2.6	11445532	3199483	11445532	858414900	5155079	848962514	1.1011442135964788
p1k_00228	2.6	10429783	2777308	10429783	782233725	5120585	773314352	1.1402439852615662
p1k_00229	2.6	8979344	2433963	8979344	673450800	4629050	665466847	1.1855287721092618
