Sample	Top over-represented sequence	Sum of remaining over-represented sequences
p1k_00001	0.49324591715590077	2.8209511357962467
p1k_00002	0.3838620563032961	1.8170636393316413
p1k_00003	0.4564256718340394	4.537334502793518
p1k_00004	3.8229879488945	7.275077040904385
p1k_00005	0.9124977015817783	2.372135610875228
p1k_00006	0.24424847761354032	1.3689063017120706
p1k_00007	0.4662347094448767	4.268695312350392
p1k_00008	0.46252247346270303	6.659002999181115
p1k_00009	0.3479881932577288	2.523918504681396
p1k_00010	1.4781746160301585	4.215676414008109
p1k_00011	1.7570993147530967	3.025538261391044
p1k_00012	0.3139038383425759	2.382696085600449
p1k_00013	0.0	0.0
p1k_00014	3.23062673944525	2.9061860525521404
p1k_00015	2.3178147891413903	2.522200573280626
p1k_00016	0.3282256397392034	2.5239299741944183
p1k_00017	0.2935722101852081	1.7099076363562187
p1k_00018	0.2913181928640521	1.8617004360535112
p1k_00019	0.4731503325416663	3.66200412431953
p1k_00020	1.6523921325551059	4.509607594394291
p1k_00021	1.8237713787536955	3.8755349890729187
p1k_00022	0.3471108338441083	3.293565691575649
p1k_00023	0.6944393337503659	7.303820008287324
p1k_00024	3.170723230246699	6.142402124554016
p1k_00025	3.4722237625738908	6.918015090517225
p1k_00026	0.6965992334021402	7.20334104880591
p1k_00027	1.086628666888375	7.621584353275107
p1k_00028	1.131909262227657	8.008841281301976
p1k_00029	0.4658716050148319	2.7438074198380766
p1k_00030	1.3538827848157426	3.434434640863869
p1k_00031	1.4385273157596186	4.523306742386209
p1k_00032	0.6919130409512764	4.017100678162224
p1k_00033	2.136540218873399	15.663500840225648
p1k_00034	3.3650237349857344	11.418529884142515
p1k_00035	1.649659080274446	3.438317828488851
p1k_00036	0.6176647612657483	1.5864681046792817
p1k_00037	0.9623442024007972	4.266450068996839
p1k_00038	1.0057211470010827	4.179221637735548
p1k_00039	0.7609849561248027	2.777257697999123
p1k_00040	1.1750283742953933	3.35881261563497
p1k_00041	1.506807623269428	3.4910485075559956
p1k_00042	0.4959747854819202	1.8229786499345062
p1k_00043	0.2118364031966397	1.5500818319039464
p1k_00044	2.142714284370978	2.761209270747501
p1k_00045	1.7786573738996196	2.5021550739517977
p1k_00046	0.24219575049381223	1.112087459677621
p1k_00047	0.24052777522202046	1.4114260702388841
p1k_00048	0.28893101081734696	1.426484525638093
p1k_00049	0.4018897577718848	2.231551043989773
p1k_00050	1.7486880578902815	4.748555573040514
p1k_00051	2.3320708585549657	4.380833373215909
p1k_00052	0.15290171128707444	0.22244494593483247
p1k_00053	0.0	0.0
p1k_00054	2.1703216389867506	4.12711707078704
p1k_00055	2.20151644781852	4.518254736562403
p1k_00056	0.6969472486713866	8.351527317044562
p1k_00057	0.713110600509661	8.281468047404445
p1k_00058	0.5926380683324662	9.340293560373794
p1k_00059	0.6440978750662942	9.677556794696294
p1k_00060	2.3147425214388746	11.354512011349156
p1k_00061	2.2117656098582668	10.966739248815616
p1k_00062	1.1413413699065864	13.002370758912116
p1k_00063	1.2711117741968991	13.802970301399402
p1k_00064	1.816428321151695	3.8626091817562935
p1k_00065	3.2132032192625393	5.174526988504528
p1k_00066	0.4043763527104032	2.3686612504905504
p1k_00067	0.4200116327767177	2.1260683302020964
p1k_00068	2.337704578899818	1.582960655128466
p1k_00069	0.16563487399540616	0.23770842727448832
p1k_00070	0.8600116854605169	1.8464301236525502
p1k_00071	0.9802623730755272	1.9352401009439548
p1k_00072	0.28551215321643336	0.8577997877608772
p1k_00073	0.33856571031650506	4.430720103691898
p1k_00074	1.1775835083837687	5.033859590568504
p1k_00075	1.302682315858149	3.49203597646785
p1k_00076	0.10134673942062021	0.0
p1k_00077	0.23089780814590455	1.80391265257126
p1k_00078	1.6393180615163996	3.0066261288539398
p1k_00079	0.22536229991841245	1.5961341578145118
p1k_00080	0.8427177171024227	6.063495924591418
p1k_00081	0.2519993473484828	1.7519338212967097
p1k_00082	3.540684809461097	6.567256073395543
p1k_00083	2.700197845157968	5.742875653067733
p1k_00084	0.23225127278222552	0.8156115715391978
p1k_00085	0.3447669228001337	2.127143099914391
p1k_00086	4.337234828604024	8.751827668272195
p1k_00087	4.198404793223793	8.797410767012117
p1k_00088	1.934096070640557	2.62025529200855
p1k_00089	1.938203728438591	2.7667266054358928
p1k_00090	0.4092198077702632	2.3016425830759353
p1k_00091	0.3499568627223476	1.6494621722126315
p1k_00092	1.1750082292785127	5.1440932871310485
p1k_00093	0.9550007308646062	4.25066974362822
p1k_00094	0.20629008441143412	0.9324327844152407
p1k_00095	0.2008739447029587	0.9093479694081038
p1k_00096	1.05159751019511	4.595075157086352
p1k_00097	0.7244554017572536	3.947565755018655
p1k_00098	0.6047275929462345	1.4536544989007725
p1k_00099	0.5916590420441802	1.4531809858368212
p1k_00100	0.23292532089885584	0.6490108150217034
p1k_00101	0.1653960090467327	0.6392293594598653
p1k_00102	0.5588183127878745	0.9648457957502039
p1k_00103	0.4259609564164649	0.6625680992736077
p1k_00104	0.14330402570398842	0.3625996218174214
p1k_00105	0.6064709768827691	3.254659094846109
p1k_00106	0.9524608786525369	3.4103163833090315
p1k_00107	0.9435617056136835	3.4358425460814837
p1k_00108	1.96669818252093	5.449443106495007
p1k_00109	1.9329043265733443	5.542572991202484
p1k_00110	0.47565770105669986	2.905604608428327
p1k_00111	0.46061856309715843	3.0807947636183153
p1k_00112	1.7098964586062142	4.343792526146464
p1k_00113	1.2609085524724764	5.178936704852468
p1k_00114	0.5268285658288479	3.9379415757622125
p1k_00115	0.6227581887970757	5.022808736542908
p1k_00116	1.5138546773800061	5.070693874981309
p1k_00117	1.170108923698487	4.675468279824582
p1k_00118	1.5113655574194724	6.0266713481319645
p1k_00119	1.7553374913570328	6.815666432271154
p1k_00120	0.7884335604159012	5.150986791142891
p1k_00121	0.9340301377292112	6.419110940509855
p1k_00122	1.0232073574215126	3.5176185134198428
p1k_00123	1.0856014738481305	3.7287344300036245
p1k_00124	0.5865097896295753	3.965468937372643
p1k_00125	0.17929311344036292	0.7175754458819962
p1k_00126	0.5043038378434189	0.4205760479467603
p1k_00127	0.5051961620336253	0.3875088361689084
p1k_00128	0.3377022781710873	0.5627209285496364
p1k_00129	1.0262267588121332	2.626463869531273
p1k_00130	0.22549933851866755	0.5113145013689023
p1k_00131	0.26432079318691803	0.8876997029421532
p1k_00132	0.869631645444665	2.1780723454557274
p1k_00133	1.0940829565262942	1.67662409533807
p1k_00134	0.1979789116416127	0.786487746193095
p1k_00135	0.2044615019772761	0.6213780099342672
p1k_00136	0.9675435778485697	2.1708139390620085
p1k_00137	0.7579752015975527	1.6963135914633358
p1k_00138	0.6579369853997158	1.7022928562447812
p1k_00139	1.180797059737123	3.017273899591703
p1k_00140	0.1781191649347266	0.7364143460974556
p1k_00141	0.24822037248949294	1.1021977332936217
p1k_00142	1.8123821029065446	8.565992357764822
p1k_00143	0.23815808604011365	0.274322205079633
p1k_00144	0.9352203639721816	11.155710912279709
p1k_00145	0.7407020462746153	9.030066615909195
p1k_00146	0.8351125108030389	3.633567955490688
p1k_00147	0.6967391879031406	2.5115324627260227
p1k_00148	0.65738407301152	2.260114264682614
p1k_00149	0.9698770391758905	3.37532991980296
p1k_00150	0.30418239271149977	2.015197686131894
p1k_00151	0.4832811402331997	6.865654141005343
p1k_00152	1.5873409781395433	5.605616281979934
p1k_00153	1.6676552585951627	6.284464921902791
p1k_00154	0.7772064184965063	16.36940893843683
p1k_00155	0.4510739676735002	4.96607733563865
p1k_00156	1.9995776245517702	6.836930419087887
p1k_00157	0.8629192727189797	3.2807276611191245
p1k_00158	1.0407255513731268	3.4187914193959346
p1k_00159	0.7588808196813601	2.2575260250300446
p1k_00160	0.2529135151590729	1.4764421128153817
p1k_00161	0.23169342752426877	0.5228056391939785
p1k_00162	0.7986923004298482	0.9170184743759978
p1k_00163	0.6632559027613453	2.294194873535193
p1k_00164	0.38131283539998095	2.213036162503051
p1k_00165	0.35144610735235443	1.960035870310662
p1k_00166	1.0170353883653604	3.377792249805755
p1k_00167	0.9847731707888562	3.7152514638524923
p1k_00168	1.1205948230345133	3.74350206828706
p1k_00169	2.404810353206481	9.575657658768128
p1k_00170	0.5268411712511092	8.274988256172037
p1k_00171	0.6180435818685568	2.2179202186356948
p1k_00172	0.7495390703328751	2.8761908223438475
p1k_00173	0.3616212269574974	1.1169571404407463
p1k_00174	0.24557473597072338	0.47827562327038026
p1k_00175	0.49454735934142496	2.4406344536285878
p1k_00176	1.3667775114344134	4.229344136267983
p1k_00177	0.7467648880120548	1.7769184856828244
p1k_00178	0.6922237571303635	1.7165067191860421
