Sample	Reads passing filters
p1k_00001	6496162.0
p1k_00002	4394188.0
p1k_00003	11445313.0
p1k_00004	10563549.0
p1k_00005	10848313.0
p1k_00006	9037985.0
p1k_00007	11303219.0
p1k_00008	11791043.0
p1k_00009	10702587.0
p1k_00010	10191100.0
p1k_00011	10705755.0
p1k_00012	10835549.0
p1k_00013	8328676.0
p1k_00014	10233764.0
p1k_00015	10711415.0
p1k_00016	8635899.0
p1k_00017	11011905.0
p1k_00018	9930142.0
p1k_00019	7953402.0
p1k_00020	8039029.0
p1k_00021	7815384.0
p1k_00022	8797292.0
p1k_00023	6256504.0
p1k_00024	7170760.0
p1k_00025	8126768.0
p1k_00026	5854610.0
p1k_00027	8879503.0
p1k_00028	8527195.0
p1k_00029	6969271.0
p1k_00030	9832264.0
p1k_00031	4954483.0
p1k_00032	7648208.0
p1k_00033	10664383.0
p1k_00034	10681790.0
p1k_00035	10547275.0
p1k_00036	10402789.0
p1k_00037	4261898.0
p1k_00038	3977165.0
p1k_00039	4231556.0
p1k_00040	4656543.0
p1k_00041	8206775.0
p1k_00042	5682446.0
p1k_00043	7653797.0
p1k_00044	9484300.0
p1k_00045	6661396.0
p1k_00046	6603058.0
p1k_00047	5200630.0
p1k_00048	6125210.0
p1k_00049	7981080.0
p1k_00050	8100145.0
p1k_00051	9224375.0
p1k_00052	9351020.0
p1k_00053	10429535.0
p1k_00054	9437466.0
p1k_00055	12238795.0
p1k_00056	5577929.0
p1k_00057	8557209.0
p1k_00058	12127390.0
p1k_00059	4745433.0
p1k_00060	8458095.0
p1k_00061	9489355.0
p1k_00062	8054151.0
p1k_00063	9407856.0
p1k_00064	7045353.0
p1k_00065	7552478.0
p1k_00066	6349861.0
p1k_00067	6762786.0
p1k_00068	3949972.0
p1k_00069	2607846.0
p1k_00070	11994493.0
p1k_00071	6352305.0
p1k_00072	2798274.0
p1k_00073	15256362.0
p1k_00074	14950361.0
p1k_00075	9820521.0
p1k_00076	13194718.0
p1k_00077	5816102.0
p1k_00078	8464655.0
p1k_00079	12857641.0
p1k_00080	3606287.0
p1k_00081	10797115.0
p1k_00082	10136072.0
p1k_00083	10525313.0
p1k_00084	9429892.0
p1k_00085	10086646.0
p1k_00086	8520029.0
p1k_00087	7908593.0
p1k_00088	7438538.0
p1k_00089	8185939.0
p1k_00090	8869693.0
p1k_00091	9672696.0
p1k_00092	6729653.0
p1k_00093	7811736.0
p1k_00094	2499411.0
p1k_00095	3917636.0
p1k_00096	8172533.0
p1k_00097	9727223.0
p1k_00098	1969209.0
p1k_00099	4004221.0
p1k_00100	4990075.0
p1k_00101	2112504.0
p1k_00102	3837526.0
p1k_00103	2646035.0
p1k_00104	4059239.0
p1k_00105	8293358.0
p1k_00106	8297058.0
p1k_00107	8302695.0
p1k_00108	5148256.0
p1k_00109	6619494.0
p1k_00110	6098921.0
p1k_00111	6451853.0
p1k_00112	6592922.0
p1k_00113	6221344.0
p1k_00114	6701145.0
p1k_00115	6430775.0
p1k_00116	6360448.0
p1k_00117	4958207.0
p1k_00118	6158348.0
p1k_00119	6817199.0
p1k_00120	7775444.0
p1k_00121	5687214.0
p1k_00122	5068955.0
p1k_00123	5174312.0
p1k_00124	5570223.0
p1k_00125	5229852.0
p1k_00126	5333547.0
p1k_00127	5473447.0
p1k_00128	8360781.0
p1k_00129	6951598.0
p1k_00130	14127069.0
p1k_00131	12345603.0
p1k_00132	2018768.0
p1k_00133	5343270.0
p1k_00134	9372184.0
p1k_00135	9457010.0
p1k_00136	8522257.0
p1k_00137	9169021.0
p1k_00138	10039848.0
p1k_00139	6943528.0
p1k_00140	9924761.0
p1k_00141	9250128.0
p1k_00142	3630212.0
p1k_00143	3645785.0
p1k_00144	3966272.0
p1k_00145	3844985.0
p1k_00146	5689368.0
p1k_00147	6057659.0
p1k_00148	6439613.0
p1k_00149	5023209.0
p1k_00150	5865488.0
p1k_00151	3922738.0
p1k_00152	3804115.0
p1k_00153	4313072.0
p1k_00154	4370543.0
p1k_00155	5706374.0
p1k_00156	4614203.0
p1k_00157	4226462.0
p1k_00158	3648147.0
p1k_00159	4103006.0
p1k_00160	4181278.0
p1k_00161	14079450.0
p1k_00162	13351511.0
p1k_00163	11031928.0
p1k_00164	7751299.0
p1k_00165	13324226.0
p1k_00166	13721416.0
p1k_00167	14059012.0
p1k_00168	13860947.0
p1k_00169	7930536.0
p1k_00170	7669728.0
p1k_00171	12896277.0
p1k_00172	13608258.0
p1k_00173	10325737.0
p1k_00174	12363848.0
p1k_00175	8441355.0
p1k_00176	8408759.0
p1k_00177	14766394.0
p1k_00178	13811812.0
p1k_00179	14792483.0
p1k_00180	15242149.0
p1k_00181	14329383.0
p1k_00182	13588624.0
p1k_00183	8197734.0
p1k_00184	9387835.0
p1k_00185	8026594.0
p1k_00186	8612655.0
p1k_00187	8952048.0
p1k_00188	4646052.0
p1k_00189	7364507.0
p1k_00190	9113140.0
p1k_00191	12886326.0
p1k_00192	11608719.0
p1k_00193	11683188.0
p1k_00194	11785423.0
p1k_00195	10065487.0
p1k_00196	9400831.0
p1k_00197	13518649.0
p1k_00198	12732089.0
p1k_00199	11472322.0
p1k_00200	11813712.0
p1k_00201	10298220.0
p1k_00202	14673943.0
p1k_00203	4484931.0
p1k_00204	4319778.0
p1k_00205	11756878.0
p1k_00206	12820993.0
p1k_00207	12054587.0
p1k_00208	11237518.0
p1k_00209	11655541.0
p1k_00210	10309639.0
p1k_00211	12966983.0
p1k_00212	14077733.0
p1k_00213	5370658.0
p1k_00214	6707188.0
p1k_00215	11579963.0
p1k_00216	11858526.0
p1k_00217	12214414.0
p1k_00218	10078335.0
p1k_00219	7309138.0
p1k_00220	7061062.0
p1k_00221	7177308.0
p1k_00222	6841188.0
p1k_00223	10748683.0
p1k_00224	9912160.0
p1k_00225	16959697.0
p1k_00226	9115388.0
p1k_00227	11445532.0
p1k_00228	10429783.0
p1k_00229	8979344.0
p1k_00230	9495666.0
p1k_00231	11432372.0
p1k_00232	10148005.0
p1k_00233	3894250.0
p1k_00234	4262155.0
p1k_00235	3968501.0
p1k_00236	3956246.0
p1k_00237	3853771.0
p1k_00238	3336919.0
p1k_00239	4005088.0
p1k_00240	3943690.0
p1k_00241	4393705.0
p1k_00242	3941923.0
p1k_00243	4363615.0
p1k_00244	4036543.0
p1k_00245	3730495.0
p1k_00246	3943884.0
p1k_00247	3791758.0
p1k_00248	4073373.0
p1k_00249	4305020.0
p1k_00250	4325684.0
p1k_00251	4088291.0
p1k_00252	3760144.0
p1k_00253	3369880.0
p1k_00254	4405297.0
p1k_00255	11212625.0
p1k_00256	10196781.0
p1k_00257	11344801.0
p1k_00258	11307751.0
p1k_00259	6919959.0
p1k_00260	8728217.0
p1k_00261	7948101.0
p1k_00262	8071816.0
p1k_00263	7282035.0
p1k_00264	7341486.0
p1k_00265	7458182.0
p1k_00266	8869539.0
p1k_00267	10336529.0
p1k_00268	10618586.0
p1k_00269	11468636.0
p1k_00270	10660908.0
p1k_00271	8658437.0
p1k_00272	9434777.0
p1k_00273	9066388.0
p1k_00274	7607321.0
p1k_00275	8459025.0
p1k_00276	10545607.0
p1k_00277	7872345.0
p1k_00278	8829656.0
p1k_00279	6101853.0
p1k_00280	8741482.0
p1k_00281	11770022.0
p1k_00282	16649350.0
p1k_00283	10604620.0
p1k_00284	10808529.0
p1k_00285	20138810.0
p1k_00286	10640474.0
p1k_00287	7876564.0
p1k_00288	10256409.0
p1k_00289	9113397.0
p1k_00290	8847609.0
p1k_00291	10114540.0
p1k_00292	10250345.0
p1k_00293	9398646.0
p1k_00294	6888024.0
p1k_00295	9131688.0
p1k_00296	7168314.0
p1k_00297	11650722.0
p1k_00298	7140798.0
p1k_00299	10497593.0
p1k_00300	7623518.0
p1k_00301	8260472.0
p1k_00302	9523093.0
p1k_00303	9765788.0
p1k_00304	9643442.0
p1k_00305	10970781.0
p1k_00306	11701163.0
p1k_00307	8854703.0
p1k_00308	7866299.0
p1k_00309	9569061.0
p1k_00310	8966499.0
p1k_00311	8621068.0
p1k_00312	10514687.0
p1k_00313	6978590.0
p1k_00314	6757362.0
p1k_00315	9936117.0
p1k_00316	9341336.0
p1k_00317	12764528.0
p1k_00318	13578580.0
p1k_00319	9412703.0
p1k_00320	10779956.0
p1k_00321	12815322.0
p1k_00322	11911009.0
p1k_00323	12081648.0
p1k_00324	15762786.0
p1k_00325	12557614.0
p1k_00326	13965266.0
p1k_00327	12693186.0
p1k_00328	11393574.0
p1k_00329	12055257.0
p1k_00330	10654382.0
p1k_00331	10321668.0
p1k_00332	10278684.0
p1k_00333	11885242.0
p1k_00334	11324991.0
p1k_00335	11356212.0
p1k_00336	11759777.0
p1k_00337	11697060.0
p1k_00338	9639392.0
p1k_00339	10467069.0
p1k_00340	12403465.0
p1k_00341	14182130.0
p1k_00342	12723542.0
p1k_00343	11382061.0
p1k_00344	11535668.0
p1k_00345	13670443.0
p1k_00346	13478028.0
p1k_00347	13526565.0
p1k_00348	13851635.0
p1k_00349	9365861.0
p1k_00350	8823947.0
p1k_00351	8220598.0
p1k_00352	8441904.0
p1k_00353	9288520.0
p1k_00354	8508880.0
p1k_00355	7308104.0
p1k_00356	7843330.0
p1k_00357	5838756.0
p1k_00358	12447329.0
p1k_00359	6401157.0
p1k_00360	11499813.0
p1k_00361	6415979.0
p1k_00362	6552965.0
p1k_00363	12471430.0
p1k_00364	7263017.0
p1k_00365	8506309.0
p1k_00366	7896995.0
p1k_00367	10325543.0
p1k_00368	10459016.0
p1k_00369	7584483.0
p1k_00370	9514777.0
p1k_00371	9461225.0
p1k_00372	9353870.0
p1k_00373	9026578.0
p1k_00374	7414007.0
p1k_00375	10091029.0
p1k_00376	8706166.0
p1k_00377	11422355.0
p1k_00378	4935117.0
p1k_00379	9289441.0
p1k_00380	9667076.0
p1k_00381	8961839.0
p1k_00382	7861622.0
p1k_00383	8755011.0
p1k_00384	8815119.0
p1k_00385	8621440.0
p1k_00386	9034162.0
p1k_00387	9123380.0
p1k_00388	7576446.0
p1k_00389	7066169.0
p1k_00390	8973629.0
p1k_00391	6809487.0
p1k_00392	8818435.0
p1k_00393	7375691.0
p1k_00394	8058592.0
p1k_00395	6926755.0
p1k_00396	6891321.0
p1k_00397	4846082.0
p1k_00398	8546793.0
p1k_00399	8245679.0
p1k_00400	9496195.0
p1k_00401	7003757.0
p1k_00402	8161872.0
p1k_00403	8946870.0
p1k_00404	9735845.0
p1k_00405	8467778.0
p1k_00406	9707670.0
p1k_00407	9281212.0
p1k_00408	8209001.0
p1k_00409	9011022.0
p1k_00410	8751268.0
p1k_00411	8166422.0
p1k_00412	9283258.0
p1k_00413	8811539.0
p1k_00414	11275459.0
p1k_00415	13046487.0
p1k_00416	13653351.0
p1k_00417	7349474.0
p1k_00418	8385477.0
p1k_00419	8873029.0
p1k_00420	11075778.0
p1k_00421	13622668.0
p1k_00422	9563667.0
p1k_00423	10187113.0
p1k_00424	11777527.0
p1k_00425	7602215.0
p1k_00426	8737831.0
p1k_00427	12418751.0
p1k_00428	8422308.0
p1k_00429	9405041.0
p1k_00430	8828552.0
p1k_00431	10460349.0
p1k_00432	12465282.0
p1k_00433	3267250.0
p1k_00434	3024582.0
p1k_00435	9462729.0
p1k_00436	10377948.0
p1k_00437	10882307.0
p1k_00438	11252899.0
p1k_00439	5915884.0
p1k_00440	7798631.0
