Sample	Reads passing filters
p1k_00441	13934453.0
p1k_00442	13188153.0
p1k_00443	10885144.0
p1k_00444	11656574.0
p1k_00445	13371886.0
p1k_00446	13545764.0
p1k_00447	14609856.0
p1k_00448	14563986.0
p1k_00449	13594250.0
p1k_00450	12626981.0
p1k_00451	13728200.0
p1k_00452	12381150.0
p1k_00453	14601286.0
p1k_00454	13584756.0
p1k_00455	7639658.0
p1k_00456	7633220.0
p1k_00457	7533563.0
p1k_00458	7130896.0
p1k_00459	11596406.0
p1k_00460	13322062.0
p1k_00461	11485267.0
p1k_00462	10594866.0
p1k_00463	13369701.0
p1k_00464	13344668.0
p1k_00465	7720097.0
p1k_00466	7707028.0
p1k_00467	8261890.0
p1k_00468	7544451.0
p1k_00469	9798743.0
p1k_00470	11104080.0
p1k_00471	14187048.0
p1k_00472	11963670.0
p1k_00473	10460537.0
p1k_00474	9443987.0
p1k_00475	9529880.0
p1k_00476	10866206.0
p1k_00477	12319236.0
p1k_00478	14769029.0
p1k_00479	15212917.0
p1k_00480	13155383.0
p1k_00481	7495914.0
p1k_00482	7105392.0
p1k_00483	6698829.0
p1k_00484	7355401.0
p1k_00485	14613683.0
p1k_00486	14700431.0
p1k_00487	14986531.0
p1k_00488	15770593.0
p1k_00489	11340914.0
p1k_00490	10084639.0
p1k_00491	12019652.0
p1k_00492	9911519.0
p1k_00493	11451429.0
p1k_00494	11511964.0
p1k_00495	8333590.0
p1k_00496	7370066.0
p1k_00497	8419947.0
p1k_00498	8739303.0
p1k_00499	6619219.0
p1k_00500	5313564.0
p1k_00501	13014367.0
p1k_00502	12705915.0
p1k_00503	12498907.0
p1k_00504	11958002.0
p1k_00505	14827510.0
p1k_00506	15449227.0
p1k_00507	10705222.0
p1k_00508	10896492.0
p1k_00509	14458262.0
p1k_00510	13723717.0
p1k_00511	5687097.0
p1k_00512	6271898.0
p1k_00513	4681680.0
p1k_00514	4640673.0
p1k_00515	6963978.0
p1k_00516	11251766.0
p1k_00517	8675620.0
p1k_00518	7320089.0
p1k_00519	7376471.0
p1k_00520	8158496.0
p1k_00521	7774195.0
p1k_00522	8402843.0
p1k_00523	9617342.0
p1k_00524	7049635.0
p1k_00525	7222346.0
p1k_00526	11297462.0
p1k_00527	12346338.0
p1k_00528	9082404.0
p1k_00529	9696034.0
p1k_00530	8055918.0
p1k_00531	9933333.0
p1k_00532	7606213.0
p1k_00533	7599965.0
p1k_00534	7785320.0
p1k_00535	7684924.0
p1k_00536	8638784.0
p1k_00537	7955128.0
p1k_00538	8881268.0
p1k_00539	13840797.0
p1k_00540	9024783.0
p1k_00541	11032572.0
p1k_00542	10528671.0
p1k_00543	13669253.0
p1k_00544	14467655.0
p1k_00545	12638346.0
p1k_00546	10369248.0
p1k_00547	8013221.0
p1k_00548	10574326.0
p1k_00549	8576273.0
p1k_00550	13711540.0
p1k_00551	3942340.0
p1k_00552	6846724.0
p1k_00553	7354086.0
p1k_00554	4783083.0
p1k_00555	7679807.0
p1k_00556	13415256.0
p1k_00557	6461620.0
p1k_00558	9038676.0
p1k_00559	9647744.0
p1k_00560	5453837.0
p1k_00561	11906645.0
p1k_00562	8953995.0
p1k_00563	10696260.0
p1k_00564	10179752.0
p1k_00565	12536704.0
p1k_00566	9819525.0
p1k_00567	4021927.0
p1k_00568	8334442.0
p1k_00569	9273755.0
p1k_00570	8647674.0
p1k_00571	12505016.0
p1k_00572	6305696.0
p1k_00573	4237752.0
p1k_00574	9151513.0
p1k_00575	7316970.0
p1k_00576	8293032.0
p1k_00577	8481812.0
p1k_00578	10809687.0
p1k_00579	9034825.0
p1k_00580	11246426.0
p1k_00581	12716262.0
p1k_00582	12730450.0
p1k_00583	9731393.0
p1k_00584	6421786.0
p1k_00585	9358344.0
p1k_00586	4853733.0
p1k_00587	10076507.0
p1k_00588	5535046.0
p1k_00589	9164608.0
p1k_00590	6492235.0
p1k_00591	6009600.0
p1k_00592	11681347.0
p1k_00593	10601137.0
p1k_00594	8666572.0
p1k_00595	5677748.0
p1k_00596	10429285.0
p1k_00597	9404842.0
p1k_00598	12147335.0
p1k_00599	10262149.0
p1k_00600	9401815.0
p1k_00601	9903621.0
p1k_00602	9137939.0
p1k_00603	9939463.0
p1k_00604	9641910.0
p1k_00605	9953231.0
p1k_00606	13844329.0
p1k_00607	12467472.0
p1k_00608	11085769.0
p1k_00609	12185875.0
p1k_00610	12612470.0
p1k_00611	11854440.0
p1k_00612	10600332.0
p1k_00613	13227967.0
p1k_00614	11668355.0
p1k_00615	10961888.0
p1k_00616	14842417.0
p1k_00617	14657402.0
p1k_00618	18192420.0
p1k_00619	16650950.0
p1k_00620	14681682.0
p1k_00621	14612973.0
p1k_00622	13382008.0
p1k_00623	13017914.0
p1k_00624	17646446.0
p1k_00625	13621692.0
p1k_00626	15015269.0
p1k_00627	17416600.0
p1k_00628	16020684.0
p1k_00629	12637187.0
p1k_00630	18248429.0
p1k_00631	16288741.0
p1k_00632	14794173.0
p1k_00633	12690426.0
p1k_00634	15183476.0
p1k_00635	14246571.0
p1k_00636	12774297.0
p1k_00637	12560981.0
p1k_00638	16808555.0
p1k_00639	15116083.0
p1k_00640	13800614.0
p1k_00641	13811506.0
p1k_00642	16037339.0
p1k_00643	16693173.0
p1k_00644	15643401.0
p1k_00645	14301583.0
p1k_00646	17046567.0
p1k_00647	16095190.0
p1k_00648	16316223.0
p1k_00649	15903310.0
p1k_00650	14434346.0
p1k_00651	16409606.0
p1k_00652	13340115.0
p1k_00653	13747530.0
p1k_00654	13746858.0
p1k_00655	13738376.0
p1k_00656	16014717.0
p1k_00657	16791561.0
p1k_00658	16642917.0
p1k_00659	16610645.0
p1k_00660	13994394.0
p1k_00661	12541922.0
p1k_00662	13208309.0
p1k_00663	13529766.0
p1k_00664	15382725.0
p1k_00665	15500300.0
p1k_00666	16159925.0
p1k_00667	13761904.0
p1k_00668	16595274.0
p1k_00669	15885051.0
p1k_00670	15338618.0
p1k_00671	14462307.0
p1k_00672	12791167.0
p1k_00673	15049583.0
p1k_00674	13939774.0
p1k_00675	11377978.0
p1k_00676	16707307.0
p1k_00677	14437752.0
p1k_00678	13484592.0
p1k_00679	13526864.0
p1k_00680	15893314.0
p1k_00681	17643481.0
p1k_00682	15848240.0
p1k_00683	15447274.0
p1k_00684	16408852.0
p1k_00685	14717941.0
p1k_00686	15983907.0
p1k_00687	16406351.0
p1k_00688	16714660.0
p1k_00689	13790168.0
p1k_00690	14547749.0
p1k_00691	14357920.0
p1k_00692	14576411.0
p1k_00693	13481933.0
p1k_00694	15921202.0
p1k_00695	17892033.0
p1k_00696	17218582.0
p1k_00697	16750994.0
p1k_00698	15547597.0
p1k_00699	16561950.0
p1k_00700	16258939.0
p1k_00701	15206492.0
p1k_00702	16588806.0
p1k_00703	11159740.0
p1k_00704	14150736.0
p1k_00705	15394282.0
p1k_00706	13705563.0
p1k_00707	14161029.0
p1k_00708	15591229.0
p1k_00709	16099726.0
p1k_00710	8972134.0
p1k_00711	7761062.0
p1k_00712	6945954.0
p1k_00713	5356195.0
p1k_00714	7326692.0
p1k_00715	6623440.0
p1k_00716	9621441.0
p1k_00717	9513287.0
p1k_00718	8374952.0
p1k_00719	8332501.0
p1k_00720	9033164.0
p1k_00721	7273425.0
p1k_00722	8814457.0
p1k_00723	7616723.0
p1k_00724	8827769.0
p1k_00725	7797390.0
p1k_00726	8160314.0
p1k_00727	8636396.0
p1k_00728	8443168.0
p1k_00729	15702319.0
p1k_00730	8082069.0
p1k_00731	8671283.0
p1k_00732	8371310.0
p1k_00733	9214719.0
p1k_00734	7486061.0
p1k_00735	6648544.0
p1k_00736	8278258.0
p1k_00737	6170362.0
p1k_00738	7056870.0
p1k_00739	5699763.0
p1k_00740	4993389.0
p1k_00741	6413244.0
p1k_00742	6609287.0
p1k_00743	7498035.0
p1k_00744	6785258.0
p1k_00745	5803902.0
p1k_00746	6502680.0
p1k_00747	7587510.0
p1k_00748	7505617.0
p1k_00749	7252488.0
p1k_00750	7529214.0
p1k_00751	6942856.0
p1k_00752	6423780.0
p1k_00753	7795367.0
p1k_00754	6694245.0
p1k_00755	6972065.0
p1k_00756	7250550.0
p1k_00757	7493688.0
p1k_00758	7169318.0
p1k_00759	8255618.0
p1k_00760	8270554.0
p1k_00761	7956333.0
p1k_00762	6717906.0
p1k_00763	6543526.0
p1k_00764	6570653.0
p1k_00765	6800809.0
p1k_00766	5346796.0
p1k_00767	6907397.0
p1k_00768	4646403.0
p1k_00769	7010995.0
p1k_00770	6565338.0
p1k_00771	9929598.0
p1k_00772	8226314.0
p1k_00773	7420598.0
p1k_00774	7288373.0
p1k_00775	9943985.0
p1k_00776	9764231.0
p1k_00777	6772471.0
p1k_00778	7641279.0
p1k_00779	9532699.0
p1k_00780	8474550.0
p1k_00781	10901484.0
p1k_00782	8913907.0
p1k_00783	10612293.0
p1k_00784	9123883.0
p1k_00785	8464378.0
p1k_00786	9000254.0
p1k_00787	7724944.0
p1k_00788	8876770.0
p1k_00789	7182488.0
p1k_00790	9595727.0
p1k_00791	4379414.0
p1k_00792	4276754.0
p1k_00793	4208394.0
p1k_00794	6138877.0
p1k_00795	12880965.0
p1k_00796	13248207.0
p1k_00797	6930631.0
p1k_00798	7521560.0
p1k_00799	7300144.0
p1k_00800	7909700.0
p1k_00801	6023354.0
p1k_00802	7431674.0
p1k_00803	10429671.0
p1k_00804	10438346.0
p1k_00805	11803877.0
p1k_00806	16676767.0
p1k_00807	9980935.0
p1k_00808	11783537.0
p1k_00809	11133011.0
p1k_00810	14565786.0
p1k_00811	11275110.0
p1k_00812	12112928.0
p1k_00813	11970659.0
p1k_00814	15681701.0
p1k_00815	11674075.0
p1k_00816	11856384.0
p1k_00817	10260631.0
p1k_00818	13704291.0
p1k_00819	11400593.0
p1k_00820	9026965.0
p1k_00821	2201949.0
p1k_00822	3636961.0
p1k_00823	1551253.0
p1k_00824	2289488.0
p1k_00825	2910024.0
p1k_00826	13053250.0
p1k_00827	18999737.0
p1k_00828	12652730.0
p1k_00829	9776211.0
p1k_00830	10645093.0
p1k_00831	7744299.0
p1k_00832	8867149.0
p1k_00833	8329293.0
p1k_00834	9128499.0
p1k_00835	9580712.0
p1k_00836	13782002.0
p1k_00837	13163540.0
p1k_00838	9967828.0
p1k_00839	4991761.0
p1k_00840	9203702.0
p1k_00841	13632843.0
p1k_00842	5028818.0
p1k_00843	12959324.0
p1k_00844	7160352.0
p1k_00845	8086659.0
p1k_00846	7910762.0
p1k_00847	9408571.0
p1k_00848	17430852.0
p1k_00849	14457805.0
p1k_00850	9263657.0
p1k_00851	10014482.0
p1k_00852	9364783.0
p1k_00853	10195440.0
p1k_00854	14904888.0
p1k_00855	10433396.0
p1k_00856	8299666.0
p1k_00857	120725916.0
p1k_00858	8150363.0
p1k_00859	8888618.0
p1k_00860	13357348.0
p1k_00861	11986679.0
p1k_00862	9448657.0
p1k_00863	10969251.0
p1k_00864	9149930.0
p1k_00865	10098955.0
p1k_00866	11980899.0
p1k_00867	12570677.0
p1k_00868	7481211.0
p1k_00869	7949826.0
p1k_00870	8434117.0
p1k_00871	4713323.0
p1k_00872	20089315.0
p1k_00873	10460992.0
p1k_00874	8960712.0
p1k_00875	9351328.0
p1k_00876	7769445.0
p1k_00877	79260326.0
p1k_00878	12391166.0
p1k_00879	19647032.0
p1k_00880	11758848.0
p1k_00881	10220840.0
p1k_00882	12764528.0
p1k_00883	13578580.0
p1k_00884	12815322.0
p1k_00885	11911009.0
p1k_00886	12242707.0
p1k_00887	13080438.0
p1k_00888	12685149.0
p1k_00889	16686933.0
p1k_00890	10129225.0
p1k_00891	8731989.0
p1k_00892	5008229.0
p1k_00893	6523624.0
p1k_00894	5130030.0
p1k_00895	5811508.0
p1k_00896	6338251.0
p1k_00897	6158458.0
p1k_00898	6035459.0
p1k_00899	6397191.0
p1k_00900	5710631.0
p1k_00901	4791782.0
p1k_00902	5484576.0
p1k_00903	5969746.0
p1k_00904	5598721.0
p1k_00905	8252080.0
p1k_00906	9683043.0
p1k_00907	11207870.0
p1k_00908	9666204.0
p1k_00909	8271311.0
p1k_00910	8598546.0
p1k_00911	11829810.0
p1k_00912	8757703.0
p1k_00913	9294371.0
p1k_00914	9190890.0
p1k_00915	8825928.0
p1k_00916	8265353.0
p1k_00917	11043058.0
p1k_00918	9853027.0
p1k_00919	7823615.0
p1k_00920	10269161.0
p1k_00921	6271577.0
p1k_00922	15280471.0
p1k_00923	17083084.0
p1k_00924	15556655.0
p1k_00925	16025511.0
p1k_00926	15153470.0
p1k_00927	14747417.0
p1k_00928	17287727.0
p1k_00929	14184013.0
p1k_00930	1728027.0
p1k_00931	1323493.0
p1k_00932	5822835.0
p1k_00933	4449739.0
p1k_00934	3628873.0
p1k_00935	4438551.0
p1k_00936	4341444.0
p1k_00937	8202214.0
p1k_00938	1785873.0
p1k_00939	2816080.0
p1k_00940	3228552.0
p1k_00941	4185012.0
p1k_00942	11504295.0
p1k_00943	3459399.0
p1k_00944	2741991.0
p1k_00945	3107367.0
p1k_00946	4356777.0
p1k_00947	6903214.0
p1k_00948	5229602.0
p1k_00949	6654061.0
p1k_00950	10756444.0
p1k_00951	3857576.0
p1k_00952	2797697.0
p1k_00953	7479249.0
p1k_00954	8297232.0
p1k_00955	7069462.0
p1k_00956	4307570.0
p1k_00957	5177423.0
p1k_00958	12242455.0
p1k_00959	2010232.0
p1k_00960	2109132.0
p1k_00961	12516512.0
p1k_00962	2560311.0
p1k_00963	1605932.0
p1k_00964	1950596.0
p1k_00965	2817804.0
p1k_00966	2705790.0
p1k_00967	13890018.0
p1k_00968	3531816.0
p1k_00969	4055833.0
p1k_00970	3601472.0
p1k_00971	4635227.0
p1k_00972	10353656.0
p1k_00973	7022318.0
p1k_00974	1835428.0
p1k_00975	5450531.0
p1k_00976	2155003.0
p1k_00977	5729194.0
p1k_00978	6721034.0
p1k_00979	6259849.0
p1k_00980	6657233.0
p1k_00981	5561682.0
p1k_00982	1590846.0
p1k_00983	4884718.0
p1k_00984	4921387.0
p1k_00985	3688116.0
p1k_00986	2826300.0
p1k_00987	3661575.0
p1k_00988	11822461.0
p1k_00989	3012940.0
p1k_00990	2162247.0
p1k_00991	13988666.0
p1k_00992	4136185.0
p1k_00993	2477386.0
p1k_00994	2690576.0
p1k_00995	5887636.0
p1k_00996	4679281.0
p1k_00997	13549291.0
p1k_00998	11336030.0
p1k_00999	3027429.0
p1k_01000	14951500.0
p1k_01001	5184221.0
p1k_01002	8547082.0
p1k_01003	2471781.0
p1k_01004	2789945.0
p1k_01005	2987995.0
p1k_01006	2944219.0
p1k_01007	4290453.0
p1k_01008	10708852.0
p1k_01009	3635372.0
p1k_01010	3923457.0
p1k_01011	2730516.0
p1k_01012	2456004.0
p1k_01013	3551432.0
p1k_01014	2110368.0
p1k_01015	3586375.0
p1k_01016	2379331.0
p1k_01017	9323363.0
p1k_01018	2350548.0
p1k_01019	2333527.0
p1k_01020	6246777.0
p1k_01021	1710475.0
p1k_01022	2175976.0
p1k_01023	2823036.0
p1k_01024	2104974.0
p1k_01025	3094989.0
p1k_01026	2780789.0
p1k_01027	2790938.0
p1k_01028	2132011.0
p1k_01029	2781172.0
p1k_01030	3405896.0
p1k_01031	10928714.0
p1k_01032	4159528.0
p1k_01033	4692069.0
p1k_01034	4571723.0
p1k_01035	1678290.0
p1k_01036	3452528.0
p1k_01037	4199744.0
p1k_01038	2757106.0
p1k_01039	1233667.0
p1k_01040	1795021.0
p1k_01041	2835162.0
p1k_01042	3221661.0
p1k_01043	3300886.0
p1k_01044	3412222.0
p1k_01045	2700877.0
p1k_01046	3069299.0
p1k_01047	6004353.0
p1k_01048	2127810.0
p1k_01049	1973297.0
p1k_01050	961526.0
p1k_01051	969487.0
p1k_01052	2084808.0
p1k_01053	2674248.0
p1k_01054	5148509.0
p1k_01055	3489718.0
