Sample	Sense	Antisense	Undetermined
p1k_00066	1.6500000000000001	49.519999999999996	48.83
p1k_00067	1.7000000000000002	49.01	49.29
p1k_00068	6.0600000000000005	46.989999999999995	46.949999999999996
p1k_00069	3.6999999999999997	44.18	52.11
p1k_00070	3.74	44.940000000000005	51.32
p1k_00071	4.37	45.93	49.7
p1k_00072	4.46	44.96	50.580000000000005
p1k_00073	3.04	49.35	47.599999999999994
p1k_00074	2.74	51.15	46.11
p1k_00075	4.45	48.72	46.83
p1k_00076	4.38	44.2	51.42
p1k_00077	4.68	43.75	51.580000000000005
p1k_00078	4.96	45.37	49.669999999999995
p1k_00079	3.71	44.95	51.339999999999996
p1k_00080	4.569999999999999	50.8	44.64
p1k_00081	4.77	44.879999999999995	50.349999999999994
p1k_00082	3.94	47.24	48.82
p1k_00083	3.71	46.73	49.559999999999995
p1k_00084	3.7199999999999998	43.419999999999995	52.86
p1k_00085	3.95	44.89	51.160000000000004
p1k_00086	3.06	47.67	49.26
p1k_00087	2.96	47.53	49.51
p1k_00088	3.18	45.28	51.54
p1k_00089	3.09	45.7	51.21
p1k_00090	3.04	44.54	52.42
p1k_00091	3.02	44.61	52.370000000000005
p1k_00092	3.2099999999999995	48.86	47.93
p1k_00093	3.16	46.650000000000006	50.2
p1k_00094	1.47	41.93	56.589999999999996
p1k_00095	1.53	42.24	56.230000000000004
p1k_00096	3.39	47.53	49.08
p1k_00097	3.0700000000000003	46.589999999999996	50.33
p1k_00098	1.46	42.49	56.04
p1k_00099	1.52	42.64	55.85
p1k_00100	3.75	43.919999999999995	52.33
p1k_00101	1.59	41.21	57.199999999999996
p1k_00102	1.6099999999999999	40.96	57.43000000000001
p1k_00103	1.48	38.06	60.46
p1k_00104	1.52	37.74	60.75000000000001
p1k_00105	3.65	45.03	51.32
p1k_00106	3.51	43.81	52.68000000000001
p1k_00107	3.63	43.46	52.910000000000004
p1k_00108	1.67	48.230000000000004	50.1
p1k_00109	1.5699999999999998	49.309999999999995	49.120000000000005
p1k_00110	1.63	46.39	51.980000000000004
p1k_00111	1.6500000000000001	46.129999999999995	52.21
p1k_00112	1.72	46.96	51.33
p1k_00113	1.51	47.74	50.74999999999999
p1k_00114	1.52	47.349999999999994	51.129999999999995
p1k_00115	1.49	48.339999999999996	50.160000000000004
p1k_00116	1.6199999999999999	47.64	50.74999999999999
p1k_00117	1.53	47.21	51.27
p1k_00118	1.5699999999999998	47.96	50.470000000000006
p1k_00119	1.4200000000000002	49.34	49.230000000000004
p1k_00120	1.46	48.209999999999994	50.33
p1k_00121	1.43	49.2	49.370000000000005
p1k_00122	1.4200000000000002	46.96	51.62
p1k_00123	1.51	47.44	51.05
p1k_00124	1.46	47.589999999999996	50.949999999999996
p1k_00125	4.130000000000001	42.65	53.21
p1k_00126	4.35	40.04	55.60000000000001
p1k_00127	5.16	40.36	54.49
p1k_00129	2.9000000000000004	46.82	50.28
p1k_00130	3.27	41.94	54.790000000000006
p1k_00131	3.17	44.09	52.739999999999995
p1k_00132	1.4000000000000001	44.269999999999996	54.33
p1k_00133	3.01	49.3	47.69
p1k_00134	2.7199999999999998	44.93	52.349999999999994
p1k_00135	2.73	44.51	52.75
p1k_00136	3.02	45.4	51.580000000000005
p1k_00137	3.35	44.22	52.43
p1k_00138	2.18	47.96	49.85
p1k_00139	2.8400000000000003	47.760000000000005	49.4
p1k_00140	3.26	43.87	52.86
p1k_00141	3.16	46.27	50.57000000000001
p1k_00142	3.8699999999999997	51.5	44.629999999999995
p1k_00143	4.49	43.07	52.44
p1k_00144	3.7900000000000005	52.78	43.43
p1k_00146	1.55	45.410000000000004	53.04
p1k_00147	1.7399999999999998	45.83	52.43
p1k_00148	1.7399999999999998	46.839999999999996	51.43
p1k_00149	1.4500000000000002	45.5	53.05
p1k_00150	1.76	46.410000000000004	51.83
p1k_00151	40.81	32.11	27.07
p1k_00152	16.84	42.25	40.92
p1k_00153	23.53	39.129999999999995	37.330000000000005
p1k_00154	4.88	56.32	38.79
p1k_00155	34.94	34.96	30.099999999999998
p1k_00156	5.54	51.68000000000001	42.78
p1k_00157	11.469999999999999	42.91	45.61
p1k_00158	25.91	35.38	38.71
p1k_00159	7.870000000000001	40.89	51.239999999999995
p1k_00160	18.4	36.88	44.72
p1k_00161	1.4000000000000001	40.82	57.79
p1k_00162	1.38	40.47	58.14
p1k_00163	1.31	43.78	54.92
p1k_00164	1.8399999999999999	44.56	53.6
p1k_00165	1.54	43.419999999999995	55.04
p1k_00166	1.4000000000000001	44.36	54.24
p1k_00167	1.72	45.81	52.470000000000006
p1k_00168	1.9300000000000002	45.11	52.959999999999994
p1k_00169	1.58	52.83	45.58
p1k_00170	1.6099999999999999	51.62	46.77
p1k_00171	1.73	44.03	54.230000000000004
p1k_00172	1.82	44.22	53.959999999999994
p1k_00173	1.6500000000000001	40.129999999999995	58.220000000000006
p1k_00174	1.52	40.14	58.330000000000005
p1k_00175	2.04	47.73	50.22
p1k_00176	1.96	47.07	50.970000000000006
p1k_00177	1.69	41.91	56.410000000000004
p1k_00178	1.49	41.75	56.76
p1k_00179	1.71	43.2	55.1
p1k_00180	1.8399999999999999	43.71	54.44
p1k_00181	1.6199999999999999	40.04	58.35
p1k_00182	1.6500000000000001	39.660000000000004	58.69
p1k_00183	3.16	42.84	53.99
p1k_00184	1.92	43.9	54.17999999999999
p1k_00185	1.63	42.96	55.410000000000004
p1k_00186	1.63	42.85	55.52
p1k_00187	3.02	42.34	54.64
p1k_00188	2.36	42.449999999999996	55.19
p1k_00189	3.05	45.43	51.519999999999996
p1k_00190	2.69	45.51	51.81
p1k_00191	1.8399999999999999	43.36	54.81
p1k_00192	1.9300000000000002	43.36	54.72
p1k_00193	1.9800000000000002	46.11	51.910000000000004
p1k_00194	1.8399999999999999	46.97	51.190000000000005
p1k_00195	2.0	44.330000000000005	53.669999999999995
p1k_00196	2.0	42.620000000000005	55.37
p1k_00197	2.22	44.43	53.349999999999994
p1k_00198	2.0	45.58	52.42
p1k_00199	2.34	47.96	49.71
p1k_00200	2.22	47.58	50.2
p1k_00201	2.01	45.21	52.78
p1k_00202	2.08	45.79	52.129999999999995
p1k_00203	1.96	43.84	54.2
p1k_00204	1.76	43.84	54.400000000000006
p1k_00205	1.97	47.81	50.22
p1k_00206	1.94	48.19	49.87
p1k_00207	2.03	45.34	52.629999999999995
p1k_00208	2.19	45.45	52.35999999999999
p1k_00209	1.9300000000000002	44.67	53.400000000000006
p1k_00210	2.03	47.8	50.17
p1k_00211	1.8900000000000001	45.18	52.92
p1k_00212	1.8900000000000001	44.58	53.53
p1k_00213	1.68	44.42	53.89000000000001
p1k_00214	1.72	43.79	54.49
p1k_00215	1.97	45.47	52.559999999999995
p1k_00216	1.72	46.129999999999995	52.15
p1k_00217	1.96	47.660000000000004	50.39
p1k_00218	2.1399999999999997	48.11	49.75
p1k_00219	2.79	43.8	53.410000000000004
p1k_00220	2.7	44.03	53.269999999999996
p1k_00221	2.94	46.45	50.61
p1k_00222	2.7	46.050000000000004	51.24999999999999
p1k_00223	2.4699999999999998	49.19	48.339999999999996
p1k_00224	2.39	48.64	48.97
p1k_00225	2.55	47.589999999999996	49.86
p1k_00226	2.36	46.71	50.93
p1k_00227	2.4899999999999998	59.72	37.8
p1k_00228	2.5	56.67	40.83
p1k_00229	2.53	49.61	47.85
p1k_00230	2.73	47.599999999999994	49.669999999999995
p1k_00231	2.81	44.58	52.61
p1k_00232	2.67	45.33	52.01
p1k_00233	4.35	48.53	47.12
p1k_00234	4.44	43.68	51.88
p1k_00235	4.26	44.06	51.68000000000001
p1k_00236	4.74	44.25	51.01
p1k_00237	4.41	43.68	51.910000000000004
p1k_00238	4.66	47.74	47.599999999999994
p1k_00239	4.41	47.89	47.699999999999996
p1k_00240	4.6	45.08	50.32
p1k_00241	4.0	49.81	46.19
p1k_00242	3.7900000000000005	50.03999999999999	46.17
p1k_00243	3.95	45.379999999999995	50.660000000000004
p1k_00244	3.84	45.58	50.57000000000001
p1k_00245	4.82	45.73	49.45
p1k_00246	4.859999999999999	47.42	47.72
p1k_00247	3.73	49.68	46.589999999999996
p1k_00248	3.6799999999999997	50.91	45.410000000000004
p1k_00249	3.63	48.79	47.58
p1k_00250	3.4000000000000004	49.11	47.49
p1k_00251	4.5	51.190000000000005	44.31
p1k_00252	4.51	54.059999999999995	41.43
p1k_00253	4.25	49.55	46.2
p1k_00254	4.84	52.55	42.61
p1k_00255	2.1399999999999997	43.6	54.26
p1k_00256	1.87	44.5	53.63
p1k_00257	3.0700000000000003	48.28	48.66
p1k_00258	3.25	48.13	48.63
p1k_00259	3.56	43.32	53.12
p1k_00260	3.16	44.190000000000005	52.65
p1k_00261	2.9499999999999997	48.77	48.29
p1k_00262	3.49	48.44	48.06
p1k_00263	4.5600000000000005	41.6	53.839999999999996
p1k_00264	3.55	42.19	54.26
p1k_00265	7.59	41.010000000000005	51.41
p1k_00266	4.5	42.68	52.82
p1k_00267	2.42	41.03	56.54
p1k_00268	2.44	45.87	51.690000000000005
p1k_00269	2.36	43.68	53.959999999999994
p1k_00270	2.08	45.37	52.54
p1k_00271	0.27999999999999997	93.49	6.23
p1k_00273	0.79	85.28999999999999	13.919999999999998
p1k_00274	0.66	87.4	11.940000000000001
p1k_00275	1.8599999999999999	45.11	53.03
p1k_00276	2.59	45.65	51.76
p1k_00277	1.5	42.28	56.220000000000006
p1k_00278	1.69	43.02	55.279999999999994
p1k_00279	2.39	44.68	52.93
p1k_00280	1.72	45.17	53.12
p1k_00281	2.41	44.13	53.459999999999994
p1k_00282	2.3	49.5	48.199999999999996
p1k_00283	2.29	42.63	55.08
p1k_00284	2.35	43.480000000000004	54.169999999999995
p1k_00285	4.32	43.15	52.53
p1k_00286	2.06	44.190000000000005	53.75
p1k_00287	2.07	41.49	56.44
p1k_00288	1.8900000000000001	43.71	54.400000000000006
p1k_00289	1.77	42.42	55.81
p1k_00290	1.73	43.54	54.730000000000004
p1k_00291	2.26	45.25	52.49
p1k_00292	2.31	44.71	52.980000000000004
p1k_00293	2.2800000000000002	45.300000000000004	52.42
p1k_00294	2.13	45.93	51.93
p1k_00295	2.27	40.71	57.02
p1k_00297	14.34	38.550000000000004	47.099999999999994
p1k_00298	1.7500000000000002	41.660000000000004	56.589999999999996
p1k_00299	5.24	44.51	50.260000000000005
p1k_00300	1.73	42.03	56.230000000000004
p1k_00301	2.25	46.07	51.67
p1k_00302	1.79	46.42	51.800000000000004
p1k_00303	1.95	48.24	49.8
p1k_00304	1.8900000000000001	48.13	49.980000000000004
p1k_00305	2.02	48.5	49.480000000000004
p1k_00306	2.42	46.839999999999996	50.739999999999995
p1k_00307	3.3300000000000005	43.61	53.059999999999995
p1k_00308	4.29	42.66	53.059999999999995
p1k_00309	3.25	45.96	50.8
p1k_00310	3.6799999999999997	45.83	50.49
p1k_00311	3.36	47.28	49.36
p1k_00312	3.32	46.68	50.0
p1k_00313	3.04	40.82	56.14
p1k_00314	3.2199999999999998	40.79	56.00000000000001
p1k_00315	3.51	43.9	52.59
p1k_00316	3.47	44.230000000000004	52.300000000000004
p1k_00317	3.88	39.94	56.18
p1k_00318	3.88	38.93	57.18
p1k_00319	4.05	40.83	55.11000000000001
p1k_00320	4.0	41.160000000000004	54.83
p1k_00321	3.88	40.99	55.13
p1k_00322	3.93	40.81	55.26
p1k_00323	3.71	41.69	54.6
p1k_00324	3.7600000000000002	42.17	54.06999999999999
p1k_00325	3.4099999999999997	47.8	48.79
p1k_00326	2.6	48.14	49.27
p1k_00327	3.37	47.089999999999996	49.54
p1k_00328	3.58	45.04	51.39
p1k_00329	3.2800000000000002	41.32	55.38999999999999
p1k_00330	4.03	42.26	53.71
p1k_00331	3.6700000000000004	45.03	51.300000000000004
p1k_00332	3.64	44.769999999999996	51.59
p1k_00333	3.8	44.62	51.580000000000005
p1k_00334	3.84	45.51	50.64999999999999
p1k_00335	3.92	44.76	51.33
p1k_00336	3.7800000000000002	44.48	51.739999999999995
p1k_00337	3.1	52.55	44.34
p1k_00338	3.39	52.88	43.730000000000004
p1k_00339	3.4799999999999995	49.13	47.39
p1k_00340	3.27	50.42	46.31
p1k_00341	3.7699999999999996	41.24	55.00000000000001
p1k_00342	4.04	41.23	54.730000000000004
p1k_00343	3.95	40.58	55.47
p1k_00344	4.06	40.63	55.32
p1k_00346	3.6700000000000004	40.21	56.120000000000005
p1k_00347	3.58	40.1	56.32
p1k_00348	3.5700000000000003	41.02	55.400000000000006
p1k_00349	3.8600000000000003	43.86	52.27
p1k_00350	4.04	43.35	52.61
p1k_00351	4.04	41.980000000000004	53.97
p1k_00352	4.16	42.699999999999996	53.14
p1k_00353	3.63	44.89	51.470000000000006
p1k_00354	3.88	44.95	51.160000000000004
p1k_00355	3.93	44.32	51.74999999999999
p1k_00356	4.32	43.97	51.71
p1k_00357	4.760000000000001	46.47	48.76
p1k_00358	3.82	44.529999999999994	51.65
p1k_00359	5.94	45.769999999999996	48.29
p1k_00360	4.2	42.089999999999996	53.71
p1k_00361	3.5999999999999996	23.46	72.94
p1k_00362	6.68	41.47	51.849999999999994
p1k_00363	4.47	50.63999999999999	44.879999999999995
p1k_00364	4.22	46.78	49.0
p1k_00365	4.61	41.44	53.959999999999994
p1k_00366	4.38	42.65	52.96999999999999
p1k_00367	4.55	39.31	56.14
p1k_00368	4.54	40.11	55.34
p1k_00369	3.5999999999999996	44.800000000000004	51.6
p1k_00370	3.19	42.36	54.449999999999996
p1k_00371	4.1000000000000005	38.129999999999995	57.769999999999996
p1k_00372	3.92	36.35	59.730000000000004
p1k_00373	4.34	38.53	57.120000000000005
p1k_00374	4.3	37.53	58.17
p1k_00375	3.8600000000000003	42.29	53.849999999999994
p1k_00376	3.26	42.11	54.63
p1k_00377	4.42	38.93	56.66
p1k_00378	4.3999999999999995	38.34	57.269999999999996
p1k_00379	3.81	36.809999999999995	59.38
p1k_00380	3.9699999999999998	37.18	58.86
p1k_00381	3.2300000000000004	42.44	54.33
p1k_00382	3.53	43.269999999999996	53.2
p1k_00383	4.590000000000001	36.47	58.940000000000005
p1k_00384	4.9399999999999995	39.21	55.85
p1k_00385	4.04	38.440000000000005	57.52
p1k_00386	3.95	37.419999999999995	58.63
p1k_00387	13.33	37.019999999999996	49.66
p1k_00388	22.650000000000002	32.78	44.58
p1k_00389	2.8400000000000003	44.71	52.449999999999996
p1k_00390	2.85	43.41	53.74
p1k_00391	1.8900000000000001	49.85	48.25
p1k_00392	1.8599999999999999	50.63999999999999	47.510000000000005
p1k_00393	38.24	27.96	33.81
p1k_00394	25.27	35.19	39.550000000000004
p1k_00395	2.56	44.32	53.13
p1k_00396	2.6	44.080000000000005	53.32
p1k_00397	6.11	17.61	76.27000000000001
p1k_00398	3.2099999999999995	46.01	50.78
p1k_00399	19.03	37.65	43.32
p1k_00400	8.59	43.45	47.96
p1k_00401	2.8899999999999997	44.84	52.27
p1k_00402	2.9499999999999997	44.81	52.239999999999995
p1k_00403	4.17	45.739999999999995	50.1
p1k_00404	3.09	45.17	51.73
p1k_00405	6.29	42.65	51.06
p1k_00406	10.97	40.510000000000005	48.52
p1k_00407	2.4299999999999997	44.68	52.900000000000006
p1k_00408	2.44	43.56	54.0
p1k_00409	2.98	44.2	52.82
p1k_00410	3.08	45.47	51.449999999999996
p1k_00411	19.11	34.93	45.96
p1k_00412	4.3999999999999995	42.53	53.080000000000005
p1k_00413	2.5100000000000002	43.46	54.03
p1k_00414	2.5100000000000002	44.11	53.37
p1k_00415	2.08	46.82	51.11
p1k_00416	2.17	46.67	51.160000000000004
p1k_00417	3.54	42.4	54.05
p1k_00418	2.83	43.05	54.120000000000005
p1k_00419	2.97	42.76	54.26
p1k_00420	2.6599999999999997	42.88	54.459999999999994
p1k_00421	2.62	42.75	54.63
p1k_00422	2.77	43.81	53.42
p1k_00423	2.33	43.44	54.230000000000004
p1k_00424	2.75	43.51	53.74
p1k_00425	2.09	47.0	50.91
p1k_00426	1.78	48.33	49.89
p1k_00427	1.8900000000000001	46.48	51.629999999999995
p1k_00428	1.8599999999999999	46.86	51.29
p1k_00429	3.0300000000000002	42.74	54.230000000000004
p1k_00430	3.4799999999999995	40.62	55.900000000000006
p1k_00431	2.34	43.919999999999995	53.73
p1k_00432	2.37	43.71	53.92
p1k_00433	3.25	47.19	49.559999999999995
p1k_00434	3.6900000000000004	46.800000000000004	49.5
p1k_00435	3.91	43.37	52.72
p1k_00436	3.44	43.35	53.22
p1k_00437	2.17	46.61	51.22
p1k_00438	2.33	46.71	50.96000000000001
p1k_00439	3.1300000000000003	45.98	50.89
p1k_00440	3.25	47.160000000000004	49.59
p1k_00441	6.01	43.41	50.580000000000005
p1k_00442	5.52	44.3	50.18
p1k_00443	6.03	43.91	50.06
p1k_00444	4.93	43.19	51.88
p1k_00445	5.6899999999999995	42.230000000000004	52.080000000000005
p1k_00446	5.81	43.14	51.05
p1k_00447	5.06	43.13	51.81
p1k_00448	4.2299999999999995	45.839999999999996	49.93
p1k_00449	3.02	42.46	54.53
p1k_00450	2.79	45.379999999999995	51.83
p1k_00451	3.16	44.16	52.68000000000001
p1k_00452	3.19	44.62	52.190000000000005
p1k_00453	3.16	43.66	53.18000000000001
p1k_00454	3.2399999999999998	43.93	52.83
p1k_00455	1.7000000000000002	35.17	63.129999999999995
p1k_00456	1.32	34.78	63.9
p1k_00457	2.68	41.22	56.10000000000001
p1k_00458	2.78	41.93	55.28999999999999
p1k_00459	2.8000000000000003	37.14	60.06
p1k_00460	2.97	37.88	59.14
p1k_00461	2.7199999999999998	37.12	60.160000000000004
p1k_00462	2.62	36.61	60.760000000000005
p1k_00463	3.06	39.910000000000004	57.03
p1k_00464	3.29	43.46	53.25
p1k_00465	1.51	32.35	66.14
p1k_00466	1.66	34.19	64.14999999999999
p1k_00467	2.87	44.42	52.71
p1k_00468	2.4299999999999997	39.410000000000004	58.160000000000004
p1k_00469	2.34	40.949999999999996	56.71000000000001
p1k_00470	2.42	42.13	55.45
p1k_00471	2.46	36.620000000000005	60.919999999999995
p1k_00472	2.64	36.980000000000004	60.38
p1k_00473	3.61	46.07	50.32
p1k_00474	3.63	46.81	49.559999999999995
p1k_00475	3.7699999999999996	45.910000000000004	50.32
p1k_00476	3.63	46.53	49.84
p1k_00477	3.56	44.68	51.76
p1k_00478	3.39	44.76	51.849999999999994
p1k_00479	3.6799999999999997	40.23	56.10000000000001
p1k_00480	4.17	46.75	49.08
p1k_00481	2.0	48.72	49.27
p1k_00482	1.83	44.79	53.38
p1k_00483	2.56	41.63	55.800000000000004
p1k_00484	2.5	38.92	58.58
p1k_00485	2.71	31.72	65.57
p1k_00486	3.2399999999999998	44.28	52.470000000000006
p1k_00487	3.0700000000000003	44.7	52.23
p1k_00488	3.04	44.629999999999995	52.33
p1k_00489	3.1399999999999997	43.57	53.290000000000006
p1k_00490	3.35	47.760000000000005	48.89
p1k_00491	3.1	39.900000000000006	56.99999999999999
p1k_00492	3.17	42.91	53.92
p1k_00493	3.1	41.36	55.54
p1k_00494	3.18	43.580000000000005	53.239999999999995
p1k_00495	2.34	34.58	63.09
p1k_00496	2.4	34.38	63.22
p1k_00497	2.13	43.89	53.98
p1k_00498	1.91	36.97	61.12
p1k_00499	3.42	43.59	53.0
p1k_00500	3.39	43.21	53.400000000000006
p1k_00501	3.2800000000000002	44.25	52.470000000000006
p1k_00502	3.47	46.03	50.5
p1k_00503	3.29	44.71	52.0
p1k_00504	3.4000000000000004	45.85	50.74999999999999
p1k_00505	4.0	46.36	49.64
p1k_00506	3.8	47.3	48.9
p1k_00507	2.9499999999999997	41.42	55.64
p1k_00508	2.8400000000000003	37.39	59.78
p1k_00509	2.9000000000000004	44.800000000000004	52.300000000000004
p1k_00510	2.8000000000000003	44.65	52.55
p1k_00511	5.65	45.31	49.04
p1k_00512	5.18	43.580000000000005	51.24999999999999
p1k_00513	4.66	45.440000000000005	49.9
p1k_00514	4.3	47.31	48.4
p1k_00515	4.16	47.620000000000005	48.22
p1k_00517	5.34	47.43	47.23
p1k_00518	2.6	44.440000000000005	52.959999999999994
p1k_00519	2.48	44.25	53.269999999999996
p1k_00520	3.92	43.44	52.64
p1k_00521	3.82	37.940000000000005	58.24
p1k_00522	4.04	50.14999999999999	45.81
p1k_00523	4.91	49.730000000000004	45.36
p1k_00524	5.54	50.29	44.17
p1k_00525	5.41	48.68	45.910000000000004
p1k_00526	5.58	42.42	51.99
p1k_00527	5.41	42.93	51.65
p1k_00528	4.99	41.730000000000004	53.28000000000001
p1k_00529	5.1	42.4	52.5
p1k_00530	4.88	46.62	48.5
p1k_00531	4.8	46.28	48.92
p1k_00532	4.2700000000000005	48.38	47.349999999999994
p1k_00533	4.05	47.949999999999996	48.0
p1k_00534	4.4799999999999995	53.06999999999999	42.449999999999996
p1k_00535	4.6899999999999995	53.32	41.99
p1k_00536	5.65	52.349999999999994	42.0
p1k_00537	6.4399999999999995	52.62	40.94
p1k_00538	3.61	51.18000000000001	45.21
p1k_00539	2.81	36.230000000000004	60.96
p1k_00540	4.82	45.11	50.07
p1k_00541	4.51	45.34	50.14999999999999
p1k_00542	4.73	46.37	48.9
p1k_00543	3.7699999999999996	41.29	54.94
p1k_00544	4.109999999999999	48.53	47.36
p1k_00545	4.109999999999999	48.15	47.74
p1k_00546	6.01	43.88	50.11
p1k_00547	5.96	43.65	50.39
p1k_00548	5.47	46.77	47.77
p1k_00549	4.72	46.85	48.43
p1k_00550	5.16	45.71	49.120000000000005
p1k_00551	5.7	46.83	47.47
p1k_00552	5.21	44.93	49.86
p1k_00553	4.6899999999999995	45.85	49.46
p1k_00554	3.65	46.58	49.769999999999996
p1k_00555	3.81	45.53	50.660000000000004
p1k_00556	3.4299999999999997	53.269999999999996	43.29
p1k_00557	4.24	52.7	43.059999999999995
p1k_00558	1.77	45.16	53.06999999999999
p1k_00559	1.76	44.2	54.03
p1k_00560	3.26	46.9	49.85
p1k_00561	3.4299999999999997	47.010000000000005	49.559999999999995
p1k_00562	1.01	42.61	56.38999999999999
p1k_00563	1.0999999999999999	42.8	56.10000000000001
p1k_00564	1.0	44.86	54.14
p1k_00565	1.04	45.53	53.43
p1k_00566	2.91	32.71	64.39
p1k_00567	3.11	47.03	49.86
p1k_00568	4.09	47.18	48.72
p1k_00569	3.84	47.089999999999996	49.08
p1k_00570	2.69	44.09	53.22
p1k_00571	2.4299999999999997	47.18	50.39
p1k_00572	3.2199999999999998	45.67	51.11
p1k_00573	1.7999999999999998	31.180000000000003	67.02
p1k_00574	3.91	48.66	47.43
p1k_00575	4.02	47.0	48.980000000000004
p1k_00576	1.9	46.44	51.66
p1k_00577	1.72	45.65	52.62
p1k_00578	4.52	43.580000000000005	51.9
p1k_00579	4.2299999999999995	43.87	51.910000000000004
p1k_00580	1.21	43.46	55.33
p1k_00581	1.41	42.43	56.16
p1k_00582	1.69	45.28	53.03
p1k_00583	1.72	45.35	52.92
p1k_00584	4.96	50.43	44.61
p1k_00585	4.9	50.92	44.18
p1k_00586	3.7699999999999996	46.18	50.05
p1k_00587	4.3999999999999995	46.37	49.230000000000004
p1k_00588	4.3999999999999995	46.26	49.34
p1k_00589	4.08	46.07	49.84
p1k_00590	4.7	44.74	50.56
p1k_00591	4.8500000000000005	45.28	49.87
p1k_00592	3.09	45.25	51.66
p1k_00593	3.6900000000000004	47.08	49.230000000000004
p1k_00594	3.51	38.9	57.589999999999996
p1k_00595	5.12	43.03	51.849999999999994
p1k_00596	5.319999999999999	46.17	48.52
p1k_00597	5.19	46.61	48.209999999999994
p1k_00598	4.82	47.44	47.74
p1k_00599	5.09	47.23	47.68
p1k_00600	5.93	42.52	51.55
p1k_00601	5.1499999999999995	43.14	51.72
p1k_00602	4.93	43.059999999999995	52.01
p1k_00603	4.87	44.75	50.38
p1k_00604	4.74	44.31	50.949999999999996
p1k_00605	4.77	45.33	49.9
p1k_00606	5.7299999999999995	45.68	48.59
p1k_00607	4.95	46.08	48.96
p1k_00608	4.92	47.06	48.02
p1k_00609	5.319999999999999	43.39	51.29
p1k_00610	4.9399999999999995	47.85	47.21
p1k_00611	5.07	46.86	48.07
p1k_00612	1.8399999999999999	42.39	55.769999999999996
p1k_00613	1.72	42.47	55.81
p1k_00614	2.02	50.11	47.870000000000005
p1k_00615	2.02	49.9	48.08
p1k_00616	2.0500000000000003	45.76	52.190000000000005
p1k_00617	1.9900000000000002	46.11	51.9
p1k_00618	2.07	48.03	49.9
p1k_00619	1.59	47.86	50.55
p1k_00620	2.58	46.67	50.74999999999999
p1k_00621	2.48	46.98	50.54
p1k_00622	2.16	48.870000000000005	48.97
p1k_00623	2.26	49.24	48.5
p1k_00624	2.27	46.79	50.94
p1k_00625	2.58	46.83	50.59
p1k_00626	2.4299999999999997	44.93	52.64
p1k_00627	2.18	45.86	51.959999999999994
p1k_00628	2.46	46.32	51.22
