Sample	Sense	Antisense	Undetermined
p1k_00001	3.9899999999999998	44.68	51.33
p1k_00002	4.09	44.529999999999994	51.38
p1k_00003	2.6100000000000003	51.129999999999995	46.26
p1k_00004	2.34	53.14	44.519999999999996
p1k_00005	3.1399999999999997	45.5	51.349999999999994
p1k_00006	3.25	45.5	51.239999999999995
p1k_00007	2.82	50.77	46.410000000000004
p1k_00008	2.4299999999999997	52.73	44.84
p1k_00009	3.04	47.96	49.0
p1k_00010	3.04	48.13	48.83
p1k_00011	3.05	46.52	50.43
p1k_00012	3.0300000000000002	46.300000000000004	50.67
p1k_00013	3.4000000000000004	45.95	50.64999999999999
p1k_00014	2.9899999999999998	47.43	49.59
p1k_00015	3.02	46.300000000000004	50.68
p1k_00016	3.2	46.14	50.660000000000004
p1k_00017	2.94	46.48	50.580000000000005
p1k_00018	2.87	46.23	50.9
p1k_00019	1.37	47.81	50.81
p1k_00020	1.4200000000000002	47.97	50.61
p1k_00021	1.44	48.0	50.56
p1k_00022	1.49	48.07	50.44
p1k_00023	1.35	48.58	50.07
p1k_00024	1.39	47.97	50.63999999999999
p1k_00025	1.5	49.78	48.71
p1k_00026	1.52	49.54	48.94
p1k_00027	3.47	48.39	48.14
p1k_00028	3.3300000000000005	47.12	49.55
p1k_00029	3.7600000000000002	45.6	50.629999999999995
p1k_00030	3.7600000000000002	43.919999999999995	52.31
p1k_00031	4.06	46.31	49.63
p1k_00032	4.02	46.69	49.29
p1k_00033	3.55	54.59	41.86
p1k_00034	3.9	50.519999999999996	45.58
p1k_00035	3.39	46.37	50.239999999999995
p1k_00036	3.4299999999999997	45.57	51.0
p1k_00037	3.6700000000000004	47.12	49.220000000000006
p1k_00038	4.12	47.22	48.66
p1k_00039	5.220000000000001	44.01	50.77
p1k_00040	5.140000000000001	43.830000000000005	51.03
p1k_00041	1.68	47.54	50.78
p1k_00042	1.79	45.660000000000004	52.559999999999995
p1k_00043	1.34	45.31	53.349999999999994
p1k_00044	1.48	45.81	52.71
p1k_00045	1.43	44.66	53.900000000000006
p1k_00046	1.4000000000000001	44.86	53.73
p1k_00047	1.49	46.35	52.16
p1k_00048	1.55	46.36	52.09
p1k_00049	1.72	44.92	53.36
p1k_00050	4.12	45.269999999999996	50.61
p1k_00051	4.01	45.97	50.019999999999996
p1k_00052	3.38	43.7	52.92
p1k_00053	3.35	43.88	52.769999999999996
p1k_00054	5.3	45.75	48.949999999999996
p1k_00055	4.67	46.81	48.51
p1k_00056	5.87	49.480000000000004	44.65
p1k_00057	8.49	47.4	44.11
p1k_00058	3.62	49.8	46.58
p1k_00059	3.7800000000000002	49.980000000000004	46.239999999999995
p1k_00060	3.81	51.9	44.29
p1k_00061	3.83	51.580000000000005	44.58
p1k_00062	3.73	53.22	43.04
p1k_00063	4.390000000000001	52.03	43.580000000000005
p1k_00064	1.68	48.47	49.85
p1k_00065	1.69	49.309999999999995	49.0
