Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
p1k_00001	6372886	4580247	53735	229666	0	0	0	0	164092	0	0	0	0	828755	260082	256309	71.87084470050146
p1k_00002	4346353	3183361	26601	199565	0	0	0	0	85134	0	0	0	0	457133	181790	212769	73.24211816205448
p1k_00003	11421794	8766507	5167	179345	0	0	0	0	12588	0	0	0	0	1825105	323835	309247	76.75245237306854
p1k_00004	10539531	7948109	2908	131778	0	0	0	0	4483	0	0	0	0	1984505	249924	217824	75.41235943041488
p1k_00005	10713890	8153915	1175	562512	0	0	0	0	41171	0	0	0	0	1333527	355955	265635	76.10601751558023
p1k_00006	8880301	6723943	1569	510706	0	0	0	0	35416	0	0	0	0	1133212	289581	185874	75.7175122780185
p1k_00007	11279512	8603823	3708	170293	0	0	0	0	8027	0	0	0	0	1876794	330380	286487	76.27832658008609
p1k_00008	11767212	8957314	2215	150293	0	0	0	0	4602	0	0	0	0	2136013	284705	232070	76.12095371443975
p1k_00009	10556680	7850232	1766	595176	0	0	0	0	26254	0	0	0	0	1583591	308122	191539	74.36269736318616
p1k_00010	10032103	7399068	1980	504705	0	0	0	0	56711	0	0	0	0	1593984	298317	177338	73.75390782969433
p1k_00011	10673671	8461697	1930	159726	0	0	0	0	10781	0	0	0	0	1343361	357847	338329	79.27635206294067
p1k_00012	10810317	8632967	1252	130681	0	0	0	0	9978	0	0	0	0	1343119	358182	334138	79.8585924908585
p1k_00013	7211277	3276581	427	3142439	0	0	0	0	3774	0	0	0	0	538419	172828	76809	45.4369038937209
p1k_00014	9709633	6542010	728	1565155	0	0	0	0	6191	0	0	0	0	1123041	351594	120914	67.37649095491045
p1k_00015	10675400	8483327	2267	179822	0	0	0	0	9170	0	0	0	0	1343325	363700	293789	79.46612773291866
p1k_00016	8610540	6742388	816	144587	0	0	0	0	15964	0	0	0	0	1105739	415609	185437	78.30389267107522
p1k_00017	10980944	8703606	1067	183774	0	0	0	0	14508	0	0	0	0	1371148	365488	341353	79.26099978289662
