Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
p1k_00018	9904977	7917434	2027	152833	0	0	0	0	11223	0	0	0	0	1177222	323025	321213	79.93389585861735
p1k_00019	7946523	6494107	985	95385	0	0	0	0	1713	0	0	0	0	1036329	199826	118178	81.72262258600396
p1k_00020	8027816	6474752	1107	107246	0	0	0	0	2505	0	0	0	0	1115573	201352	125281	80.65396615966284
p1k_00021	7809038	6392575	513	143712	0	0	0	0	2174	0	0	0	0	958212	236117	75735	81.86123566052567
p1k_00022	8790564	7140477	689	185595	0	0	0	0	2058	0	0	0	0	1154558	208829	98358	81.22888360746819
p1k_00023	6250510	4824836	1142	97860	0	0	0	0	2090	0	0	0	0	1081994	150754	91834	77.19107720809983
p1k_00024	7164233	5536686	1554	106219	0	0	0	0	1542	0	0	0	0	1247703	173726	96803	77.28232736149145
p1k_00025	8115030	6078360	3271	206831	0	0	0	0	1630	0	0	0	0	1535094	198672	91172	74.90249573938729
p1k_00026	5845829	4415187	1190	162207	0	0	0	0	1187	0	0	0	0	1042739	141843	81476	75.527132251046
p1k_00027	8792332	5410228	352556	495093	0	0	0	0	191849	0	0	0	0	1746473	290419	305714	61.53348167471383
p1k_00028	8452621	5156847	556086	228719	0	0	0	0	202170	0	0	0	0	1744897	268579	295323	61.00885157396741
p1k_00029	6901687	4975355	1374	399717	0	0	0	0	124957	0	0	0	0	882820	254584	262880	72.08896897236863
p1k_00030	9737032	6691168	309952	627670	0	0	0	0	180065	0	0	0	0	1208389	353285	366503	68.71876358216754
p1k_00031	4907936	3501280	58343	151116	0	0	0	0	111836	0	0	0	0	719831	184945	180585	71.33915356679468
p1k_00032	7570460	5336736	51847	352322	0	0	0	0	160530	0	0	0	0	1102021	283295	283709	70.49421039144252
p1k_00033	10633453	6503206	13857	226542	0	0	0	0	14919	0	0	0	0	3293440	269860	311629	61.157988848965616
p1k_00034	10665690	7116316	25547	160931	0	0	0	0	5616	0	0	0	0	2867963	214778	274539	66.72157169390822
p1k_00035	10525205	8182037	4684	170775	0	0	0	0	34042	0	0	0	0	1317247	385105	431315	77.73755475546557
p1k_00036	10379093	8247551	4073	193339	0	0	0	0	27169	0	0	0	0	1140187	351618	415156	79.46311879082305
p1k_00037	4236426	3201416	1657	91387	0	0	0	0	16192	0	0	0	0	634989	137810	152975	75.56879312892518
p1k_00038	3954277	2966289	1707	90171	0	0	0	0	19430	0	0	0	0	600326	133138	143216	75.01469927372311
p1k_00039	4208756	3180664	1122	61006	0	0	0	0	11245	0	0	0	0	618296	150940	185483	75.57254447632506
p1k_00040	4630952	3520107	1598	71462	0	0	0	0	9440	0	0	0	0	666997	160036	201312	76.01259956915986
p1k_00041	8197795	6652546	969	127446	0	0	0	0	36750	0	0	0	0	970097	253329	156658	81.15043130500335
p1k_00042	5676095	4562567	67738	91732	0	0	0	0	40687	0	0	0	0	601807	180439	131125	80.38214652855528
p1k_00043	7641274	6428765	495	85798	0	0	0	0	9240	0	0	0	0	807231	191787	117958	84.13210938385406
p1k_00044	9464911	7913787	671	111203	0	0	0	0	16760	0	0	0	0	1016865	245362	160263	83.61184801420742
p1k_00045	6654064	5595002	526	90454	0	0	0	0	8896	0	0	0	0	668625	172675	117886	84.08398236025383
p1k_00046	6597143	5537000	687	95997	0	0	0	0	8500	0	0	0	0	667647	171904	115408	83.9302710279283
p1k_00047	5195242	4348999	180	76509	0	0	0	0	7940	0	0	0	0	534561	136763	90290	83.71119189442956
p1k_00048	6119800	5057220	215	93105	0	0	0	0	18725	0	0	0	0	661665	174506	114364	82.63701428151246
p1k_00049	7968852	6393013	8946	234682	0	0	0	0	18191	0	0	0	0	926455	231933	155632	80.22501860995787
p1k_00050	8038655	6285665	452	163808	0	0	0	0	38684	0	0	0	0	959978	334962	255106	78.19299372842845
p1k_00051	9151866	7110316	2252	102408	0	0	0	0	41802	0	0	0	0	1227621	373941	293526	77.69252740370106
p1k_00052	9207222	6976136	928	560242	0	0	0	0	20535	0	0	0	0	1114935	308151	226295	75.76808726888522
p1k_00053	10114106	7085417	916	1362757	0	0	0	0	16907	0	0	0	0	1105621	331052	211436	70.0548026686689
p1k_00054	9372620	7095988	3617	132013	0	0	0	0	52630	0	0	0	0	1474649	369061	244662	75.70975885078025
p1k_00055	12087986	8870231	2178	681262	0	0	0	0	54557	0	0	0	0	1721965	474521	283272	73.38055322036277
p1k_00056	5523804	3419649	113595	56429	0	0	0	0	133242	0	0	0	0	1520045	164850	115994	61.907500700604146
p1k_00057	8483677	4966661	340165	78279	0	0	0	0	196110	0	0	0	0	2500446	238710	163306	58.543730507420314
p1k_00058	12027577	7231962	14205	121781	0	0	0	0	529568	0	0	0	0	3574417	339232	216412	60.12817045361671
p1k_00059	4717606	2827587	8421	43010	0	0	0	0	183010	0	0	0	0	1422912	137678	94988	59.93690443839523
p1k_00060	8369959	4986399	17381	99047	0	0	0	0	261929	0	0	0	0	2586857	251325	167021	59.574951322939576
p1k_00061	9422427	5689345	19139	98475	0	0	0	0	296608	0	0	0	0	2838876	285018	194966	60.38088700501474
p1k_00062	7947666	4653686	15640	89569	0	0	0	0	207970	0	0	0	0	2575089	236723	168989	58.5541214238243
p1k_00063	9289899	5335765	99444	91623	0	0	0	0	221749	0	0	0	0	3023918	287242	230158	57.436200328980966
p1k_00064	6997964	5692951	869	102522	0	0	0	0	48325	0	0	0	0	786512	221837	144948	81.35153310305682
p1k_00065	7542100	6028344	947	77536	0	0	0	0	10287	0	0	0	0	1098107	224822	102057	79.92925047400591
p1k_00066	6342359	5156304	466	81916	0	0	0	0	17417	0	0	0	0	768901	211713	105642	81.29946601887404
p1k_00067	6755051	5531553	502	85178	0	0	0	0	16816	0	0	0	0	772327	226784	121891	81.88765710281092
p1k_00068	3277403	1801438	1364	144945	0	0	0	0	691057	0	0	0	0	488969	131201	18429	54.96541011282409
p1k_00069	2457212	1866866	1940	51280	0	0	0	0	104461	0	0	0	0	288746	95141	48778	75.97496675093561
p1k_00070	11306358	8268891	6165	216230	0	0	0	0	773038	0	0	0	0	1429636	426416	185982	73.13487685424431
p1k_00071	5960139	4356371	4279	115781	0	0	0	0	292036	0	0	0	0	857904	247808	85960	73.09176849734544
p1k_00072	2691304	2008316	1906	50267	0	0	0	0	111428	0	0	0	0	356940	134299	28148	74.6224135214751
p1k_00073	13924328	8512963	11393	628954	0	0	0	0	840733	0	0	0	0	3396233	461980	72072	61.13733459884024
p1k_00074	12116508	7433454	22308	838740	0	0	0	0	654618	0	0	0	0	2760892	321984	84512	61.349804745723766
p1k_00075	8053153	5123498	16235	232507	0	0	0	0	1179334	0	0	0	0	1121749	314174	65656	63.621018997155524
p1k_00076	11559326	6775753	4051	357773	0	0	0	0	2236641	0	0	0	0	1697472	411145	76491	58.617197923131506
p1k_00077	5313173	3298540	2054	151043	0	0	0	0	882742	0	0	0	0	732374	218498	27922	62.08229997404564
p1k_00078	6819970	4165059	7188	301064	0	0	0	0	871805	0	0	0	0	1145646	276545	52663	61.071514977338616
p1k_00079	12216329	7815499	179166	183239	0	0	0	0	1916385	0	0	0	0	1705818	338975	77247	63.97583922305956
p1k_00080	3050369	1801862	1901	83267	0	0	0	0	391716	0	0	0	0	638960	107692	24971	59.07029608548998
p1k_00081	9965502	6697708	9190	161501	0	0	0	0	1026108	0	0	0	0	1530949	429479	110567	67.20893739221566
p1k_00082	10060229	7340367	992	258795	0	0	0	0	28642	0	0	0	0	1735942	427098	268393	72.96421383648423
p1k_00083	10435939	7885237	700	293254	0	0	0	0	22023	0	0	0	0	1561707	416293	256725	75.55848112948917
p1k_00084	9370024	7589438	780	134857	0	0	0	0	25730	0	0	0	0	953822	362819	302578	80.99699637909146
p1k_00085	10027064	7784662	772	152256	0	0	0	0	25494	0	0	0	0	1378759	400623	284498	77.63650456404785
p1k_00086	8503321	5908276	1498	78440	0	0	0	0	15626	0	0	0	0	1991889	265646	241946	69.4819823925264
p1k_00087	7891140	5481626	1766	82858	0	0	0	0	11037	0	0	0	0	1852909	324332	136612	69.46557785060207
p1k_00088	7425536	5895597	921	74569	0	0	0	0	14974	0	0	0	0	904347	253513	281615	79.39624829776598
p1k_00089	8173341	6492428	615	75282	0	0	0	0	9303	0	0	0	0	1063868	257901	273944	79.43419955193353
p1k_00090	8853677	7113690	56866	75442	0	0	0	0	9674	0	0	0	0	990250	287791	319964	80.3472952537121
p1k_00091	9652904	7811033	986	99585	0	0	0	0	14159	0	0	0	0	1044736	319243	363162	80.91899598297051
p1k_00092	6704719	5004616	41546	79133	0	0	0	0	8830	0	0	0	0	1142299	229351	198944	74.6431878800588
p1k_00093	7730570	5931445	98079	97494	0	0	0	0	7442	0	0	0	0	1153975	237367	204768	76.72713655008621
p1k_00094	2495515	2145965	1544	37435	0	0	0	0	3276	0	0	0	0	165302	75912	66081	85.99287121095244
p1k_00095	3914893	3376473	2719	57034	0	0	0	0	4686	0	0	0	0	260068	147724	66189	86.24687826717104
p1k_00096	8143610	6278147	53158	100111	0	0	0	0	3970	0	0	0	0	1237077	265971	205176	77.09292316306896
p1k_00097	9648351	7535259	83716	138806	0	0	0	0	8193	0	0	0	0	1339190	290312	252875	78.09893110231997
p1k_00098	1966836	1693376	1142	25546	0	0	0	0	689	0	0	0	0	142915	55935	47233	86.0964513563917
p1k_00099	4001291	3443822	2536	52330	0	0	0	0	1397	0	0	0	0	291515	114423	95268	86.06777162670748
p1k_00100	4748303	3537372	53810	364037	0	0	0	0	8543	0	0	0	0	538663	165634	80244	74.49760472320321
p1k_00101	2097995	1789771	1744	45080	0	0	0	0	4163	0	0	0	0	130810	64871	61556	85.30863991572907
p1k_00102	3816983	3253535	3318	82560	0	0	0	0	7061	0	0	0	0	238334	119287	112888	85.23839377854185
p1k_00103	2643200	2279264	1012	35221	0	0	0	0	6334	0	0	0	0	150049	111743	59577	86.23123486682809
p1k_00104	4055713	3479579	1594	54286	0	0	0	0	8982	0	0	0	0	230408	137139	143725	85.79450764884004
p1k_00105	8226115	6260093	39098	84699	0	0	0	0	42060	0	0	0	0	1282813	293343	224009	76.10023686758574
p1k_00106	8269526	6461745	5160	80796	0	0	0	0	38087	0	0	0	0	1109931	298617	275190	78.13924280545221
p1k_00107	8266444	6321105	65118	92654	0	0	0	0	50680	0	0	0	0	1184714	300370	251803	76.46703951541922
p1k_00108	5143443	3882472	17094	262439	0	0	0	0	31657	0	0	0	0	678987	187339	83455	75.48391223544229
p1k_00109	6613571	5015227	34148	316669	0	0	0	0	28477	0	0	0	0	878565	185864	154621	75.83236046002983
p1k_00110	6093878	4758459	9234	267804	0	0	0	0	42040	0	0	0	0	674044	237958	104339	78.08589210351766
p1k_00111	6447200	5062253	17751	264197	0	0	0	0	33369	0	0	0	0	720668	243524	105438	78.51862824171734
p1k_00112	6587124	5088740	27381	284518	0	0	0	0	43483	0	0	0	0	760053	212183	170766	77.25283446918564
p1k_00113	6214963	4819534	43797	236506	0	0	0	0	39606	0	0	0	0	741872	187788	145860	77.54726777938984
p1k_00114	6694208	5237466	15800	254287	0	0	0	0	26450	0	0	0	0	816133	197567	146505	78.23876999340325
p1k_00115	6425608	4978045	11796	211445	0	0	0	0	28977	0	0	0	0	875663	230934	88748	77.47196841139392
p1k_00116	6353450	4877438	37571	164635	0	0	0	0	37875	0	0	0	0	896849	188121	150961	76.7683384617806
p1k_00117	4952274	3891498	29308	117248	0	0	0	0	14862	0	0	0	0	659072	132786	107500	78.5800220262449
p1k_00118	6151920	4673673	38330	165473	0	0	0	0	28570	0	0	0	0	931293	177734	136847	75.97096516209574
p1k_00119	6809004	5137714	30141	168365	0	0	0	0	29627	0	0	0	0	1113279	178398	151480	75.45470673831296
p1k_00120	7765017	6010674	34466	183822	0	0	0	0	34993	0	0	0	0	1105658	215029	180375	77.40709389303333
p1k_00121	5679260	4299415	35935	137034	0	0	0	0	27578	0	0	0	0	895662	157361	126275	75.7037888739026
p1k_00122	5062317	4044912	55159	120177	0	0	0	0	20439	0	0	0	0	561387	137563	122680	79.90238461953292
p1k_00123	5170682	4114831	59938	108943	0	0	0	0	21404	0	0	0	0	609415	141183	114968	79.5800437930625
p1k_00124	5564613	4389759	67817	123926	0	0	0	0	19602	0	0	0	0	682165	153583	127761	78.8870492880637
p1k_00125	5211020	4246715	115984	37631	0	0	0	0	3956	0	0	0	0	485894	147475	173365	81.49488967610947
p1k_00126	5317231	4369905	129652	37558	0	0	0	0	6340	0	0	0	0	410038	152819	210919	82.18384719415049
p1k_00127	5457682	4414415	173136	36478	0	0	0	0	7955	0	0	0	0	471682	157090	196926	80.88443042302575
p1k_00128	8318866	6931198	14484	114148	0	0	0	0	15903	0	0	0	0	548859	305774	388500	83.31902449204014
p1k_00129	6916600	5522386	13968	172115	0	0	0	0	3619	0	0	0	0	799348	227524	177640	79.84249486742041
p1k_00130	14051039	11587570	60637	151342	0	0	0	0	9140	0	0	0	0	1274731	489231	478388	82.46770932740276
p1k_00131	12291882	10095563	28182	134905	0	0	0	0	7504	0	0	0	0	1211431	406033	408264	82.13195505781783
p1k_00132	2015911	1705154	593	29382	0	0	0	0	6827	0	0	0	0	167020	71300	35635	84.58478573706874
p1k_00133	5307093	4403677	3699	40739	0	0	0	0	23635	0	0	0	0	503655	163590	168098	82.97719674405555
p1k_00134	9322205	7714971	21509	161204	0	0	0	0	6889	0	0	0	0	893251	275750	248631	82.75907899472281
p1k_00135	9407639	7743049	9788	216141	0	0	0	0	13709	0	0	0	0	1027612	218887	178453	82.30597496353761
p1k_00136	8479308	6797969	15275	202966	0	0	0	0	8647	0	0	0	0	994819	241179	218453	80.17127105183583
p1k_00137	9114942	7348594	8915	194726	0	0	0	0	9466	0	0	0	0	1020955	300282	232004	80.62140165016957
p1k_00138	9981655	8331499	11062	145059	0	0	0	0	43851	0	0	0	0	1156902	189460	103822	83.46811225192616
p1k_00139	6905505	5467476	5920	164589	0	0	0	0	3747	0	0	0	0	910574	189650	163549	79.17561423820561
p1k_00140	9833866	7866327	18872	245492	0	0	0	0	8529	0	0	0	0	1060128	437644	196874	79.99221262522796
p1k_00141	9186192	7364374	10126	200742	0	0	0	0	4768	0	0	0	0	1135400	276174	194608	80.16786498692821
p1k_00142	3614911	2447068	1163	50874	0	0	0	0	6986	0	0	0	0	884952	143301	80567	67.69372745276439
p1k_00143	3542185	2896052	2639	69307	0	0	0	0	45629	0	0	0	0	271616	162032	94910	81.75891434241859
p1k_00144	3950192	2494532	9508	63290	0	0	0	0	13768	0	0	0	0	1151376	137793	79925	63.14963930867158
p1k_00145	3828665	2580693	5866	61105	0	0	0	0	15029	0	0	0	0	942741	135264	87967	67.40451306134122
p1k_00146	5684743	4250634	937	299930	0	0	0	0	3612	0	0	0	0	885124	238120	6386	74.77266782332993
p1k_00147	6052480	4665956	654	307263	0	0	0	0	3716	0	0	0	0	767456	300590	6845	77.09163846885905
p1k_00148	6433834	4952872	481	330963	0	0	0	0	6451	0	0	0	0	806169	328134	8764	76.98165666070962
p1k_00149	5018265	3777215	746	285257	0	0	0	0	3675	0	0	0	0	743514	201566	6292	75.26934109697277
p1k_00150	5859971	4414141	7891	306397	0	0	0	0	4258	0	0	0	0	818460	302245	6579	75.32701100397937
p1k_00151	3906008	1537833	1479914	55929	0	0	0	0	9857	0	0	0	0	685139	94728	42608	39.370963909956146
p1k_00152	3787844	2268424	6136	48070	0	0	0	0	12774	0	0	0	0	1254473	129678	68289	59.886943601690035
p1k_00153	4295672	2332693	858353	66214	0	0	0	0	10435	0	0	0	0	830152	131091	66734	54.30333135304558
p1k_00154	4351611	2472844	1027	64248	0	0	0	0	8988	0	0	0	0	1561337	173015	70152	56.825943311568984
p1k_00155	5699287	2481254	1780814	302990	0	0	0	0	1785	0	0	0	0	955337	172578	4529	43.53621777601304
p1k_00156	4593070	3198723	6758	68768	0	0	0	0	10582	0	0	0	0	1050183	183226	74830	69.64237427254538
p1k_00157	4209432	2907918	8649	53172	0	0	0	0	12461	0	0	0	0	996647	151244	79341	69.08100665362927
p1k_00158	3632658	2095283	833368	64708	0	0	0	0	11881	0	0	0	0	453143	110608	63667	57.67906034644604
p1k_00159	4085490	2994484	4196	53984	0	0	0	0	12138	0	0	0	0	746246	180370	94072	73.29559000266798
p1k_00160	4161897	2670926	22081	59016	0	0	0	0	20149	0	0	0	0	1148384	150265	91076	64.17568719264317
p1k_00161	14059527	11830213	3937	482039	0	0	0	0	72991	0	0	0	0	880197	538181	251969	84.14374822140176
p1k_00162	13335173	11223365	3820	422689	0	0	0	0	77645	0	0	0	0	858617	518333	230704	84.16362502383734
p1k_00163	11008873	9099400	1411	383119	0	0	0	0	989	0	0	0	0	1078522	383820	61612	82.65514553578736
p1k_00164	7723055	6071573	3199	339852	0	0	0	0	21919	0	0	0	0	880593	338945	66974	78.61620822330023
p1k_00165	13311287	10865624	9646	425940	0	0	0	0	40819	0	0	0	0	1391477	425843	151938	81.62714844928217
p1k_00166	13703063	10882406	8442	547122	0	0	0	0	115824	0	0	0	0	1441198	502367	205704	79.41586490553243
p1k_00167	14041203	11229621	4909	576454	0	0	0	0	108575	0	0	0	0	1481059	504368	136217	79.97620289372641
p1k_00168	13844790	11157408	5422	446731	0	0	0	0	99680	0	0	0	0	1501379	500774	133396	80.58921803797674
p1k_00169	7918088	5874520	6380	243833	0	0	0	0	1070	0	0	0	0	1499539	259259	33487	74.1911431143478
p1k_00170	7663600	5893599	6680	146173	0	0	0	0	1207	0	0	0	0	1380924	223652	11365	76.90379195156324
p1k_00171	12872555	10141476	8217	538805	0	0	0	0	97564	0	0	0	0	1363085	528049	195359	78.78370688647281
p1k_00172	13591553	10861562	9576	524540	0	0	0	0	84357	0	0	0	0	1348700	574252	188566	79.91406132912111
p1k_00173	10310512	8496125	3358	371501	0	0	0	0	83857	0	0	0	0	731975	451179	172517	82.4025518810317
p1k_00174	12350619	10181559	2825	449103	0	0	0	0	86457	0	0	0	0	888351	535490	206834	82.437641384614
p1k_00175	8407486	6526441	2054	389881	0	0	0	0	24596	0	0	0	0	1045559	354244	64711	77.62654615184611
p1k_00176	8370565	6447400	936	403418	0	0	0	0	24948	0	0	0	0	1070976	355578	67309	77.02466918302409
p1k_00177	14745471	12030390	6167	492183	0	0	0	0	90950	0	0	0	0	1286965	597961	240855	81.58701746454895
p1k_00178	13794528	11301891	4074	453450	0	0	0	0	102846	0	0	0	0	1128974	553623	249670	81.93024799398718
p1k_00179	14769152	11865815	4140	545566	0	0	0	0	119555	0	0	0	0	1463289	545716	225071	80.34188421921583
p1k_00180	15217275	12174688	4006	540438	0	0	0	0	110586	0	0	0	0	1608256	541103	238198	80.00570404359519
p1k_00181	14308827	11704407	4274	538630	0	0	0	0	124027	0	0	0	0	1146220	569309	221960	81.79850801187267
p1k_00182	13566819	11170255	4841	506395	0	0	0	0	117671	0	0	0	0	995140	526747	245770	82.33510744117689
p1k_00183	8159938	6275844	2287	408844	0	0	0	0	34516	0	0	0	0	1022893	338927	76627	76.91043730969524
p1k_00184	9343226	7207992	1222	451258	0	0	0	0	32237	0	0	0	0	1189446	377144	83927	77.14671570611692
p1k_00185	7998898	6417442	379	417589	0	0	0	0	67900	0	0	0	0	663725	327906	103957	80.22907655529549
p1k_00186	8592205	6965872	283	382257	0	0	0	0	79741	0	0	0	0	698048	350964	115040	81.07199490701164
p1k_00187	8927508	7073574	1589	397896	0	0	0	0	74827	0	0	0	0	895790	370015	113817	79.23346582271334
p1k_00188	4611317	3566815	364	279197	0	0	0	0	67929	0	0	0	0	435334	189658	72020	77.34916077120701
p1k_00189	7326270	5236102	1439	477586	0	0	0	0	81168	0	0	0	0	1107227	321447	101301	71.47022973491286
p1k_00190	9053003	6621315	841	530427	0	0	0	0	101531	0	0	0	0	1263624	406186	129079	73.13943229666442
p1k_00191	12869990	10571792	14680	482908	0	0	0	0	74738	0	0	0	0	1041030	545866	138976	82.14296980805736
p1k_00192	11583932	9584139	10403	288579	0	0	0	0	142189	0	0	0	0	901589	499703	157330	82.73649223769614
p1k_00193	11665432	9179969	7138	535315	0	0	0	0	118030	0	0	0	0	1291722	418731	114527	78.69377662138874
p1k_00194	11768486	8955321	238273	498761	0	0	0	0	112087	0	0	0	0	1447103	409876	107065	76.09577816551763
p1k_00195	10044662	8066107	6527	403414	0	0	0	0	153670	0	0	0	0	873971	386137	154836	80.3024233169817
p1k_00196	9380923	7516395	6056	337520	0	0	0	0	169851	0	0	0	0	815212	373279	162610	80.12425856176412
p1k_00197	13499066	10832447	5289	653315	0	0	0	0	83746	0	0	0	0	1274475	528759	121035	80.2458999755983
p1k_00198	12718089	10132952	12589	564924	0	0	0	0	75256	0	0	0	0	1315972	507360	109036	79.67354214929617
p1k_00199	11459042	8643447	4217	601373	0	0	0	0	69012	0	0	0	0	1586712	447470	106811	75.42905419144114
p1k_00200	11795458	9199086	6545	530558	0	0	0	0	64270	0	0	0	0	1392944	486341	115714	77.98837484733531
p1k_00201	10285568	8115970	5568	468168	0	0	0	0	79833	0	0	0	0	1082842	417412	115775	78.90638611304695
p1k_00202	14650086	11419959	9850	698490	0	0	0	0	103557	0	0	0	0	1665061	593851	159318	77.95148096741548
p1k_00203	4478416	3527042	2804	202698	0	0	0	0	36375	0	0	0	0	469494	187080	52923	78.75646210624471
p1k_00204	4314153	3405031	2585	214657	0	0	0	0	24460	0	0	0	0	442158	176398	48864	78.92698752223207
p1k_00205	11745927	9074064	4743	559792	0	0	0	0	57619	0	0	0	0	1531018	422962	95729	77.25285539404425
p1k_00206	12807829	10130971	36565	559555	0	0	0	0	64508	0	0	0	0	1415537	486037	114656	79.09983026787756
p1k_00207	12032414	8920537	6356	493164	0	0	0	0	407968	0	0	0	0	1525533	501737	177119	74.13755045330056
p1k_00208	11212210	8309975	11234	473736	0	0	0	0	365434	0	0	0	0	1413854	469945	168032	74.11540632934988
p1k_00209	11627486	9370931	9339	362571	0	0	0	0	180388	0	0	0	0	1040039	491861	172357	80.59292438623447
p1k_00210	10291173	8215578	25692	438532	0	0	0	0	58307	0	0	0	0	1038826	417533	96705	79.83130785965798
p1k_00211	12946556	10144356	9611	682567	0	0	0	0	100570	0	0	0	0	1337985	519924	151543	78.35563372992786
p1k_00212	14058934	11107883	8614	697068	0	0	0	0	107541	0	0	0	0	1404479	571263	162086	79.00942560794438
p1k_00213	5363636	4233936	22606	233805	0	0	0	0	33896	0	0	0	0	561542	219165	58686	78.9377951822234
p1k_00214	6699959	5343609	4349	269021	0	0	0	0	32658	0	0	0	0	695867	284194	70261	79.75584626711894
p1k_00215	11561560	8857081	9876	506447	0	0	0	0	128215	0	0	0	0	1472817	451908	135216	76.60800964575715
p1k_00216	11847038	9113226	10066	487804	0	0	0	0	98412	0	0	0	0	1538089	468386	131055	76.92408853588552
p1k_00217	12196350	9183722	4538	522679	0	0	0	0	108719	0	0	0	0	1861207	411157	104328	75.29893779696386
p1k_00218	10062745	7633168	43622	436784	0	0	0	0	115870	0	0	0	0	1375888	354409	103004	75.85572326437766
p1k_00219	7291614	5382865	479	745063	0	0	0	0	5941	0	0	0	0	708433	350897	97936	73.82268178211298
p1k_00220	7043621	5166880	396	744465	0	0	0	0	6311	0	0	0	0	706171	330626	88772	73.3554516916796
p1k_00221	7161450	4975795	815	942224	0	0	0	0	3019	0	0	0	0	842037	328174	69386	69.48027284977204
p1k_00222	6825703	4971155	826	710517	0	0	0	0	5130	0	0	0	0	744561	313156	80358	72.8299341474424
p1k_00223	10729015	7471689	971	1158904	0	0	0	0	6553	0	0	0	0	1504368	479227	107303	69.64002753281639
p1k_00224	9894612	6976926	717	1084446	0	0	0	0	6846	0	0	0	0	1285045	438748	101884	70.51237582635883
p1k_00225	16920324	12222217	7402	1817752	0	0	0	0	15395	0	0	0	0	1911576	731346	214636	72.23394185595973
p1k_00226	9097216	6697911	944	1074592	0	0	0	0	8203	0	0	0	0	801196	398614	115756	73.62594226629334
p1k_00227	11422255	6683495	3806	1082824	0	0	0	0	5545	0	0	0	0	3118698	448451	79436	58.51292060980954
p1k_00228	10411831	6576273	903	1094071	0	0	0	0	4440	0	0	0	0	2201334	453368	81442	63.161541903628674
p1k_00229	8965030	5635975	859	1461117	0	0	0	0	3101	0	0	0	0	1426454	366678	70846	62.866214613894215
p1k_00230	9477468	6697177	929	902344	0	0	0	0	6478	0	0	0	0	1353697	419721	97122	70.66420060716638
p1k_00231	11412225	8227433	1308	1147936	0	0	0	0	6099	0	0	0	0	1397425	519222	112802	72.09315449003152
p1k_00232	10130985	7251263	1199	1021916	0	0	0	0	7278	0	0	0	0	1287964	453890	107475	71.57510350671727
p1k_00233	3870662	2630584	10626	76185	0	0	0	0	21661	0	0	0	0	911062	145452	75092	67.96212120820677
p1k_00234	4236135	3253034	6661	68028	0	0	0	0	24821	0	0	0	0	625824	158611	99156	76.79250071114353
p1k_00235	3945761	3028087	7337	60324	0	0	0	0	18400	0	0	0	0	594339	149684	87590	76.7427880198522
p1k_00236	3931895	2981611	2796	64881	0	0	0	0	30450	0	0	0	0	580802	164313	107042	75.83139936341128
p1k_00237	3828443	2956878	5541	68747	0	0	0	0	25604	0	0	0	0	511805	151679	108189	77.23447887300398
