Sample	Unique Reads	Duplicate Reads
p1k_00001	1555626.0	4817260.0
p1k_00002	1206563.0	3139790.0
p1k_00003	2170522.0	9251272.0
p1k_00004	1511788.0	9027743.0
p1k_00005	1700997.0	9012893.0
p1k_00006	1870881.0	7009420.0
p1k_00007	2346588.0	8932924.0
p1k_00008	2080380.0	9686832.0
p1k_00009	2146456.0	8410224.0
p1k_00010	1674914.0	8357189.0
p1k_00011	1896937.0	8776734.0
p1k_00012	2055996.0	8754321.0
p1k_00013	6244476.0	966801.0
p1k_00014	1544672.0	8164961.0
p1k_00015	1796601.0	8878799.0
p1k_00016	1936328.0	6674212.0
p1k_00017	2217015.0	8763929.0
p1k_00018	2006172.0	7898805.0
p1k_00019	1595618.0	6350905.0
p1k_00020	1709005.0	6318811.0
p1k_00021	1680841.0	6128197.0
p1k_00022	1712224.0	7078340.0
p1k_00023	1275393.0	4975117.0
p1k_00024	1390050.0	5774183.0
p1k_00025	1448360.0	6666670.0
p1k_00026	1274274.0	4571555.0
p1k_00027	1777597.0	7014735.0
p1k_00028	1570830.0	6881791.0
p1k_00029	1592741.0	5308946.0
p1k_00030	1935242.0	7801790.0
p1k_00031	1254500.0	3653436.0
p1k_00032	1501784.0	6068676.0
p1k_00033	2200750.0	8432703.0
p1k_00034	1912844.0	8752846.0
p1k_00035	2087075.0	8438130.0
p1k_00036	2253268.0	8125825.0
p1k_00037	1132639.0	3103787.0
p1k_00038	1083188.0	2871089.0
p1k_00039	1058041.0	3150715.0
p1k_00040	1197182.0	3433770.0
p1k_00041	1750322.0	6447473.0
p1k_00042	1352391.0	4323704.0
p1k_00043	1706045.0	5935229.0
p1k_00044	1609725.0	7855186.0
p1k_00045	1461600.0	5192464.0
p1k_00046	1588036.0	5009107.0
p1k_00047	1442109.0	3753133.0
p1k_00048	1561834.0	4557966.0
p1k_00049	2049537.0	5919315.0
p1k_00050	1193303.0	6845352.0
p1k_00051	1336931.0	7814935.0
p1k_00052	3408481.0	5798741.0
p1k_00053	5479955.0	4634151.0
p1k_00054	1792361.0	7580259.0
p1k_00055	1893520.0	10194466.0
p1k_00056	1158560.0	4365244.0
p1k_00057	1426320.0	7057357.0
p1k_00058	1800349.0	10227228.0
p1k_00059	984442.0	3733164.0
p1k_00060	1586499.0	6783460.0
p1k_00061	1704510.0	7717917.0
p1k_00062	1480204.0	6467462.0
p1k_00063	1534602.0	7755297.0
p1k_00064	1509566.0	5488398.0
p1k_00065	1387976.0	6154124.0
p1k_00066	1523302.0	4819057.0
p1k_00067	1533048.0	5222003.0
p1k_00068	931917.0	2345486.0
p1k_00069	983082.0	1474130.0
p1k_00070	2464161.0	8842197.0
p1k_00071	1582152.0	4377987.0
p1k_00072	851390.0	1839914.0
p1k_00073	2793612.0	11130716.0
p1k_00074	1160861.0	10955647.0
p1k_00075	1885423.0	6167730.0
p1k_00076	4420900.0	7138426.0
p1k_00077	1335120.0	3978053.0
p1k_00078	1414307.0	5405663.0
p1k_00079	2078402.0	10137927.0
p1k_00080	859255.0	2191114.0
p1k_00081	1807680.0	8157822.0
p1k_00082	1461571.0	8598658.0
p1k_00083	1430523.0	9005416.0
p1k_00084	2141473.0	7228551.0
p1k_00085	2233103.0	7793961.0
p1k_00086	1371637.0	7131684.0
p1k_00087	1324526.0	6566614.0
p1k_00088	1405377.0	6020159.0
p1k_00089	1495452.0	6677889.0
p1k_00090	1641728.0	7211949.0
p1k_00091	1848634.0	7804270.0
p1k_00092	1506343.0	5198376.0
p1k_00093	1647242.0	6083328.0
p1k_00094	769551.0	1725964.0
p1k_00095	1043439.0	2871454.0
p1k_00096	1896005.0	6247605.0
p1k_00097	1584845.0	8063506.0
p1k_00098	739770.0	1227066.0
p1k_00099	1201287.0	2800004.0
p1k_00100	1314002.0	3434301.0
p1k_00101	639868.0	1458127.0
p1k_00102	1056093.0	2760890.0
p1k_00103	828097.0	1815103.0
p1k_00104	943153.0	3112560.0
p1k_00105	1688766.0	6537349.0
p1k_00106	1843185.0	6426341.0
p1k_00107	1870234.0	6396210.0
p1k_00108	1380803.0	3762640.0
p1k_00109	1627794.0	4985777.0
p1k_00110	1523293.0	4570585.0
p1k_00111	1491106.0	4956094.0
p1k_00112	1636645.0	4950479.0
p1k_00113	1604720.0	4610243.0
p1k_00114	1559460.0	5134748.0
p1k_00115	1446962.0	4978646.0
p1k_00116	1783963.0	4569487.0
p1k_00117	1568621.0	3383653.0
p1k_00118	1776435.0	4375485.0
p1k_00119	1881313.0	4927691.0
p1k_00120	1612318.0	6152699.0
p1k_00121	1349053.0	4330207.0
p1k_00122	1571672.0	3490645.0
p1k_00123	1608861.0	3561821.0
p1k_00124	1353608.0	4211005.0
p1k_00125	1202021.0	4008999.0
p1k_00126	1135416.0	4181815.0
p1k_00127	1140664.0	4317018.0
p1k_00128	1649337.0	6669529.0
p1k_00129	1543036.0	5373564.0
p1k_00130	2896641.0	11154398.0
p1k_00131	2476332.0	9815550.0
p1k_00132	765129.0	1250782.0
p1k_00133	1346370.0	3960723.0
p1k_00134	1646004.0	7676201.0
p1k_00135	1747371.0	7660268.0
p1k_00136	1459286.0	7020022.0
p1k_00137	1859596.0	7255346.0
p1k_00138	1498648.0	8483007.0
p1k_00139	1317254.0	5588251.0
p1k_00140	1842560.0	7991306.0
p1k_00141	1782853.0	7403339.0
p1k_00142	1063764.0	2551147.0
p1k_00143	927537.0	2614648.0
p1k_00144	1020910.0	2929282.0
p1k_00145	936167.0	2892498.0
p1k_00146	1573472.0	4111271.0
p1k_00147	1670662.0	4381818.0
p1k_00148	1735358.0	4698476.0
p1k_00149	1448314.0	3569951.0
p1k_00150	1393295.0	4466676.0
p1k_00151	828945.0	3077063.0
p1k_00152	1060781.0	2727063.0
p1k_00153	1050682.0	3244990.0
p1k_00154	954763.0	3396848.0
p1k_00155	1350786.0	4348501.0
p1k_00156	1079240.0	3513830.0
p1k_00157	1174736.0	3034696.0
p1k_00158	937672.0	2694986.0
p1k_00159	1101696.0	2983794.0
p1k_00160	1027303.0	3134594.0
p1k_00161	2224805.0	11834722.0
p1k_00162	2075497.0	11259676.0
p1k_00163	1793856.0	9215017.0
p1k_00164	1758629.0	5964426.0
p1k_00165	2159321.0	11151966.0
p1k_00166	2354521.0	11348542.0
p1k_00167	2472554.0	11568649.0
p1k_00168	2460122.0	11384668.0
p1k_00169	1481950.0	6436138.0
p1k_00170	1500429.0	6163171.0
p1k_00171	2184255.0	10688300.0
p1k_00172	2368616.0	11222937.0
p1k_00173	1940390.0	8370122.0
p1k_00174	1937372.0	10413247.0
p1k_00175	1957865.0	6449621.0
p1k_00176	1504995.0	6865570.0
p1k_00177	2684928.0	12060543.0
p1k_00178	2583329.0	11211199.0
p1k_00179	2760300.0	12008852.0
p1k_00180	2919533.0	12297742.0
p1k_00181	2531003.0	11777824.0
p1k_00182	2251494.0	11315325.0
p1k_00183	1961910.0	6198028.0
p1k_00184	1583497.0	7759729.0
p1k_00185	1575194.0	6423704.0
p1k_00186	2071752.0	6520453.0
p1k_00187	2111225.0	6816283.0
p1k_00188	1396124.0	3215193.0
p1k_00189	1882620.0	5443650.0
p1k_00190	1591405.0	7461598.0
p1k_00191	2177139.0	10692851.0
p1k_00192	1797852.0	9786080.0
p1k_00193	2176433.0	9488999.0
p1k_00194	1957852.0	9810634.0
p1k_00195	1839188.0	8205474.0
p1k_00196	1688755.0	7692168.0
p1k_00197	2384422.0	11114644.0
p1k_00198	2305996.0	10412093.0
p1k_00199	2283570.0	9175472.0
p1k_00200	2273518.0	9521940.0
p1k_00201	1948074.0	8337494.0
p1k_00202	2073196.0	12576890.0
