Sample	Unique Reads	Duplicate Reads
p1k_00203	1171842.0	3306574.0
p1k_00204	1148045.0	3166108.0
p1k_00205	2233079.0	9512848.0
p1k_00206	2382323.0	10425506.0
p1k_00207	2236255.0	9796159.0
p1k_00208	2136553.0	9075657.0
p1k_00209	1760746.0	9866740.0
p1k_00210	1959672.0	8331501.0
p1k_00211	2259612.0	10686944.0
p1k_00212	2278948.0	11779986.0
p1k_00213	1347305.0	4016331.0
p1k_00214	1417979.0	5281980.0
p1k_00215	2136330.0	9425230.0
p1k_00216	2058169.0	9788869.0
p1k_00217	1912686.0	10283664.0
p1k_00218	1778557.0	8284188.0
p1k_00219	3854161.0	3437453.0
p1k_00220	3920690.0	3122931.0
p1k_00221	4305743.0	2855707.0
p1k_00222	3667867.0	3157836.0
p1k_00223	4992423.0	5736592.0
p1k_00224	4902481.0	4992131.0
p1k_00225	7967220.0	8953104.0
p1k_00226	4821060.0	4276156.0
p1k_00227	4919515.0	6502740.0
p1k_00228	4821150.0	5590681.0
p1k_00229	4497049.0	4467981.0
p1k_00230	4611331.0	4866137.0
p1k_00231	5532525.0	5879700.0
p1k_00232	4667855.0	5463130.0
p1k_00233	1171749.0	2698913.0
p1k_00234	1221794.0	3014341.0
p1k_00235	1138721.0	2807040.0
p1k_00236	1183380.0	2748515.0
p1k_00237	1180077.0	2648366.0
p1k_00238	1025584.0	2292718.0
p1k_00239	1183022.0	2804939.0
p1k_00240	1125496.0	2794692.0
p1k_00241	1130834.0	3242297.0
p1k_00242	1177492.0	2746679.0
p1k_00243	1184576.0	3152556.0
p1k_00244	1072825.0	2944751.0
p1k_00245	1138829.0	2575162.0
p1k_00246	1275445.0	2650899.0
p1k_00247	1106588.0	2668209.0
p1k_00248	1131029.0	2920815.0
p1k_00249	1212313.0	3071173.0
p1k_00250	1111139.0	3192949.0
p1k_00251	1143285.0	2919902.0
p1k_00252	1123667.0	2614758.0
p1k_00253	974454.0	2379449.0
p1k_00254	1056357.0	3328396.0
p1k_00255	2209545.0	8969914.0
p1k_00256	1755943.0	8400426.0
p1k_00257	1709270.0	9614573.0
p1k_00258	1695423.0	9586048.0
p1k_00259	1540490.0	5349412.0
p1k_00260	1990750.0	6695031.0
p1k_00261	1824447.0	6090536.0
p1k_00262	1679582.0	6365822.0
p1k_00263	1607978.0	5648346.0
p1k_00264	1861219.0	5439030.0
p1k_00265	2022720.0	5391130.0
p1k_00266	1880372.0	6939799.0
p1k_00267	1785262.0	8531254.0
p1k_00268	1780222.0	8810976.0
p1k_00269	1572953.0	9872491.0
p1k_00270	2140785.0	8493506.0
p1k_00271	5288689.0	3341106.0
p1k_00272	5503534.0	3917970.0
p1k_00273	5222116.0	3836208.0
p1k_00274	4172595.0	3429839.0
p1k_00275	2114253.0	6321349.0
p1k_00276	1871970.0	8650581.0
p1k_00277	1521027.0	6330405.0
p1k_00278	1648498.0	7159701.0
p1k_00279	1356723.0	4729229.0
p1k_00280	1873567.0	6850243.0
p1k_00281	2391396.0	9368403.0
p1k_00282	3147524.0	13491939.0
p1k_00283	2225717.0	8336191.0
p1k_00284	1722336.0	9046905.0
p1k_00285	2791821.0	17270087.0
p1k_00286	2323684.0	8285761.0
p1k_00287	1767638.0	6091571.0
p1k_00288	2109655.0	8120006.0
p1k_00289	1838070.0	7252523.0
p1k_00290	1581418.0	7240701.0
p1k_00291	1627759.0	8462431.0
p1k_00292	2278421.0	7942456.0
p1k_00293	3117677.0	6243488.0
p1k_00294	1490898.0	5378630.0
p1k_00295	1546843.0	7550143.0
p1k_00296	1715648.0	5427082.0
p1k_00297	1968306.0	9626292.0
p1k_00298	1635415.0	5487719.0
p1k_00299	2123836.0	8342137.0
p1k_00300	1488959.0	6117208.0
p1k_00301	1575628.0	6665262.0
p1k_00302	1968846.0	7535299.0
p1k_00303	2045794.0	7699638.0
p1k_00304	1705812.0	7921921.0
p1k_00305	1625452.0	9317618.0
p1k_00306	2306322.0	9365638.0
p1k_00307	1995919.0	6807511.0
p1k_00308	1868759.0	5955564.0
p1k_00309	1970190.0	7552088.0
p1k_00310	1537821.0	7372186.0
p1k_00311	1628090.0	6960249.0
p1k_00312	2112466.0	8342602.0
p1k_00313	1668150.0	5281400.0
p1k_00314	1510193.0	5215773.0
p1k_00315	1927160.0	7941833.0
p1k_00316	2108640.0	7186459.0
p1k_00317	2433020.0	10313245.0
p1k_00318	2503047.0	11052874.0
p1k_00319	2018521.0	7381569.0
p1k_00320	2074039.0	8691683.0
p1k_00321	2377664.0	10418851.0
p1k_00322	2301408.0	9592185.0
p1k_00323	2372328.0	9692975.0
p1k_00324	2611899.0	13127603.0
p1k_00325	2197822.0	10342399.0
p1k_00326	2487328.0	11456733.0
p1k_00327	2635925.0	10039555.0
p1k_00328	2253312.0	9124518.0
p1k_00329	2180603.0	9854868.0
p1k_00330	2086406.0	8551300.0
p1k_00331	1958638.0	8344816.0
p1k_00332	2049473.0	8210848.0
p1k_00333	2159978.0	9703660.0
p1k_00334	2068008.0	9236748.0
p1k_00335	2073310.0	9262024.0
p1k_00336	2215132.0	9523742.0
p1k_00337	2149092.0	9526077.0
p1k_00338	1906784.0	7715455.0
p1k_00339	2028933.0	8419009.0
p1k_00340	2181184.0	10199935.0
p1k_00341	2626714.0	11529768.0
p1k_00342	2298090.0	10396828.0
p1k_00343	2210027.0	9150144.0
p1k_00344	2246818.0	9267741.0
p1k_00345	2722099.0	10925235.0
p1k_00346	2582937.0	10871143.0
p1k_00347	2390534.0	11113410.0
p1k_00348	2361035.0	11469601.0
p1k_00349	1742391.0	7605872.0
p1k_00350	1839126.0	6967857.0
p1k_00351	1681240.0	6526220.0
p1k_00352	1659619.0	6764345.0
p1k_00353	1699861.0	7572212.0
p1k_00354	1724427.0	6764693.0
p1k_00355	1554597.0	5737070.0
p1k_00356	1575621.0	6250507.0
p1k_00357	1309286.0	4519361.0
p1k_00358	1791362.0	10623518.0
p1k_00359	1145538.0	5248344.0
p1k_00360	1545322.0	9913335.0
p1k_00361	780516.0	5628557.0
p1k_00362	1085509.0	5459854.0
p1k_00363	1669660.0	10760109.0
p1k_00364	1431632.0	5807272.0
p1k_00365	1374637.0	7104347.0
p1k_00366	1268007.0	6608921.0
p1k_00367	1350608.0	8947643.0
p1k_00368	1400531.0	9031880.0
p1k_00369	1520313.0	6051809.0
p1k_00370	1882360.0	7619491.0
p1k_00371	1591616.0	7855326.0
p1k_00372	1495876.0	7845505.0
p1k_00373	1530195.0	7484019.0
p1k_00374	1395280.0	6008480.0
p1k_00375	1997561.0	8074597.0
p1k_00376	1651887.0	7042286.0
p1k_00377	1727123.0	9680017.0
p1k_00378	1046674.0	3880775.0
p1k_00379	1483053.0	7793133.0
p1k_00380	1518142.0	8135838.0
p1k_00381	1753278.0	7188431.0
p1k_00382	1737508.0	6107353.0
p1k_00383	1594405.0	7143067.0
p1k_00384	1550362.0	7246288.0
p1k_00385	1452835.0	7152178.0
p1k_00386	1564145.0	7455969.0
p1k_00387	1409270.0	7666213.0
p1k_00388	1239763.0	6303403.0
p1k_00389	1317727.0	5735156.0
p1k_00390	2892888.0	6052284.0
p1k_00391	1924161.0	4862200.0
p1k_00392	1906614.0	6882849.0
p1k_00393	1116108.0	6234290.0
p1k_00394	1560838.0	6458598.0
p1k_00395	2543642.0	4357629.0
p1k_00396	1561928.0	5316863.0
p1k_00397	477394.0	4360058.0
p1k_00398	1570398.0	6936604.0
p1k_00399	1318457.0	6894476.0
p1k_00400	1784210.0	7671228.0
p1k_00401	2557770.0	4435203.0
p1k_00402	1758649.0	6387541.0
p1k_00403	1589946.0	7323345.0
p1k_00404	1923276.0	7759292.0
p1k_00405	1618720.0	6807242.0
p1k_00406	1469254.0	8206418.0
p1k_00407	1562766.0	7697814.0
p1k_00408	1780129.0	6413594.0
p1k_00409	1908981.0	7060243.0
p1k_00410	1898984.0	6805405.0
p1k_00411	1597402.0	6527274.0
p1k_00412	1429672.0	7822265.0
p1k_00413	1567346.0	7225881.0
p1k_00414	1923457.0	9328630.0
p1k_00415	2561662.0	10466843.0
p1k_00416	2565568.0	11069342.0
p1k_00417	1397081.0	5919631.0
p1k_00418	1566819.0	6785727.0
p1k_00419	1585875.0	7264152.0
p1k_00420	1908116.0	9130114.0
p1k_00421	2427248.0	11158028.0
p1k_00422	1659137.0	7885229.0
p1k_00423	1708136.0	8457507.0
p1k_00424	1984739.0	9773260.0
p1k_00425	2056512.0	5524234.0
p1k_00426	1886144.0	6820277.0
p1k_00427	2433276.0	9970524.0
p1k_00428	1778093.0	6618447.0
p1k_00429	1547956.0	7815474.0
p1k_00430	1760330.0	7035618.0
p1k_00431	1854210.0	8584786.0
p1k_00432	1856879.0	10586068.0
p1k_00433	1006902.0	2222033.0
p1k_00434	1089125.0	1910294.0
p1k_00435	1776568.0	7660602.0
p1k_00436	1625077.0	8699785.0
p1k_00437	1767406.0	9100201.0
p1k_00438	1775245.0	9462347.0
p1k_00439	1830800.0	4055394.0
p1k_00440	1875425.0	5869031.0
p1k_00441	2200752.0	11690081.0
p1k_00442	2141501.0	11001573.0
p1k_00443	2060065.0	8788400.0
p1k_00444	2133448.0	9486212.0
p1k_00445	2174366.0	11162991.0
p1k_00446	2146753.0	11363211.0
p1k_00447	2356948.0	12209239.0
p1k_00448	2296930.0	12247765.0
p1k_00449	2339582.0	11224028.0
p1k_00450	2047345.0	10551271.0
p1k_00451	2140376.0	11558314.0
p1k_00452	2251165.0	10107191.0
p1k_00453	2527110.0	12042538.0
p1k_00454	2135843.0	11420706.0
p1k_00455	1112309.0	6510922.0
p1k_00456	1183296.0	6431381.0
p1k_00457	1369199.0	6147540.0
p1k_00458	1304749.0	5810571.0
p1k_00459	1651139.0	9931889.0
p1k_00460	1751885.0	11555203.0
p1k_00461	1841852.0	9627505.0
p1k_00462	1768170.0	8812339.0
p1k_00463	1922309.0	11431139.0
p1k_00464	1873844.0	11454432.0
p1k_00465	1113392.0	6589687.0
p1k_00466	1189266.0	6501167.0
p1k_00467	1490014.0	6754030.0
p1k_00468	1374267.0	6153862.0
p1k_00469	1768576.0	8017087.0
p1k_00470	1773111.0	9317345.0
p1k_00471	2036159.0	12132998.0
p1k_00472	1874136.0	10073523.0
p1k_00473	1972037.0	8472423.0
p1k_00474	1745123.0	7684209.0
p1k_00475	1676416.0	7833810.0
p1k_00476	1940410.0	8904143.0
p1k_00477	2316059.0	9971248.0
p1k_00478	2572181.0	12155177.0
p1k_00479	2167513.0	13001857.0
p1k_00480	2019845.0	11099312.0
p1k_00481	1362565.0	6117621.0
p1k_00482	1167054.0	5923680.0
p1k_00483	1317048.0	5367993.0
p1k_00484	1453910.0	5886018.0
p1k_00485	2158493.0	12414893.0
p1k_00486	2228217.0	12442625.0
p1k_00487	2308153.0	12644871.0
p1k_00488	2461549.0	13264370.0
p1k_00489	1815810.0	9508560.0
p1k_00490	1874488.0	8194950.0
p1k_00491	1812620.0	10188397.0
p1k_00492	1559843.0	8338721.0
p1k_00493	1778210.0	9657794.0
p1k_00494	1962735.0	9533096.0
p1k_00495	1438164.0	6876719.0
p1k_00496	1290525.0	6062568.0
p1k_00497	1374182.0	7027629.0
p1k_00498	1328042.0	7392625.0
p1k_00499	1320673.0	5284992.0
p1k_00500	1173417.0	4130175.0
p1k_00501	1994931.0	10989562.0
p1k_00502	2108696.0	10566566.0
p1k_00503	2052050.0	10418118.0
p1k_00504	2295322.0	9635779.0
p1k_00505	2289775.0	12498635.0
p1k_00506	2094950.0	13314363.0
p1k_00507	1620614.0	9069716.0
p1k_00508	1564161.0	9315851.0
p1k_00509	2246343.0	12174745.0
p1k_00510	2489029.0	11214304.0
p1k_00511	1616753.0	4055526.0
p1k_00512	1517645.0	4732437.0
p1k_00513	1274442.0	3389036.0
p1k_00514	1394441.0	3231201.0
p1k_00515	1824116.0	5118321.0
p1k_00516	1955874.0	9273886.0
p1k_00517	1659634.0	6998488.0
p1k_00518	1593063.0	5722508.0
p1k_00519	1615894.0	5755671.0
p1k_00520	1666875.0	6486701.0
p1k_00521	1429743.0	6339700.0
p1k_00522	1660006.0	6720752.0
p1k_00523	1837056.0	7760222.0
p1k_00524	1513724.0	5515639.0
p1k_00525	1468971.0	5734052.0
p1k_00526	2011477.0	9254971.0
p1k_00527	2089980.0	10225862.0
p1k_00528	1647604.0	7414982.0
p1k_00529	1650280.0	8029372.0
p1k_00530	1649159.0	6385461.0
p1k_00531	1939005.0	7968298.0
p1k_00532	1532902.0	6049677.0
p1k_00533	1490438.0	6090736.0
p1k_00534	1590389.0	6175500.0
p1k_00535	1534803.0	6136059.0
p1k_00536	1717230.0	6904938.0
p1k_00537	1634814.0	6305432.0
p1k_00538	1667731.0	7183008.0
p1k_00539	1845628.0	11976229.0
p1k_00540	1874879.0	7126882.0
p1k_00541	2225599.0	8768353.0
p1k_00542	1901798.0	8600680.0
p1k_00543	2099897.0	11529067.0
p1k_00544	2491688.0	11951842.0
p1k_00545	2292248.0	10318241.0
p1k_00546	1689517.0	8661297.0
p1k_00547	1463271.0	6534739.0
p1k_00548	2060572.0	8490451.0
p1k_00549	1751768.0	6809259.0
p1k_00550	2195631.0	11494232.0
p1k_00551	1017237.0	2918520.0
p1k_00552	1515889.0	5316253.0
p1k_00553	1682915.0	5654234.0
p1k_00554	1425077.0	3345227.0
p1k_00555	1855085.0	5804848.0
p1k_00556	2174430.0	11210352.0
p1k_00557	1263162.0	5189742.0
p1k_00558	1906261.0	7116336.0
p1k_00559	1982133.0	7643827.0
p1k_00560	1231173.0	4213790.0
p1k_00561	2043857.0	9841917.0
p1k_00562	2124248.0	6814784.0
p1k_00563	2329190.0	8346661.0
p1k_00564	2421989.0	7737585.0
p1k_00565	2828654.0	9686906.0
p1k_00566	1489731.0	8315172.0
p1k_00567	960572.0	3055901.0
p1k_00568	1364363.0	6956702.0
p1k_00569	1454429.0	7805042.0
p1k_00570	1735590.0	6907149.0
p1k_00571	2301292.0	10196412.0
p1k_00572	1362321.0	4939125.0
p1k_00573	878361.0	3355196.0
p1k_00574	1547890.0	7585727.0
p1k_00575	1523602.0	5780852.0
p1k_00576	1930021.0	6342959.0
p1k_00577	1901693.0	6559075.0
p1k_00578	1720562.0	9071019.0
p1k_00579	1549908.0	7467683.0
p1k_00580	2362574.0	8867449.0
p1k_00581	2406272.0	10284626.0
p1k_00582	2402230.0	10283844.0
p1k_00583	1880973.0	7820091.0
p1k_00584	1452563.0	4963408.0
p1k_00585	1713772.0	7639256.0
p1k_00586	1089183.0	3761685.0
p1k_00587	1817085.0	8253073.0
p1k_00588	1327044.0	4204564.0
p1k_00589	1639284.0	7519849.0
p1k_00590	1287333.0	5201125.0
p1k_00591	1273207.0	4733380.0
p1k_00592	1952185.0	9712599.0
p1k_00593	1794945.0	8791393.0
p1k_00594	1572862.0	7081450.0
p1k_00595	1283416.0	4386119.0
p1k_00596	2105360.0	8298948.0
p1k_00597	2006264.0	7374922.0
p1k_00598	2419873.0	9702583.0
p1k_00599	2140394.0	8097050.0
p1k_00600	1871244.0	7508410.0
p1k_00601	2034429.0	7845717.0
p1k_00602	1701036.0	7413104.0
p1k_00603	1826751.0	8100619.0
p1k_00604	2059917.0	7561734.0
p1k_00605	2058437.0	7869229.0
p1k_00606	2469300.0	11354661.0
p1k_00607	2205611.0	10236798.0
p1k_00608	2101349.0	8961244.0
p1k_00609	2181175.0	9977359.0
p1k_00610	2530663.0	10058746.0
p1k_00611	2338050.0	9493422.0
p1k_00612	2273524.0	8266498.0
p1k_00613	2695713.0	10470021.0
p1k_00614	2049178.0	9563203.0
p1k_00615	2012029.0	8902725.0
p1k_00616	2526849.0	12261521.0
p1k_00617	2502695.0	12105700.0
p1k_00618	3072127.0	15049621.0
p1k_00619	2755218.0	13838693.0
p1k_00620	2273904.0	12300946.0
p1k_00621	2251011.0	12312757.0
p1k_00622	2104443.0	11188685.0
p1k_00623	2082616.0	10835399.0
p1k_00624	2891896.0	14663243.0
p1k_00625	2441945.0	11119503.0
p1k_00626	2793376.0	11901399.0
p1k_00627	3083101.0	14199451.0
p1k_00628	2909266.0	12991291.0
p1k_00629	2524510.0	9671171.0
p1k_00630	3009992.0	15201386.0
p1k_00631	2836291.0	13395011.0
p1k_00632	2586566.0	12134799.0
p1k_00633	2412773.0	10207853.0
p1k_00634	2667016.0	12408586.0
p1k_00635	2645601.0	11262320.0
p1k_00636	2473378.0	10113424.0
p1k_00637	2409459.0	10017756.0
p1k_00638	3067567.0	13669245.0
p1k_00639	2766689.0	12296262.0
p1k_00640	2304672.0	11254638.0
p1k_00641	2280913.0	11395331.0
p1k_00642	2794337.0	13144619.0
p1k_00643	2835972.0	13751749.0
p1k_00644	2533754.0	13072536.0
p1k_00645	2314967.0	11928765.0
p1k_00646	3040602.0	13976569.0
p1k_00647	2588371.0	13465605.0
p1k_00648	2870685.0	13383728.0
p1k_00649	2770462.0	13087003.0
p1k_00650	2396567.0	11997637.0
p1k_00651	2615346.0	13757056.0
p1k_00652	2473051.0	10316326.0
p1k_00653	2575076.0	10962395.0
p1k_00654	2551970.0	11047900.0
p1k_00655	2466547.0	10648839.0
p1k_00656	2694201.0	13157275.0
p1k_00657	2913318.0	13824291.0
p1k_00658	2866542.0	13746424.0
p1k_00659	2859474.0	13707452.0
p1k_00660	2674449.0	10493875.0
p1k_00661	2382820.0	9952574.0
p1k_00662	2663286.0	10229703.0
p1k_00663	2733581.0	10345029.0
p1k_00664	2803362.0	12415700.0
p1k_00665	2928138.0	12497605.0
p1k_00666	2391655.0	13720973.0
p1k_00667	2011400.0	11699501.0
p1k_00668	2851952.0	13678080.0
p1k_00669	2671866.0	13123952.0
p1k_00670	2636831.0	12644342.0
p1k_00671	2581999.0	11780998.0
p1k_00672	2544492.0	10203062.0
p1k_00673	2869084.0	12106769.0
p1k_00674	2177563.0	11708468.0
p1k_00675	1922305.0	9406954.0
p1k_00676	3027257.0	13600715.0
p1k_00677	2726053.0	11649550.0
p1k_00678	2390220.0	11042416.0
p1k_00679	2463800.0	10996941.0
p1k_00680	2781392.0	12987649.0
p1k_00681	2986237.0	14599618.0
p1k_00682	2525949.0	13270156.0
p1k_00683	2411039.0	12971923.0
p1k_00684	2711136.0	13392266.0
p1k_00685	2596924.0	12073911.0
p1k_00686	2778891.0	13142850.0
p1k_00687	2582926.0	13765326.0
p1k_00688	2865836.0	13761593.0
p1k_00689	2428341.0	11272789.0
p1k_00690	2460850.0	12043130.0
p1k_00691	2540645.0	11772644.0
p1k_00692	2439971.0	12090198.0
p1k_00693	2384310.0	11019513.0
p1k_00694	2785290.0	13080861.0
p1k_00695	2934706.0	14883197.0
p1k_00696	2480758.0	14669288.0
p1k_00697	2247768.0	14452142.0
p1k_00698	2380663.0	13114822.0
p1k_00699	2436401.0	14045598.0
p1k_00700	2880361.0	13204107.0
p1k_00701	2798923.0	12345420.0
p1k_00702	2791849.0	13747277.0
p1k_00703	2162122.0	8963489.0
p1k_00704	2696085.0	11382744.0
p1k_00705	2707541.0	12625406.0
p1k_00706	2348845.0	11311601.0
p1k_00707	2209460.0	11898295.0
p1k_00708	2887122.0	12638335.0
p1k_00709	2948076.0	13032558.0
p1k_00710	2263684.0	6573030.0
p1k_00711	1913378.0	5842527.0
p1k_00712	1622329.0	5319423.0
p1k_00713	1397671.0	3955203.0
p1k_00714	1690529.0	5631697.0
p1k_00715	1523254.0	5096298.0
p1k_00716	2135443.0	7480004.0
p1k_00717	2224720.0	7189896.0
p1k_00718	1678983.0	6522824.0
p1k_00719	2099075.0	6228151.0
p1k_00720	1856622.0	7152792.0
p1k_00721	1948382.0	5320292.0
p1k_00722	1924394.0	6785358.0
p1k_00723	1906307.0	5705352.0
p1k_00724	2028406.0	6543982.0
p1k_00725	1808248.0	5984304.0
p1k_00726	1850079.0	6305191.0
p1k_00727	1889287.0	6344805.0
p1k_00728	1965072.0	6472617.0
p1k_00729	3393363.0	11370669.0
p1k_00730	1841839.0	6235346.0
p1k_00731	2170443.0	6377606.0
p1k_00732	1936612.0	6429363.0
p1k_00733	1949037.0	7146153.0
p1k_00734	1688685.0	5792962.0
p1k_00735	1411040.0	5232546.0
