Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
p1k_00022	p1k_00022_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8790564.0	0.0	20-76	52.0	19.477970931293	75.21665117278027	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00023	p1k_00023_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6250510.0	0.0	20-76	52.0	20.404614949730416	75.19698904569387	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00024	p1k_00024_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7164233.0	0.0	20-76	52.0	19.402624414395817	75.30929465861873	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00025	p1k_00025_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8115030.0	0.0	20-76	52.0	17.847861439475622	75.30989164550223	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00026	p1k_00026_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5845829.0	0.0	20-76	52.0	21.797999619811716	75.19031021947443	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00027	p1k_00027_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8792332.0	0.0	20-30	52.0	20.21758105648452	29.370347252583272	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00028	p1k_00028_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8452621.0	0.0	20-30	52.0	18.583938897482422	29.408744104343494	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00029	p1k_00029_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6901687.0	0.0	20-30	52.0	23.07755367616856	29.426773338170797	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00030	p1k_00030_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9737032.0	0.0	20-30	52.0	19.87506125078212	29.551950019266652	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00031	p1k_00031_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4907936.0	0.0	20-30	52.0	25.560641772252414	29.565330721509	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00032	p1k_00032_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7570460.0	0.0	20-30	51.0	19.83741825733793	29.485296666252776	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00033	p1k_00033_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10633453.0	0.0	20-31	53.0	20.696469887748762	30.299327321049898	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00034	p1k_00034_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10665690.0	0.0	20-31	53.0	17.934546801906798	30.453275596796832	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00035	p1k_00035_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10525205.0	0.0	20-31	52.0	19.82929822914711	30.449161987818766	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00036	p1k_00036_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10379093.0	0.0	20-31	53.0	21.70967928162201	30.325305689042384	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00037	p1k_00037_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4236426.0	0.0	20-35	52.0	26.73571211980984	34.52912903470992	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00038	p1k_00038_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3954277.0	0.0	20-35	52.0	27.392816659428043	34.52535039907422	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00039	p1k_00039_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4208756.0	0.0	20-35	52.0	25.139041750557745	34.522775613506695	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00040	p1k_00040_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4630952.0	0.0	20-35	52.0	25.85174546683051	34.587132408195984	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00041	p1k_00041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8197795.0	0.0	21-76	52.0	21.351125957545147	75.2180563188028	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00042	p1k_00042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5676095.0	0.0	20-76	52.0	23.82608107013469	75.14286001203293	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00043	p1k_00043_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7641274.0	0.0	20-76	52.0	22.326696100374676	75.14859747209692	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00044	p1k_00044_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9464911.0	0.0	20-76	52.0	17.00728652905736	75.25013621364215	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00045	p1k_00045_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6654064.0	0.0	20-76	52.0	21.96551177885656	75.24174669795782	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00046	p1k_00046_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6597143.0	0.0	20-76	52.0	24.07156342261188	75.15664765793314	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00047	p1k_00047_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5195242.0	0.0	20-76	52.0	27.758254842834234	75.15725619711266	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00048	p1k_00048_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6119800.0	0.0	20-76	52.0	25.520996683876007	75.15387953854702	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00049	p1k_00049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7968852.0	0.0	20-76	52.0	25.719349203502183	75.13530531122927	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00050	p1k_00050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8038655.0	0.0	20-31	51.0	14.844556026678399	30.44937629491501	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00051	p1k_00051_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9151866.0	0.0	20-31	51.0	14.608278086600018	30.45083691129219	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00052	p1k_00052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9207222.0	0.0	20-31	53.0	37.019637668546814	30.02092824524053	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00053	p1k_00053_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10114106.0	0.0	20-31	53.0	54.181306841135566	29.682063644577187	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
p1k_00054	p1k_00054_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9372620.0	0.0	20-31	51.0	19.123365761307422	30.397319639545827	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00055	p1k_00055_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12087986.0	0.0	20-31	51.0	15.664472561045764	30.404006755136876	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00056	p1k_00056_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5523804.0	0.0	20-30	52.0	20.9739468106101	29.452756288963187	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00057	p1k_00057_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8483677.0	0.0	20-30	52.0	16.812515870348435	29.480578173827222	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00058	p1k_00058_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12027577.0	0.0	20-30	53.0	14.968503705760394	29.460511622582004	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00059	p1k_00059_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4717606.0	0.0	20-30	53.0	20.86739766451316	29.483038006989137	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00060	p1k_00060_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8369959.0	0.0	20-30	53.0	18.95466922206972	29.585672641885104	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00061	p1k_00061_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9422427.0	0.0	20-30	53.0	18.089921668762386	29.59084957622914	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00062	p1k_00062_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7947666.0	0.0	20-30	53.0	18.62437969080368	29.42037838530205	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00063	p1k_00063_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9289899.0	0.0	20-30	52.0	16.519028996058527	29.44878431939895	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00064	p1k_00064_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6997964.0	0.0	20-76	52.0	21.57149018013626	75.0498333515291	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00065	p1k_00065_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7542100.0	0.0	20-76	52.0	18.40303826215803	75.26975882048767	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00066	p1k_00066_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6342359.0	0.0	20-76	52.0	24.01789781001597	75.14517264002242	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00067	p1k_00067_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6755051.0	0.0	20-76	52.0	22.69483509604621	75.16986237409607	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00068	p1k_00068_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3277403.0	0.0	20-36	50.0	28.43458982360555	35.28773391615251	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00069	p1k_00069_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2457212.0	0.0	20-36	51.0	40.008001675091336	35.36295850744665	pass	fail	fail	pass	fail	pass	fail	warn	fail	warn	pass
p1k_00070	p1k_00070_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11306358.0	0.0	20-36	51.0	21.79446488829764	35.50139196016967	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00071	p1k_00071_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5960139.0	0.0	20-36	51.0	26.545552341758714	35.50555146448766	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00072	p1k_00072_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2691304.0	0.0	20-31	51.0	31.634820628703547	29.92774469179253	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00073	p1k_00073_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13924328.0	0.0	20-50	52.0	20.06281120160573	48.51155617707368	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00074	p1k_00074_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12116508.0	0.0	20-50	52.0	9.580814939293605	48.5715859717998	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00075	p1k_00075_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8053153.0	0.0	20-36	50.0	23.412233688612247	35.44959731921149	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00076	p1k_00076_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11559326.0	0.0	20-36	52.0	38.2453083684108	35.32357820862566	pass	fail	fail	pass	fail	pass	fail	warn	fail	warn	pass
p1k_00077	p1k_00077_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5313173.0	0.0	20-31	51.0	25.128480757490156	29.934834420034882	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00078	p1k_00078_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6819970.0	0.0	20-36	51.0	20.73772198354722	35.36043413680705	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00079	p1k_00079_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12216329.0	0.0	20-36	52.0	17.013306828199287	35.44618878551814	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00080	p1k_00080_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3050369.0	0.0	20-36	51.0	28.168873179159178	35.39929497054291	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00081	p1k_00081_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9965502.0	0.0	20-36	50.0	18.139369727081466	35.4329322296057	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00082	p1k_00082_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10060229.0	0.0	20-31	51.0	14.528198393683041	30.449964210556242	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00083	p1k_00083_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10435939.0	0.0	20-31	51.0	13.707651916187203	30.453908172518066	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00084	p1k_00084_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9370024.0	0.0	20-31	52.0	22.85450897321353	30.309476795363597	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00085	p1k_00085_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10027064.0	0.0	20-31	52.0	22.2707558829339	30.2924379459431	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00086	p1k_00086_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8503321.0	0.0	20-31	51.0	16.130593001514974	30.484657465006908	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00087	p1k_00087_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7891140.0	0.0	20-31	50.0	16.784966702148363	29.948771026746453	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00088	p1k_00088_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7425536.0	0.0	20-31	51.0	18.926258817642246	30.472592012212992	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00089	p1k_00089_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8173341.0	0.0	20-31	51.0	18.296703170136798	30.47681394915494	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00090	p1k_00090_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8853677.0	0.0	20-31	53.0	18.54288803482437	30.3842227359322	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00091	p1k_00091_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9652904.0	0.0	20-31	53.0	19.151063237573663	30.373624558992816	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00092	p1k_00092_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6704719.0	0.0	20-31	52.0	22.46689540254485	30.48006008902088	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00093	p1k_00093_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7730570.0	0.0	20-31	52.0	21.30815486668811	30.489046473934003	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00094	p1k_00094_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2495515.0	0.0	20-76	52.0	30.837358815766684	75.19912643282048	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00095	p1k_00095_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3914893.0	0.0	20-76	52.0	26.653051091207796	74.48580535917584	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00096	p1k_00096_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8143610.0	0.0	20-31	52.0	23.28210724301272	30.464329455855573	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00097	p1k_00097_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9648351.0	0.0	20-31	52.0	16.426068764642093	30.459782609484254	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00098	p1k_00098_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1966836.0	0.0	21-76	52.0	37.612168351666234	75.31271849813609	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00099	p1k_00099_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4001291.0	0.0	20-76	52.0	30.022483450395963	75.30754498985452	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00100	p1k_00100_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4748303.0	0.0	20-31	52.0	27.673065937202722	30.23356091639476	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00101	p1k_00101_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2097995.0	0.0	20-76	52.0	30.498981497842475	75.18488461602625	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00102	p1k_00102_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3816983.0	0.0	20-76	52.0	27.668246195328912	75.29788945876888	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00103	p1k_00103_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2643200.0	0.0	20-76	51.0	31.329333852431514	74.52703314164648	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00104	p1k_00104_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4055713.0	0.0	20-76	52.0	23.254908851069636	75.23382744291817	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00105	p1k_00105_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8226115.0	0.0	20-31	52.0	20.529322377832603	30.338849748635898	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00106	p1k_00106_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8269526.0	0.0	20-31	51.0	22.288874429681837	30.423857183591902	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00107	p1k_00107_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8266444.0	0.0	20-31	51.0	22.62440062401263	30.418440746710434	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00108	p1k_00108_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5143443.0	0.0	20-76	51.0	26.845869610163504	74.53134602638738	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00109	p1k_00109_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6613571.0	0.0	20-76	52.0	24.61293011594584	75.3041940579454	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00110	p1k_00110_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6093878.0	0.0	20-76	51.0	24.997089158703275	74.42772631811795	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00111	p1k_00111_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6447200.0	0.0	20-76	52.0	23.12794993957404	74.44048796376721	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00112	p1k_00112_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6587124.0	0.0	21-76	52.0	24.84611100415446	75.30144415074014	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00113	p1k_00113_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6214963.0	0.0	20-76	51.0	25.82025503780649	75.29238935131231	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00114	p1k_00114_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6694208.0	0.0	20-76	51.0	23.2956603460239	75.1725399031521	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
p1k_00115	p1k_00115_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6425608.0	0.0	20-76	51.0	22.518663694055363	74.43179322485904	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
p1k_00116	p1k_00116_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6353450.0	0.0	20-76	52.0	28.078649913954795	75.28352249565197	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00117	p1k_00117_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4952274.0	0.0	20-76	52.0	31.67476100478063	75.28247386957992	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00118	p1k_00118_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6151920.0	0.0	20-76	52.0	28.876095072059776	75.28658695171589	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00119	p1k_00119_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6809004.0	0.0	20-76	52.0	27.629777499606657	75.28619663022668	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass
p1k_00120	p1k_00120_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7765017.0	0.0	20-76	52.0	20.763856816739167	75.17838866289668	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
p1k_00121	p1k_00121_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5679260.0	0.0	20-76	52.0	23.754018629913976	75.17220060359976	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
