Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
p1k_00001	p1k_00001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6372886.0	0.0	20-30	52.0	24.410065283691118	29.526617454007493	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00002	p1k_00002_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4346353.0	0.0	20-30	51.0	27.760350288705876	29.421424812940874	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00003	p1k_00003_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11421794.0	0.0	20-31	52.0	19.003328362239483	30.326628461343287	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00004	p1k_00004_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10539531.0	0.0	20-31	52.0	14.343977263901166	30.460308527960116	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00005	p1k_00005_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10713890.0	0.0	20-31	51.0	15.876551529280853	30.45475070212593	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00006	p1k_00006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8880301.0	0.0	20-31	52.0	21.067760455116385	30.29758844886001	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00007	p1k_00007_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11279512.0	0.0	20-31	53.0	20.803979509982046	30.309303097509893	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00008	p1k_00008_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11767212.0	0.0	20-31	52.0	17.679463559539386	30.33914048629361	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00009	p1k_00009_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10556680.0	0.0	20-31	52.0	20.33267556547034	30.310887892784475	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00010	p1k_00010_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10032103.0	0.0	20-31	52.0	16.695532827791375	30.458130065052163	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00011	p1k_00011_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10673671.0	0.0	20-31	51.0	17.77210659410987	30.44493520551645	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00012	p1k_00012_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10810317.0	0.0	20-31	53.0	19.01882272652426	30.321298256101095	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00013	p1k_00013_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7211277.0	0.0	20-31	52.0	86.59319848987231	28.957253479515487	pass	fail	fail	warn	fail	pass	pass	warn	pass	pass	pass
p1k_00014	p1k_00014_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9709633.0	0.0	20-31	50.0	15.908644898043239	29.93153489941381	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00015	p1k_00015_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10675400.0	0.0	20-31	51.0	16.829353569016238	30.412189519830637	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00016	p1k_00016_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8610540.0	0.0	20-31	52.0	22.487876674382818	29.8778114961431	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00017	p1k_00017_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10980944.0	0.0	20-31	53.0	20.18965242104708	30.290639129022058	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00018	p1k_00018_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9904977.0	0.0	20-31	53.0	20.254176444900445	30.316159239945737	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00019	p1k_00019_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7946523.0	0.0	20-76	52.0	20.079447739155086	75.21496005233988	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00020	p1k_00020_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8027816.0	0.0	20-76	52.0	21.28854220695088	75.29452394025972	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00021	p1k_00021_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7809038.0	0.0	20-76	52.0	21.524291245597833	74.48435184974129	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
