Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
p1k_00061	9422427.0	9323952.0	98.95	98475.0	1.05
p1k_00062	7947666.0	7858097.0	98.87	89569.0	1.13
p1k_00063	9289899.0	9198276.0	99.01	91623.0	0.99
p1k_00064	6997964.0	6895442.0	98.53	102522.0	1.47
p1k_00065	7542100.0	7464564.0	98.97	77536.0	1.03
p1k_00066	6342359.0	6260443.0	98.71	81916.0	1.29
p1k_00067	6755051.0	6669873.0	98.74	85178.0	1.26
p1k_00068	3277403.0	3132458.0	95.58	144945.0	4.42
p1k_00069	2457212.0	2405932.0	97.91	51280.0	2.09
p1k_00070	11306358.0	11090128.0	98.09	216230.0	1.91
p1k_00071	5960139.0	5844358.0	98.06	115781.0	1.94
p1k_00072	2691304.0	2641037.0	98.13	50267.0	1.87
p1k_00073	13924328.0	13295374.0	95.48	628954.0	4.52
p1k_00074	12116508.0	11277768.0	93.08	838740.0	6.92
p1k_00075	8053153.0	7820646.0	97.11	232507.0	2.89
p1k_00076	11559326.0	11201553.0	96.9	357773.0	3.1
p1k_00077	5313173.0	5162130.0	97.16	151043.0	2.84
p1k_00078	6819970.0	6518906.0	95.59	301064.0	4.41
p1k_00079	12216329.0	12033090.0	98.5	183239.0	1.5
p1k_00080	3050369.0	2967102.0	97.27	83267.0	2.73
p1k_00081	9965502.0	9804001.0	98.38	161501.0	1.62
p1k_00082	10060229.0	9801434.0	97.43	258795.0	2.57
p1k_00083	10435939.0	10142685.0	97.19	293254.0	2.81
p1k_00084	9370024.0	9235167.0	98.56	134857.0	1.44
p1k_00085	10027064.0	9874808.0	98.48	152256.0	1.52
p1k_00086	8503321.0	8424881.0	99.08	78440.0	0.92
p1k_00087	7891140.0	7808282.0	98.95	82858.0	1.05
p1k_00088	7425536.0	7350967.0	99.0	74569.0	1.0
p1k_00089	8173341.0	8098059.0	99.08	75282.0	0.92
p1k_00090	8853677.0	8778235.0	99.15	75442.0	0.85
p1k_00091	9652904.0	9553319.0	98.97	99585.0	1.03
p1k_00092	6704719.0	6625586.0	98.82	79133.0	1.18
p1k_00093	7730570.0	7633076.0	98.74	97494.0	1.26
p1k_00094	2495515.0	2458080.0	98.5	37435.0	1.5
p1k_00095	3914893.0	3857859.0	98.54	57034.0	1.46
p1k_00096	8143610.0	8043499.0	98.77	100111.0	1.23
p1k_00097	9648351.0	9509545.0	98.56	138806.0	1.44
p1k_00098	1966836.0	1941290.0	98.7	25546.0	1.3
p1k_00099	4001291.0	3948961.0	98.69	52330.0	1.31
p1k_00100	4748303.0	4384266.0	92.33	364037.0	7.67
p1k_00101	2097995.0	2052915.0	97.85	45080.0	2.15
p1k_00102	3816983.0	3734423.0	97.84	82560.0	2.16
p1k_00103	2643200.0	2607979.0	98.67	35221.0	1.33
p1k_00104	4055713.0	4001427.0	98.66	54286.0	1.34
p1k_00105	8226115.0	8141416.0	98.97	84699.0	1.03
p1k_00106	8269526.0	8188730.0	99.02	80796.0	0.98
p1k_00107	8266444.0	8173790.0	98.88	92654.0	1.12
p1k_00108	5143443.0	4881004.0	94.9	262439.0	5.1
p1k_00109	6613571.0	6296902.0	95.21	316669.0	4.79
p1k_00110	6093878.0	5826074.0	95.61	267804.0	4.39
p1k_00111	6447200.0	6183003.0	95.9	264197.0	4.1
p1k_00112	6587124.0	6302606.0	95.68	284518.0	4.32
p1k_00113	6214963.0	5978457.0	96.19	236506.0	3.81
p1k_00114	6694208.0	6439921.0	96.2	254287.0	3.8
p1k_00115	6425608.0	6214163.0	96.71	211445.0	3.29
p1k_00116	6353450.0	6188815.0	97.41	164635.0	2.59
p1k_00117	4952274.0	4835026.0	97.63	117248.0	2.37
p1k_00118	6151920.0	5986447.0	97.31	165473.0	2.69
p1k_00119	6809004.0	6640639.0	97.53	168365.0	2.47
p1k_00120	7765017.0	7581195.0	97.63	183822.0	2.37
p1k_00121	5679260.0	5542226.0	97.59	137034.0	2.41
p1k_00122	5062317.0	4942140.0	97.63	120177.0	2.37
p1k_00123	5170682.0	5061739.0	97.89	108943.0	2.11
p1k_00124	5564613.0	5440687.0	97.77	123926.0	2.23
p1k_00125	5211020.0	5173389.0	99.28	37631.0	0.72
p1k_00126	5317231.0	5279673.0	99.29	37558.0	0.71
p1k_00127	5457682.0	5421204.0	99.33	36478.0	0.67
p1k_00128	8318866.0	8204718.0	98.63	114148.0	1.37
p1k_00129	6916600.0	6744485.0	97.51	172115.0	2.49
p1k_00130	14051039.0	13899697.0	98.92	151342.0	1.08
p1k_00131	12291882.0	12156977.0	98.9	134905.0	1.1
p1k_00132	2015911.0	1986529.0	98.54	29382.0	1.46
p1k_00133	5307093.0	5266354.0	99.23	40739.0	0.77
p1k_00134	9322205.0	9161001.0	98.27	161204.0	1.73
p1k_00135	9407639.0	9191498.0	97.7	216141.0	2.3
p1k_00136	8479308.0	8276342.0	97.61	202966.0	2.39
p1k_00137	9114942.0	8920216.0	97.86	194726.0	2.14
p1k_00138	9981655.0	9836596.0	98.55	145059.0	1.45
p1k_00139	6905505.0	6740916.0	97.62	164589.0	2.38
p1k_00140	9833866.0	9588374.0	97.5	245492.0	2.5
p1k_00141	9186192.0	8985450.0	97.81	200742.0	2.19
p1k_00142	3614911.0	3564037.0	98.59	50874.0	1.41
p1k_00143	3542185.0	3472878.0	98.04	69307.0	1.96
p1k_00144	3950192.0	3886902.0	98.4	63290.0	1.6
p1k_00145	3828665.0	3767560.0	98.4	61105.0	1.6
p1k_00146	5684743.0	5384813.0	94.72	299930.0	5.28
p1k_00147	6052480.0	5745217.0	94.92	307263.0	5.08
p1k_00148	6433834.0	6102871.0	94.86	330963.0	5.14
p1k_00149	5018265.0	4733008.0	94.32	285257.0	5.68
p1k_00150	5859971.0	5553574.0	94.77	306397.0	5.23
p1k_00151	3906008.0	3850079.0	98.57	55929.0	1.43
p1k_00152	3787844.0	3739774.0	98.73	48070.0	1.27
p1k_00153	4295672.0	4229458.0	98.46	66214.0	1.54
p1k_00154	4351611.0	4287363.0	98.52	64248.0	1.48
p1k_00155	5699287.0	5396297.0	94.68	302990.0	5.32
p1k_00156	4593070.0	4524302.0	98.5	68768.0	1.5
p1k_00157	4209432.0	4156260.0	98.74	53172.0	1.26
p1k_00158	3632658.0	3567950.0	98.22	64708.0	1.78
p1k_00159	4085490.0	4031506.0	98.68	53984.0	1.32
p1k_00160	4161897.0	4102881.0	98.58	59016.0	1.42
p1k_00161	14059527.0	13577488.0	96.57	482039.0	3.43
p1k_00162	13335173.0	12912484.0	96.83	422689.0	3.17
p1k_00163	11008873.0	10625754.0	96.52	383119.0	3.48
p1k_00164	7723055.0	7383203.0	95.6	339852.0	4.4
p1k_00165	13311287.0	12885347.0	96.8	425940.0	3.2
p1k_00166	13703063.0	13155941.0	96.01	547122.0	3.99
p1k_00167	14041203.0	13464749.0	95.89	576454.0	4.11
p1k_00168	13844790.0	13398059.0	96.77	446731.0	3.23
p1k_00169	7918088.0	7674255.0	96.92	243833.0	3.08
p1k_00170	7663600.0	7517427.0	98.09	146173.0	1.91
p1k_00171	12872555.0	12333750.0	95.81	538805.0	4.19
p1k_00172	13591553.0	13067013.0	96.14	524540.0	3.86
p1k_00173	10310512.0	9939011.0	96.4	371501.0	3.6
p1k_00174	12350619.0	11901516.0	96.36	449103.0	3.64
p1k_00175	8407486.0	8017605.0	95.36	389881.0	4.64
p1k_00176	8370565.0	7967147.0	95.18	403418.0	4.82
p1k_00177	14745471.0	14253288.0	96.66	492183.0	3.34
p1k_00178	13794528.0	13341078.0	96.71	453450.0	3.29
p1k_00179	14769152.0	14223586.0	96.31	545566.0	3.69
p1k_00180	15217275.0	14676837.0	96.45	540438.0	3.55
p1k_00181	14308827.0	13770197.0	96.24	538630.0	3.76
p1k_00182	13566819.0	13060424.0	96.27	506395.0	3.73
p1k_00183	8159938.0	7751094.0	94.99	408844.0	5.01
p1k_00184	9343226.0	8891968.0	95.17	451258.0	4.83
p1k_00185	7998898.0	7581309.0	94.78	417589.0	5.22
p1k_00186	8592205.0	8209948.0	95.55	382257.0	4.45
p1k_00187	8927508.0	8529612.0	95.54	397896.0	4.46
p1k_00188	4611317.0	4332120.0	93.95	279197.0	6.05
p1k_00189	7326270.0	6848684.0	93.48	477586.0	6.52
p1k_00190	9053003.0	8522576.0	94.14	530427.0	5.86
p1k_00191	12869990.0	12387082.0	96.25	482908.0	3.75
p1k_00192	11583932.0	11295353.0	97.51	288579.0	2.49
p1k_00193	11665432.0	11130117.0	95.41	535315.0	4.59
p1k_00194	11768486.0	11269725.0	95.76	498761.0	4.24
p1k_00195	10044662.0	9641248.0	95.98	403414.0	4.02
p1k_00196	9380923.0	9043403.0	96.4	337520.0	3.6
p1k_00197	13499066.0	12845751.0	95.16	653315.0	4.84
p1k_00198	12718089.0	12153165.0	95.56	564924.0	4.44
p1k_00199	11459042.0	10857669.0	94.75	601373.0	5.25
p1k_00200	11795458.0	11264900.0	95.5	530558.0	4.5
p1k_00201	10285568.0	9817400.0	95.45	468168.0	4.55
p1k_00202	14650086.0	13951596.0	95.23	698490.0	4.77
p1k_00203	4478416.0	4275718.0	95.47	202698.0	4.53
p1k_00204	4314153.0	4099496.0	95.02	214657.0	4.98
p1k_00205	11745927.0	11186135.0	95.23	559792.0	4.77
p1k_00206	12807829.0	12248274.0	95.63	559555.0	4.37
p1k_00207	12032414.0	11539250.0	95.9	493164.0	4.1
p1k_00208	11212210.0	10738474.0	95.77	473736.0	4.23
p1k_00209	11627486.0	11264915.0	96.88	362571.0	3.12
p1k_00210	10291173.0	9852641.0	95.74	438532.0	4.26
p1k_00211	12946556.0	12263989.0	94.73	682567.0	5.27
p1k_00212	14058934.0	13361866.0	95.04	697068.0	4.96
p1k_00213	5363636.0	5129831.0	95.64	233805.0	4.36
p1k_00214	6699959.0	6430938.0	95.98	269021.0	4.02
p1k_00215	11561560.0	11055113.0	95.62	506447.0	4.38
p1k_00216	11847038.0	11359234.0	95.88	487804.0	4.12
p1k_00217	12196350.0	11673671.0	95.71	522679.0	4.29
p1k_00218	10062745.0	9625961.0	95.66	436784.0	4.34
p1k_00219	7291614.0	6546551.0	89.78	745063.0	10.22
p1k_00220	7043621.0	6299156.0	89.43	744465.0	10.57
p1k_00221	7161450.0	6219226.0	86.84	942224.0	13.16
p1k_00222	6825703.0	6115186.0	89.59	710517.0	10.41
p1k_00223	10729015.0	9570111.0	89.2	1158904.0	10.8
p1k_00224	9894612.0	8810166.0	89.04	1084446.0	10.96
p1k_00225	16920324.0	15102572.0	89.26	1817752.0	10.74
p1k_00226	9097216.0	8022624.0	88.19	1074592.0	11.81
p1k_00227	11422255.0	10339431.0	90.52	1082824.0	9.48
p1k_00228	10411831.0	9317760.0	89.49	1094071.0	10.51
p1k_00229	8965030.0	7503913.0	83.7	1461117.0	16.3
p1k_00230	9477468.0	8575124.0	90.48	902344.0	9.52
p1k_00231	11412225.0	10264289.0	89.94	1147936.0	10.06
p1k_00232	10130985.0	9109069.0	89.91	1021916.0	10.09
p1k_00233	3870662.0	3794477.0	98.03	76185.0	1.97
p1k_00234	4236135.0	4168107.0	98.39	68028.0	1.61
p1k_00235	3945761.0	3885437.0	98.47	60324.0	1.53
p1k_00236	3931895.0	3867014.0	98.35	64881.0	1.65
p1k_00237	3828443.0	3759696.0	98.2	68747.0	1.8
p1k_00238	3318302.0	3273185.0	98.64	45117.0	1.36
p1k_00239	3987961.0	3936235.0	98.7	51726.0	1.3
p1k_00240	3920188.0	3838970.0	97.93	81218.0	2.07
p1k_00241	4373131.0	4277072.0	97.8	96059.0	2.2
p1k_00242	3924171.0	3851310.0	98.14	72861.0	1.86
p1k_00243	4337132.0	4265481.0	98.35	71651.0	1.65
p1k_00244	4017576.0	3945282.0	98.2	72294.0	1.8
p1k_00245	3713991.0	3661065.0	98.57	52926.0	1.43
p1k_00246	3926344.0	3868036.0	98.51	58308.0	1.49
p1k_00247	3774797.0	3722147.0	98.61	52650.0	1.39
p1k_00248	4051844.0	3994512.0	98.59	57332.0	1.41
p1k_00249	4283486.0	4185575.0	97.71	97911.0	2.29
p1k_00250	4304088.0	4221202.0	98.07	82886.0	1.93
p1k_00251	4063187.0	3984803.0	98.07	78384.0	1.93
p1k_00252	3738425.0	3678457.0	98.4	59968.0	1.6
p1k_00253	3353903.0	3306682.0	98.59	47221.0	1.41
p1k_00254	4384753.0	4318767.0	98.5	65986.0	1.5
p1k_00255	11179459.0	10589244.0	94.72	590215.0	5.28
p1k_00256	10156369.0	9431169.0	92.86	725200.0	7.14
p1k_00257	11323843.0	10906409.0	96.31	417434.0	3.69
p1k_00258	11281471.0	10786425.0	95.61	495046.0	4.39
p1k_00259	6889902.0	6502535.0	94.38	387367.0	5.62
p1k_00260	8685781.0	8219298.0	94.63	466483.0	5.37
p1k_00261	7914983.0	7443083.0	94.04	471900.0	5.96
p1k_00262	8045404.0	7541248.0	93.73	504156.0	6.27
p1k_00263	7256324.0	6866650.0	94.63	389674.0	5.37
p1k_00264	7300249.0	6841366.0	93.71	458883.0	6.29
p1k_00265	7413850.0	6949890.0	93.74	463960.0	6.26
p1k_00266	8820171.0	8313914.0	94.26	506257.0	5.74
p1k_00267	10316516.0	9839829.0	95.38	476687.0	4.62
p1k_00268	10591198.0	10079136.0	95.17	512062.0	4.83
p1k_00269	11445444.0	11008926.0	96.19	436518.0	3.81
p1k_00270	10634291.0	10154875.0	95.49	479416.0	4.51
p1k_00271	8629795.0	7986010.0	92.54	643785.0	7.46
p1k_00272	9421504.0	8892527.0	94.39	528977.0	5.61
p1k_00273	9058324.0	8765016.0	96.76	293308.0	3.24
p1k_00274	7602434.0	7370825.0	96.95	231609.0	3.05
p1k_00275	8435602.0	8034639.0	95.25	400963.0	4.75
p1k_00276	10522551.0	10079436.0	95.79	443115.0	4.21
p1k_00277	7851432.0	7500317.0	95.53	351115.0	4.47
p1k_00278	8808199.0	8369616.0	95.02	438583.0	4.98
p1k_00279	6085952.0	5814754.0	95.54	271198.0	4.46
p1k_00280	8723810.0	8371237.0	95.96	352573.0	4.04
p1k_00281	11759799.0	11357799.0	96.58	402000.0	3.42
p1k_00282	16639463.0	16030799.0	96.34	608664.0	3.66
p1k_00283	10561908.0	9979335.0	94.48	582573.0	5.52
p1k_00284	10769241.0	10174330.0	94.48	594911.0	5.52
p1k_00285	20061908.0	18317094.0	91.3	1744814.0	8.7
p1k_00286	10609445.0	10135064.0	95.53	474381.0	4.47
p1k_00287	7859209.0	7513576.0	95.6	345633.0	4.4
p1k_00288	10229661.0	9779507.0	95.6	450154.0	4.4
p1k_00289	9090593.0	8678705.0	95.47	411888.0	4.53
p1k_00290	8822119.0	8361375.0	94.78	460744.0	5.22
p1k_00291	10090190.0	9670186.0	95.84	420004.0	4.16
p1k_00292	10220877.0	9704776.0	94.95	516101.0	5.05
p1k_00293	9361165.0	7517142.0	80.3	1844023.0	19.7
p1k_00294	6869528.0	5536881.0	80.6	1332647.0	19.4
p1k_00295	9096986.0	8532633.0	93.8	564353.0	6.2
p1k_00296	7142730.0	6842581.0	95.8	300149.0	4.2
p1k_00297	11594598.0	11025098.0	95.09	569500.0	4.91
p1k_00298	7123134.0	6814974.0	95.67	308160.0	4.33
p1k_00299	10465973.0	9603640.0	91.76	862333.0	8.24
p1k_00300	7606167.0	7243164.0	95.23	363003.0	4.77
p1k_00301	8240890.0	7898445.0	95.84	342445.0	4.16
p1k_00302	9504145.0	9125685.0	96.02	378460.0	3.98
p1k_00303	9745432.0	9321018.0	95.64	424414.0	4.36
p1k_00304	9627733.0	9255948.0	96.14	371785.0	3.86
p1k_00305	10943070.0	10429246.0	95.3	513824.0	4.7
p1k_00306	11671960.0	11106374.0	95.15	565586.0	4.85
p1k_00307	8803430.0	8190764.0	93.04	612666.0	6.96
p1k_00308	7824323.0	7348976.0	93.92	475347.0	6.08
p1k_00309	9522278.0	8882929.0	93.29	639349.0	6.71
p1k_00310	8910007.0	8356663.0	93.79	553344.0	6.21
p1k_00311	8588339.0	7959638.0	92.68	628701.0	7.32
p1k_00312	10455068.0	9961728.0	95.28	493340.0	4.72
p1k_00313	6949550.0	6571546.0	94.56	378004.0	5.44
p1k_00314	6725966.0	6254623.0	92.99	471343.0	7.01
p1k_00315	9868993.0	9136588.0	92.58	732405.0	7.42
p1k_00316	9295099.0	8540420.0	91.88	754679.0	8.12
p1k_00317	12746265.0	12482261.0	97.93	264004.0	2.07
p1k_00318	13555921.0	13262881.0	97.84	293040.0	2.16
p1k_00319	9400090.0	9198480.0	97.86	201610.0	2.14
p1k_00320	10765722.0	10546853.0	97.97	218869.0	2.03
p1k_00321	12796515.0	12483058.0	97.55	313457.0	2.45
p1k_00322	11893593.0	11621313.0	97.71	272280.0	2.29
p1k_00323	12065303.0	11800124.0	97.8	265179.0	2.2
p1k_00324	15739502.0	15397407.0	97.83	342095.0	2.17
p1k_00325	12540221.0	12255173.0	97.73	285048.0	2.27
p1k_00326	13944061.0	13653503.0	97.92	290558.0	2.08
p1k_00327	12675480.0	12385355.0	97.71	290125.0	2.29
p1k_00328	11377830.0	11125627.0	97.78	252203.0	2.22
p1k_00329	12035471.0	11776600.0	97.85	258871.0	2.15
p1k_00330	10637706.0	10428973.0	98.04	208733.0	1.96
p1k_00331	10303454.0	10064391.0	97.68	239063.0	2.32
p1k_00332	10260321.0	9996466.0	97.43	263855.0	2.57
p1k_00333	11863638.0	11603884.0	97.81	259754.0	2.19
p1k_00334	11304756.0	11037402.0	97.64	267354.0	2.36
p1k_00335	11335334.0	11063300.0	97.6	272034.0	2.4
p1k_00336	11738874.0	11454770.0	97.58	284104.0	2.42
p1k_00337	11675169.0	11396039.0	97.61	279130.0	2.39
p1k_00338	9622239.0	9397076.0	97.66	225163.0	2.34
p1k_00339	10447942.0	10203477.0	97.66	244465.0	2.34
p1k_00340	12381119.0	12113610.0	97.84	267509.0	2.16
p1k_00341	14156482.0	13844540.0	97.8	311942.0	2.2
p1k_00342	12694918.0	12478285.0	98.29	216633.0	1.71
p1k_00343	11360171.0	11146309.0	98.12	213862.0	1.88
p1k_00344	11514559.0	11298873.0	98.13	215686.0	1.87
p1k_00345	13647334.0	13285027.0	97.35	362307.0	2.65
p1k_00346	13454080.0	13208930.0	98.18	245150.0	1.82
p1k_00347	13503944.0	13314381.0	98.6	189563.0	1.4
p1k_00348	13830636.0	13628621.0	98.54	202015.0	1.46
p1k_00349	9348263.0	9168862.0	98.08	179401.0	1.92
p1k_00350	8806983.0	8599157.0	97.64	207826.0	2.36
p1k_00351	8207460.0	7963181.0	97.02	244279.0	2.98
p1k_00352	8423964.0	8271344.0	98.19	152620.0	1.81
p1k_00353	9272073.0	9152394.0	98.71	119679.0	1.29
p1k_00354	8489120.0	8313394.0	97.93	175726.0	2.07
p1k_00355	7291667.0	7158846.0	98.18	132821.0	1.82
p1k_00356	7826128.0	7680506.0	98.14	145622.0	1.86
p1k_00357	5828647.0	5740202.0	98.48	88445.0	1.52
p1k_00358	12414880.0	12238310.0	98.58	176570.0	1.42
p1k_00359	6393882.0	6303721.0	98.59	90161.0	1.41
p1k_00360	11458657.0	11258806.0	98.26	199851.0	1.74
p1k_00361	6409073.0	6328533.0	98.74	80540.0	1.26
p1k_00362	6545363.0	6430952.0	98.25	114411.0	1.75
p1k_00363	12429769.0	12218243.0	98.3	211526.0	1.7
p1k_00364	7238904.0	7111020.0	98.23	127884.0	1.77
p1k_00365	8478984.0	8320520.0	98.13	158464.0	1.87
p1k_00366	7876928.0	7756043.0	98.47	120885.0	1.53
p1k_00367	10298251.0	10103848.0	98.11	194403.0	1.89
p1k_00368	10432411.0	10253931.0	98.29	178480.0	1.71
p1k_00369	7572122.0	7467846.0	98.62	104276.0	1.38
p1k_00370	9501851.0	9368015.0	98.59	133836.0	1.41
p1k_00371	9446942.0	9270233.0	98.13	176709.0	1.87
p1k_00372	9341381.0	9186333.0	98.34	155048.0	1.66
p1k_00373	9014214.0	8888811.0	98.61	125403.0	1.39
p1k_00374	7403760.0	7290447.0	98.47	113313.0	1.53
p1k_00375	10072158.0	9930816.0	98.6	141342.0	1.4
p1k_00376	8694173.0	8585873.0	98.75	108300.0	1.25
p1k_00377	11407140.0	11266287.0	98.77	140853.0	1.23
p1k_00378	4927449.0	4855634.0	98.54	71815.0	1.46
p1k_00379	9276186.0	9169175.0	98.85	107011.0	1.15
p1k_00380	9653980.0	9517695.0	98.59	136285.0	1.41
p1k_00381	8941709.0	8771507.0	98.1	170202.0	1.9
p1k_00382	7844861.0	7728735.0	98.52	116126.0	1.48
p1k_00383	8737472.0	8572385.0	98.11	165087.0	1.89
p1k_00384	8796650.0	8624963.0	98.05	171687.0	1.95
p1k_00385	8605013.0	8451108.0	98.21	153905.0	1.79
p1k_00386	9020114.0	8888132.0	98.54	131982.0	1.46
p1k_00387	9075483.0	8608510.0	94.85	466973.0	5.15
p1k_00388	7543166.0	7166647.0	95.01	376519.0	4.99
p1k_00389	7052883.0	5608307.0	79.52	1444576.0	20.48
p1k_00390	8945172.0	7087443.0	79.23	1857729.0	20.77
p1k_00391	6786361.0	6446495.0	94.99	339866.0	5.01
p1k_00392	8789463.0	8282370.0	94.23	507093.0	5.77
p1k_00393	7350398.0	6978345.0	94.94	372053.0	5.06
p1k_00394	8019436.0	7570795.0	94.41	448641.0	5.59
p1k_00395	6901271.0	5451786.0	79.0	1449485.0	21.0
p1k_00396	6878791.0	5623021.0	81.74	1255770.0	18.26
p1k_00397	4837452.0	4661664.0	96.37	175788.0	3.63
p1k_00398	8507002.0	8105560.0	95.28	401442.0	4.72
p1k_00399	8212933.0	7858872.0	95.69	354061.0	4.31
p1k_00400	9455438.0	8960252.0	94.76	495186.0	5.24
p1k_00401	6992973.0	5669652.0	81.08	1323321.0	18.92
p1k_00402	8146190.0	6522525.0	80.07	1623665.0	19.93
p1k_00403	8913291.0	8481128.0	95.15	432163.0	4.85
p1k_00404	9682568.0	9216615.0	95.19	465953.0	4.81
p1k_00405	8425962.0	8013531.0	95.11	412431.0	4.89
p1k_00406	9675672.0	9216405.0	95.25	459267.0	4.75
p1k_00407	9260580.0	8858771.0	95.66	401809.0	4.34
p1k_00408	8193723.0	6554736.0	80.0	1638987.0	20.0
p1k_00409	8969224.0	8206959.0	91.5	762265.0	8.5
p1k_00410	8704389.0	8280870.0	95.13	423519.0	4.87
p1k_00411	8124676.0	7705966.0	94.85	418710.0	5.15
p1k_00412	9251937.0	8827288.0	95.41	424649.0	4.59
p1k_00413	8793227.0	8432928.0	95.9	360299.0	4.1
p1k_00414	11252087.0	10856336.0	96.48	395751.0	3.52
p1k_00415	13028505.0	11936885.0	91.62	1091620.0	8.38
p1k_00416	13634910.0	12741755.0	93.45	893155.0	6.55
p1k_00417	7316712.0	7005392.0	95.75	311320.0	4.25
p1k_00418	8352546.0	7958568.0	95.28	393978.0	4.72
p1k_00419	8850027.0	8367357.0	94.55	482670.0	5.45
p1k_00420	11038230.0	10473149.0	94.88	565081.0	5.12
p1k_00421	13585276.0	12959147.0	95.39	626129.0	4.61
p1k_00422	9544366.0	9149035.0	95.86	395331.0	4.14
p1k_00423	10165643.0	9748313.0	95.89	417330.0	4.11
p1k_00424	11757999.0	11395842.0	96.92	362157.0	3.08
p1k_00425	7580746.0	7215669.0	95.18	365077.0	4.82
p1k_00426	8706421.0	8220428.0	94.42	485993.0	5.58
p1k_00427	12403800.0	11577117.0	93.34	826683.0	6.66
p1k_00428	8396540.0	7954752.0	94.74	441788.0	5.26
p1k_00429	9363430.0	8895779.0	95.01	467651.0	4.99
p1k_00430	8795948.0	8439003.0	95.94	356945.0	4.06
p1k_00431	10438996.0	10004765.0	95.84	434231.0	4.16
p1k_00432	12442947.0	11868854.0	95.39	574093.0	4.61
p1k_00433	3228935.0	2956832.0	91.57	272103.0	8.43
p1k_00434	2999419.0	2773849.0	92.48	225570.0	7.52
