Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
p1k_00001	6372886.0	6143220.0	96.4	229666.0	3.6
p1k_00002	4346353.0	4146788.0	95.41	199565.0	4.59
p1k_00003	11421794.0	11242449.0	98.43	179345.0	1.57
p1k_00004	10539531.0	10407753.0	98.75	131778.0	1.25
p1k_00005	10713890.0	10151378.0	94.75	562512.0	5.25
p1k_00006	8880301.0	8369595.0	94.25	510706.0	5.75
p1k_00007	11279512.0	11109219.0	98.49	170293.0	1.51
p1k_00008	11767212.0	11616919.0	98.72	150293.0	1.28
p1k_00009	10556680.0	9961504.0	94.36	595176.0	5.64
p1k_00010	10032103.0	9527398.0	94.97	504705.0	5.03
p1k_00011	10673671.0	10513945.0	98.5	159726.0	1.5
p1k_00012	10810317.0	10679636.0	98.79	130681.0	1.21
p1k_00013	7211277.0	4068838.0	56.42	3142439.0	43.58
p1k_00014	9709633.0	8144478.0	83.88	1565155.0	16.12
p1k_00015	10675400.0	10495578.0	98.32	179822.0	1.68
p1k_00016	8610540.0	8465953.0	98.32	144587.0	1.68
p1k_00017	10980944.0	10797170.0	98.33	183774.0	1.67
p1k_00018	9904977.0	9752144.0	98.46	152833.0	1.54
p1k_00019	7946523.0	7851138.0	98.8	95385.0	1.2
p1k_00020	8027816.0	7920570.0	98.66	107246.0	1.34
p1k_00021	7809038.0	7665326.0	98.16	143712.0	1.84
p1k_00022	8790564.0	8604969.0	97.89	185595.0	2.11
p1k_00023	6250510.0	6152650.0	98.43	97860.0	1.57
p1k_00024	7164233.0	7058014.0	98.52	106219.0	1.48
p1k_00025	8115030.0	7908199.0	97.45	206831.0	2.55
p1k_00026	5845829.0	5683622.0	97.23	162207.0	2.77
p1k_00027	8792332.0	8297239.0	94.37	495093.0	5.63
p1k_00028	8452621.0	8223902.0	97.29	228719.0	2.71
p1k_00029	6901687.0	6501970.0	94.21	399717.0	5.79
p1k_00030	9737032.0	9109362.0	93.55	627670.0	6.45
p1k_00031	4907936.0	4756820.0	96.92	151116.0	3.08
p1k_00032	7570460.0	7218138.0	95.35	352322.0	4.65
p1k_00033	10633453.0	10406911.0	97.87	226542.0	2.13
p1k_00034	10665690.0	10504759.0	98.49	160931.0	1.51
p1k_00035	10525205.0	10354430.0	98.38	170775.0	1.62
p1k_00036	10379093.0	10185754.0	98.14	193339.0	1.86
p1k_00037	4236426.0	4145039.0	97.84	91387.0	2.16
p1k_00038	3954277.0	3864106.0	97.72	90171.0	2.28
p1k_00039	4208756.0	4147750.0	98.55	61006.0	1.45
p1k_00040	4630952.0	4559490.0	98.46	71462.0	1.54
p1k_00041	8197795.0	8070349.0	98.45	127446.0	1.55
p1k_00042	5676095.0	5584363.0	98.38	91732.0	1.62
p1k_00043	7641274.0	7555476.0	98.88	85798.0	1.12
p1k_00044	9464911.0	9353708.0	98.83	111203.0	1.17
p1k_00045	6654064.0	6563610.0	98.64	90454.0	1.36
p1k_00046	6597143.0	6501146.0	98.54	95997.0	1.46
p1k_00047	5195242.0	5118733.0	98.53	76509.0	1.47
p1k_00048	6119800.0	6026695.0	98.48	93105.0	1.52
p1k_00049	7968852.0	7734170.0	97.06	234682.0	2.94
p1k_00050	8038655.0	7874847.0	97.96	163808.0	2.04
p1k_00051	9151866.0	9049458.0	98.88	102408.0	1.12
p1k_00052	9207222.0	8646980.0	93.92	560242.0	6.08
p1k_00053	10114106.0	8751349.0	86.53	1362757.0	13.47
p1k_00054	9372620.0	9240607.0	98.59	132013.0	1.41
p1k_00055	12087986.0	11406724.0	94.36	681262.0	5.64
p1k_00056	5523804.0	5467375.0	98.98	56429.0	1.02
p1k_00057	8483677.0	8405398.0	99.08	78279.0	0.92
p1k_00058	12027577.0	11905796.0	98.99	121781.0	1.01
p1k_00059	4717606.0	4674596.0	99.09	43010.0	0.91
p1k_00060	8369959.0	8270912.0	98.82	99047.0	1.18
