Sample	Aligned	Not aligned
p1k_00001	6143220.0	229666.0
p1k_00002	4146788.0	199565.0
p1k_00003	11242449.0	179345.0
p1k_00004	10407753.0	131778.0
p1k_00005	10151378.0	562512.0
p1k_00006	8369595.0	510706.0
p1k_00007	11109219.0	170293.0
p1k_00008	11616919.0	150293.0
p1k_00009	9961504.0	595176.0
p1k_00010	9527398.0	504705.0
p1k_00011	10513945.0	159726.0
p1k_00012	10679636.0	130681.0
p1k_00013	4068838.0	3142439.0
p1k_00014	8144478.0	1565155.0
p1k_00015	10495578.0	179822.0
p1k_00016	8465953.0	144587.0
p1k_00017	10797170.0	183774.0
p1k_00018	9752144.0	152833.0
p1k_00019	7851138.0	95385.0
p1k_00020	7920570.0	107246.0
p1k_00021	7665326.0	143712.0
p1k_00022	8604969.0	185595.0
p1k_00023	6152650.0	97860.0
p1k_00024	7058014.0	106219.0
p1k_00025	7908199.0	206831.0
p1k_00026	5683622.0	162207.0
p1k_00027	8297239.0	495093.0
p1k_00028	8223902.0	228719.0
p1k_00029	6501970.0	399717.0
p1k_00030	9109362.0	627670.0
p1k_00031	4756820.0	151116.0
p1k_00032	7218138.0	352322.0
p1k_00033	10406911.0	226542.0
p1k_00034	10504759.0	160931.0
p1k_00035	10354430.0	170775.0
p1k_00036	10185754.0	193339.0
p1k_00037	4145039.0	91387.0
p1k_00038	3864106.0	90171.0
p1k_00039	4147750.0	61006.0
p1k_00040	4559490.0	71462.0
p1k_00041	8070349.0	127446.0
p1k_00042	5584363.0	91732.0
p1k_00043	7555476.0	85798.0
p1k_00044	9353708.0	111203.0
p1k_00045	6563610.0	90454.0
p1k_00046	6501146.0	95997.0
p1k_00047	5118733.0	76509.0
p1k_00048	6026695.0	93105.0
p1k_00049	7734170.0	234682.0
p1k_00050	7874847.0	163808.0
p1k_00051	9049458.0	102408.0
p1k_00052	8646980.0	560242.0
p1k_00053	8751349.0	1362757.0
p1k_00054	9240607.0	132013.0
p1k_00055	11406724.0	681262.0
p1k_00056	5467375.0	56429.0
p1k_00057	8405398.0	78279.0
p1k_00058	11905796.0	121781.0
p1k_00059	4674596.0	43010.0
p1k_00060	8270912.0	99047.0
p1k_00061	9323952.0	98475.0
p1k_00062	7858097.0	89569.0
p1k_00063	9198276.0	91623.0
p1k_00064	6895442.0	102522.0
p1k_00065	7464564.0	77536.0
p1k_00066	6260443.0	81916.0
p1k_00067	6669873.0	85178.0
p1k_00068	3132458.0	144945.0
p1k_00069	2405932.0	51280.0
p1k_00070	11090128.0	216230.0
p1k_00071	5844358.0	115781.0
p1k_00072	2641037.0	50267.0
p1k_00073	13295374.0	628954.0
p1k_00074	11277768.0	838740.0
p1k_00075	7820646.0	232507.0
p1k_00076	11201553.0	357773.0
p1k_00077	5162130.0	151043.0
p1k_00078	6518906.0	301064.0
p1k_00079	12033090.0	183239.0
p1k_00080	2967102.0	83267.0
p1k_00081	9804001.0	161501.0
p1k_00082	9801434.0	258795.0
p1k_00083	10142685.0	293254.0
p1k_00084	9235167.0	134857.0
p1k_00085	9874808.0	152256.0
p1k_00086	8424881.0	78440.0
p1k_00087	7808282.0	82858.0
p1k_00088	7350967.0	74569.0
p1k_00089	8098059.0	75282.0
p1k_00090	8778235.0	75442.0
p1k_00091	9553319.0	99585.0
p1k_00092	6625586.0	79133.0
p1k_00093	7633076.0	97494.0
p1k_00094	2458080.0	37435.0
p1k_00095	3857859.0	57034.0
p1k_00096	8043499.0	100111.0
p1k_00097	9509545.0	138806.0
p1k_00098	1941290.0	25546.0
p1k_00099	3948961.0	52330.0
p1k_00100	4384266.0	364037.0
p1k_00101	2052915.0	45080.0
