Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
p1k_00227	6683495.0	3806.0	1082824.0	5545.0	3118698.0	448451.0	79436.0
p1k_00228	6576273.0	903.0	1094071.0	4440.0	2201334.0	453368.0	81442.0
p1k_00229	5635975.0	859.0	1461117.0	3101.0	1426454.0	366678.0	70846.0
p1k_00230	6697177.0	929.0	902344.0	6478.0	1353697.0	419721.0	97122.0
p1k_00231	8227433.0	1308.0	1147936.0	6099.0	1397425.0	519222.0	112802.0
p1k_00232	7251263.0	1199.0	1021916.0	7278.0	1287964.0	453890.0	107475.0
p1k_00233	2630584.0	10626.0	76185.0	21661.0	911062.0	145452.0	75092.0
p1k_00234	3253034.0	6661.0	68028.0	24821.0	625824.0	158611.0	99156.0
p1k_00235	3028087.0	7337.0	60324.0	18400.0	594339.0	149684.0	87590.0
p1k_00236	2981611.0	2796.0	64881.0	30450.0	580802.0	164313.0	107042.0
p1k_00237	2956878.0	5541.0	68747.0	25604.0	511805.0	151679.0	108189.0
p1k_00238	2219920.0	3978.0	45117.0	13929.0	834047.0	139138.0	62173.0
p1k_00239	2694479.0	2747.0	51726.0	14844.0	992327.0	156925.0	74913.0
p1k_00240	2914427.0	7384.0	81218.0	28745.0	632508.0	152648.0	103258.0
p1k_00241	3128792.0	5120.0	96059.0	15167.0	887341.0	150908.0	89744.0
p1k_00242	2849786.0	1905.0	72861.0	17057.0	762690.0	135344.0	84528.0
p1k_00243	3361808.0	4916.0	71651.0	26709.0	587925.0	166555.0	117568.0
p1k_00244	3107339.0	3634.0	72294.0	31876.0	530896.0	152237.0	119300.0
p1k_00245	2793123.0	7923.0	52926.0	28957.0	591794.0	142918.0	96350.0
p1k_00246	2907946.0	3390.0	58308.0	28710.0	686283.0	142233.0	99474.0
p1k_00247	2660257.0	8260.0	52650.0	16524.0	840713.0	125220.0	71173.0
p1k_00248	2778410.0	12184.0	57332.0	13635.0	988071.0	130819.0	71393.0
p1k_00249	3197709.0	2972.0	97911.0	20099.0	729486.0	140349.0	94960.0
p1k_00250	3225855.0	9129.0	82886.0	16681.0	748002.0	133514.0	88021.0
p1k_00251	2819570.0	2760.0	78384.0	19440.0	915307.0	153232.0	74494.0
p1k_00252	2460696.0	6071.0	59968.0	15769.0	988395.0	143837.0	63689.0
p1k_00253	2449620.0	1713.0	47221.0	16409.0	639177.0	130227.0	69536.0
p1k_00254	2880932.0	1611.0	65986.0	16060.0	1188733.0	163842.0	67589.0
p1k_00255	8539205.0	1962.0	590215.0	222550.0	1209787.0	431223.0	184517.0
p1k_00256	7704969.0	945.0	725200.0	188809.0	998328.0	369425.0	168693.0
p1k_00257	8331941.0	4479.0	417434.0	152973.0	1847803.0	433904.0	135309.0
p1k_00258	8227633.0	6298.0	495046.0	176649.0	1795003.0	436490.0	144352.0
p1k_00259	5074682.0	745.0	387367.0	165166.0	884256.0	253766.0	123920.0
p1k_00260	6461677.0	786.0	466483.0	214902.0	1067224.0	317642.0	157067.0
p1k_00261	5938432.0	1047.0	471900.0	178983.0	920815.0	282549.0	121257.0
p1k_00262	5979695.0	1325.0	504156.0	164057.0	998016.0	282990.0	115165.0
p1k_00263	5217656.0	1992.0	389674.0	211017.0	1028916.0	274875.0	132194.0
p1k_00264	5339764.0	1263.0	458883.0	187269.0	905063.0	270120.0	137887.0
p1k_00265	5035473.0	21313.0	463960.0	248241.0	1274234.0	235756.0	134873.0
p1k_00266	6254697.0	3995.0	506257.0	272213.0	1335585.0	291712.0	155712.0
p1k_00267	6836929.0	1159583.0	476687.0	176891.0	1179963.0	346826.0	139637.0
p1k_00268	7801859.0	139051.0	512062.0	187323.0	1402838.0	389653.0	158412.0
p1k_00269	8372984.0	410849.0	436518.0	170811.0	1456826.0	436907.0	160549.0
p1k_00270	8014053.0	43316.0	479416.0	185638.0	1358947.0	391368.0	161553.0
p1k_00271	12374744.0	8263.0	748437.0	2342.0	2747689.0	651310.0	9177.0
p1k_00272	13558151.0	16702.0	633688.0	1120.0	3346840.0	602770.0	16493.0
p1k_00273	15040941.0	2473.0	333945.0	936.0	1642701.0	558307.0	7672.0
p1k_00274	12405136.0	4223.0	273611.0	2546.0	1452267.0	433835.0	6248.0
p1k_00275	6689710.0	648.0	400963.0	71725.0	844407.0	330766.0	97383.0
p1k_00276	8213898.0	1364.0	443115.0	83919.0	1254733.0	413309.0	112213.0
p1k_00277	6360482.0	449.0	351115.0	76430.0	623584.0	326970.0	112402.0
p1k_00278	7019007.0	717.0	438583.0	79233.0	781025.0	368213.0	121421.0
p1k_00279	4613205.0	905.0	271198.0	48328.0	854533.0	229897.0	67886.0
p1k_00280	6675704.0	596.0	352573.0	65876.0	1193470.0	336336.0	99255.0
p1k_00281	8515816.0	279222.0	402000.0	463948.0	1313526.0	333173.0	452114.0
p1k_00282	10238385.0	660554.0	608664.0	333802.0	3870670.0	430158.0	497230.0
p1k_00283	8107839.0	414.0	582573.0	244194.0	1056375.0	403148.0	167365.0
p1k_00284	8169644.0	660.0	594911.0	275632.0	1146463.0	400540.0	181391.0
p1k_00285	13785304.0	11142.0	1744814.0	830456.0	2647726.0	718621.0	323845.0
p1k_00286	8121054.0	1406.0	474381.0	217191.0	1195136.0	420808.0	179469.0
p1k_00287	5569499.0	514123.0	345633.0	173914.0	856887.0	281252.0	117901.0
p1k_00288	7804816.0	130779.0	450154.0	200837.0	1097742.0	383983.0	161350.0
p1k_00289	6651471.0	624125.0	411888.0	181608.0	769784.0	317546.0	134171.0
p1k_00290	6611001.0	413284.0	460744.0	147726.0	749686.0	315995.0	123683.0
p1k_00291	7578199.0	1337.0	420004.0	206540.0	1337287.0	392239.0	154584.0
p1k_00292	7644881.0	1295.0	516101.0	195247.0	1312963.0	392460.0	157930.0
p1k_00293	5905083.0	781.0	1844023.0	222365.0	963804.0	292853.0	132256.0
p1k_00294	4356081.0	8435.0	1332647.0	161477.0	697570.0	220003.0	93315.0
p1k_00295	6972964.0	588.0	564353.0	235277.0	809244.0	341365.0	173195.0
p1k_00296	5768169.0	1030.0	300149.0	164379.0	518960.0	260372.0	129671.0
p1k_00297	7722989.0	54744.0	569500.0	127693.0	2597246.0	366385.0	156041.0
p1k_00298	5110053.0	513521.0	308160.0	141362.0	685800.0	257613.0	106625.0
p1k_00299	7239195.0	11316.0	862333.0	392274.0	1434136.0	366509.0	160210.0
p1k_00300	5362364.0	716082.0	363003.0	127921.0	674441.0	252108.0	110248.0
p1k_00301	6392343.0	4628.0	342445.0	172501.0	897789.0	302434.0	128750.0
p1k_00302	7500985.0	3232.0	378460.0	145329.0	991740.0	347396.0	137003.0
p1k_00303	7579476.0	22833.0	424414.0	159508.0	1097860.0	335384.0	125957.0
p1k_00304	7480228.0	79471.0	371785.0	135680.0	1110684.0	327874.0	122011.0
p1k_00305	8374462.0	1194.0	513824.0	223351.0	1278470.0	404457.0	147312.0
p1k_00306	8795259.0	1961.0	565586.0	205960.0	1507003.0	438523.0	157668.0
p1k_00307	6430653.0	541.0	612666.0	141968.0	1196991.0	296941.0	123670.0
p1k_00308	5614805.0	541.0	475347.0	139331.0	1220918.0	261587.0	111794.0
p1k_00309	7084674.0	25616.0	639349.0	154040.0	1220986.0	282587.0	115026.0
p1k_00310	6638475.0	4708.0	553344.0	171567.0	1162331.0	263415.0	116167.0
p1k_00311	6314803.0	3448.0	628701.0	132737.0	1156603.0	248640.0	103407.0
p1k_00312	7897954.0	2021.0	493340.0	187153.0	1427038.0	302416.0	145146.0
p1k_00313	5285339.0	1955.0	378004.0	120262.0	801981.0	243651.0	118358.0
p1k_00314	5000529.0	1074.0	471343.0	99933.0	816767.0	234229.0	102091.0
p1k_00315	7114448.0	1364.0	732405.0	153473.0	1381434.0	348801.0	137068.0
p1k_00316	6685173.0	1143.0	754679.0	131412.0	1271527.0	324705.0	126460.0
p1k_00317	10252637.0	230277.0	264004.0	190875.0	694481.0	603611.0	510380.0
p1k_00318	10597499.0	577579.0	293040.0	230773.0	701258.0	624725.0	531047.0
