Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
p1k_00001	4580247.0	53735.0	229666.0	164092.0	828755.0	260082.0	256309.0
p1k_00002	3183361.0	26601.0	199565.0	85134.0	457133.0	181790.0	212769.0
p1k_00003	8766507.0	5167.0	179345.0	12588.0	1825105.0	323835.0	309247.0
p1k_00004	7948109.0	2908.0	131778.0	4483.0	1984505.0	249924.0	217824.0
p1k_00005	8153915.0	1175.0	562512.0	41171.0	1333527.0	355955.0	265635.0
p1k_00006	6723943.0	1569.0	510706.0	35416.0	1133212.0	289581.0	185874.0
p1k_00007	8603823.0	3708.0	170293.0	8027.0	1876794.0	330380.0	286487.0
p1k_00008	8957314.0	2215.0	150293.0	4602.0	2136013.0	284705.0	232070.0
p1k_00009	7850232.0	1766.0	595176.0	26254.0	1583591.0	308122.0	191539.0
p1k_00010	7399068.0	1980.0	504705.0	56711.0	1593984.0	298317.0	177338.0
p1k_00011	8461697.0	1930.0	159726.0	10781.0	1343361.0	357847.0	338329.0
p1k_00012	8632967.0	1252.0	130681.0	9978.0	1343119.0	358182.0	334138.0
p1k_00013	3276581.0	427.0	3142439.0	3774.0	538419.0	172828.0	76809.0
p1k_00014	6542010.0	728.0	1565155.0	6191.0	1123041.0	351594.0	120914.0
p1k_00015	8483327.0	2267.0	179822.0	9170.0	1343325.0	363700.0	293789.0
p1k_00016	6742388.0	816.0	144587.0	15964.0	1105739.0	415609.0	185437.0
p1k_00017	8703606.0	1067.0	183774.0	14508.0	1371148.0	365488.0	341353.0
p1k_00018	7917434.0	2027.0	152833.0	11223.0	1177222.0	323025.0	321213.0
p1k_00019	6494107.0	985.0	95385.0	1713.0	1036329.0	199826.0	118178.0
p1k_00020	6474752.0	1107.0	107246.0	2505.0	1115573.0	201352.0	125281.0
p1k_00021	6392575.0	513.0	143712.0	2174.0	958212.0	236117.0	75735.0
p1k_00022	7140477.0	689.0	185595.0	2058.0	1154558.0	208829.0	98358.0
p1k_00023	4824836.0	1142.0	97860.0	2090.0	1081994.0	150754.0	91834.0
p1k_00024	5536686.0	1554.0	106219.0	1542.0	1247703.0	173726.0	96803.0
p1k_00025	6078360.0	3271.0	206831.0	1630.0	1535094.0	198672.0	91172.0
p1k_00026	4415187.0	1190.0	162207.0	1187.0	1042739.0	141843.0	81476.0
p1k_00027	5410228.0	352556.0	495093.0	191849.0	1746473.0	290419.0	305714.0
p1k_00028	5156847.0	556086.0	228719.0	202170.0	1744897.0	268579.0	295323.0
p1k_00029	4975355.0	1374.0	399717.0	124957.0	882820.0	254584.0	262880.0
p1k_00030	6691168.0	309952.0	627670.0	180065.0	1208389.0	353285.0	366503.0
p1k_00031	3501280.0	58343.0	151116.0	111836.0	719831.0	184945.0	180585.0
p1k_00032	5336736.0	51847.0	352322.0	160530.0	1102021.0	283295.0	283709.0
p1k_00033	6503206.0	13857.0	226542.0	14919.0	3293440.0	269860.0	311629.0
p1k_00034	7116316.0	25547.0	160931.0	5616.0	2867963.0	214778.0	274539.0
p1k_00035	8182037.0	4684.0	170775.0	34042.0	1317247.0	385105.0	431315.0
p1k_00036	8247551.0	4073.0	193339.0	27169.0	1140187.0	351618.0	415156.0
p1k_00037	3201416.0	1657.0	91387.0	16192.0	634989.0	137810.0	152975.0
p1k_00038	2966289.0	1707.0	90171.0	19430.0	600326.0	133138.0	143216.0
p1k_00039	3180664.0	1122.0	61006.0	11245.0	618296.0	150940.0	185483.0
p1k_00040	3520107.0	1598.0	71462.0	9440.0	666997.0	160036.0	201312.0
p1k_00041	6652546.0	969.0	127446.0	36750.0	970097.0	253329.0	156658.0
p1k_00042	4562567.0	67738.0	91732.0	40687.0	601807.0	180439.0	131125.0
p1k_00043	6428765.0	495.0	85798.0	9240.0	807231.0	191787.0	117958.0
p1k_00044	7913787.0	671.0	111203.0	16760.0	1016865.0	245362.0	160263.0
p1k_00045	5595002.0	526.0	90454.0	8896.0	668625.0	172675.0	117886.0
p1k_00046	5537000.0	687.0	95997.0	8500.0	667647.0	171904.0	115408.0
p1k_00047	4348999.0	180.0	76509.0	7940.0	534561.0	136763.0	90290.0
p1k_00048	5057220.0	215.0	93105.0	18725.0	661665.0	174506.0	114364.0
p1k_00049	6393013.0	8946.0	234682.0	18191.0	926455.0	231933.0	155632.0
p1k_00050	6285665.0	452.0	163808.0	38684.0	959978.0	334962.0	255106.0
p1k_00051	7110316.0	2252.0	102408.0	41802.0	1227621.0	373941.0	293526.0
p1k_00052	6976136.0	928.0	560242.0	20535.0	1114935.0	308151.0	226295.0
p1k_00053	7085417.0	916.0	1362757.0	16907.0	1105621.0	331052.0	211436.0
p1k_00054	7095988.0	3617.0	132013.0	52630.0	1474649.0	369061.0	244662.0
p1k_00055	8870231.0	2178.0	681262.0	54557.0	1721965.0	474521.0	283272.0
p1k_00056	3419649.0	113595.0	56429.0	133242.0	1520045.0	164850.0	115994.0
p1k_00057	4966661.0	340165.0	78279.0	196110.0	2500446.0	238710.0	163306.0
p1k_00058	7231962.0	14205.0	121781.0	529568.0	3574417.0	339232.0	216412.0
p1k_00059	2827587.0	8421.0	43010.0	183010.0	1422912.0	137678.0	94988.0
p1k_00060	4986399.0	17381.0	99047.0	261929.0	2586857.0	251325.0	167021.0
p1k_00061	5689345.0	19139.0	98475.0	296608.0	2838876.0	285018.0	194966.0
p1k_00062	4653686.0	15640.0	89569.0	207970.0	2575089.0	236723.0	168989.0
p1k_00063	5335765.0	99444.0	91623.0	221749.0	3023918.0	287242.0	230158.0
p1k_00064	5692951.0	869.0	102522.0	48325.0	786512.0	221837.0	144948.0
p1k_00065	6028344.0	947.0	77536.0	10287.0	1098107.0	224822.0	102057.0
p1k_00066	5156304.0	466.0	81916.0	17417.0	768901.0	211713.0	105642.0
p1k_00067	5531553.0	502.0	85178.0	16816.0	772327.0	226784.0	121891.0
p1k_00068	1801438.0	1364.0	144945.0	691057.0	488969.0	131201.0	18429.0
p1k_00069	1866866.0	1940.0	51280.0	104461.0	288746.0	95141.0	48778.0
p1k_00070	8268891.0	6165.0	216230.0	773038.0	1429636.0	426416.0	185982.0
p1k_00071	4356371.0	4279.0	115781.0	292036.0	857904.0	247808.0	85960.0
p1k_00072	2008316.0	1906.0	50267.0	111428.0	356940.0	134299.0	28148.0
p1k_00073	8512963.0	11393.0	628954.0	840733.0	3396233.0	461980.0	72072.0
p1k_00074	7433454.0	22308.0	838740.0	654618.0	2760892.0	321984.0	84512.0
p1k_00075	5123498.0	16235.0	232507.0	1179334.0	1121749.0	314174.0	65656.0
p1k_00076	6775753.0	4051.0	357773.0	2236641.0	1697472.0	411145.0	76491.0
p1k_00077	3298540.0	2054.0	151043.0	882742.0	732374.0	218498.0	27922.0
p1k_00078	4165059.0	7188.0	301064.0	871805.0	1145646.0	276545.0	52663.0
p1k_00079	7815499.0	179166.0	183239.0	1916385.0	1705818.0	338975.0	77247.0
p1k_00080	1801862.0	1901.0	83267.0	391716.0	638960.0	107692.0	24971.0
p1k_00081	6697708.0	9190.0	161501.0	1026108.0	1530949.0	429479.0	110567.0
p1k_00082	7340367.0	992.0	258795.0	28642.0	1735942.0	427098.0	268393.0
p1k_00083	7885237.0	700.0	293254.0	22023.0	1561707.0	416293.0	256725.0
p1k_00084	7589438.0	780.0	134857.0	25730.0	953822.0	362819.0	302578.0
p1k_00085	7784662.0	772.0	152256.0	25494.0	1378759.0	400623.0	284498.0
p1k_00086	5908276.0	1498.0	78440.0	15626.0	1991889.0	265646.0	241946.0
p1k_00087	5481626.0	1766.0	82858.0	11037.0	1852909.0	324332.0	136612.0
p1k_00088	5895597.0	921.0	74569.0	14974.0	904347.0	253513.0	281615.0
p1k_00089	6492428.0	615.0	75282.0	9303.0	1063868.0	257901.0	273944.0
p1k_00090	7113690.0	56866.0	75442.0	9674.0	990250.0	287791.0	319964.0
p1k_00091	7811033.0	986.0	99585.0	14159.0	1044736.0	319243.0	363162.0
p1k_00092	5004616.0	41546.0	79133.0	8830.0	1142299.0	229351.0	198944.0
p1k_00093	5931445.0	98079.0	97494.0	7442.0	1153975.0	237367.0	204768.0
p1k_00094	2145965.0	1544.0	37435.0	3276.0	165302.0	75912.0	66081.0
p1k_00095	3376473.0	2719.0	57034.0	4686.0	260068.0	147724.0	66189.0
p1k_00096	6278147.0	53158.0	100111.0	3970.0	1237077.0	265971.0	205176.0
p1k_00097	7535259.0	83716.0	138806.0	8193.0	1339190.0	290312.0	252875.0
p1k_00098	1693376.0	1142.0	25546.0	689.0	142915.0	55935.0	47233.0
p1k_00099	3443822.0	2536.0	52330.0	1397.0	291515.0	114423.0	95268.0
p1k_00100	3537372.0	53810.0	364037.0	8543.0	538663.0	165634.0	80244.0
p1k_00101	1789771.0	1744.0	45080.0	4163.0	130810.0	64871.0	61556.0
p1k_00102	3253535.0	3318.0	82560.0	7061.0	238334.0	119287.0	112888.0
p1k_00103	2279264.0	1012.0	35221.0	6334.0	150049.0	111743.0	59577.0
p1k_00104	3479579.0	1594.0	54286.0	8982.0	230408.0	137139.0	143725.0
p1k_00105	6260093.0	39098.0	84699.0	42060.0	1282813.0	293343.0	224009.0
p1k_00106	6461745.0	5160.0	80796.0	38087.0	1109931.0	298617.0	275190.0
p1k_00107	6321105.0	65118.0	92654.0	50680.0	1184714.0	300370.0	251803.0
p1k_00108	3882472.0	17094.0	262439.0	31657.0	678987.0	187339.0	83455.0
p1k_00109	5015227.0	34148.0	316669.0	28477.0	878565.0	185864.0	154621.0
p1k_00110	4758459.0	9234.0	267804.0	42040.0	674044.0	237958.0	104339.0
p1k_00111	5062253.0	17751.0	264197.0	33369.0	720668.0	243524.0	105438.0
p1k_00112	5088740.0	27381.0	284518.0	43483.0	760053.0	212183.0	170766.0
p1k_00113	4819534.0	43797.0	236506.0	39606.0	741872.0	187788.0	145860.0
p1k_00114	5237466.0	15800.0	254287.0	26450.0	816133.0	197567.0	146505.0
p1k_00115	4978045.0	11796.0	211445.0	28977.0	875663.0	230934.0	88748.0
p1k_00116	4877438.0	37571.0	164635.0	37875.0	896849.0	188121.0	150961.0
p1k_00117	3891498.0	29308.0	117248.0	14862.0	659072.0	132786.0	107500.0
p1k_00118	4673673.0	38330.0	165473.0	28570.0	931293.0	177734.0	136847.0
p1k_00119	5137714.0	30141.0	168365.0	29627.0	1113279.0	178398.0	151480.0
p1k_00120	6010674.0	34466.0	183822.0	34993.0	1105658.0	215029.0	180375.0
p1k_00121	4299415.0	35935.0	137034.0	27578.0	895662.0	157361.0	126275.0
p1k_00122	4044912.0	55159.0	120177.0	20439.0	561387.0	137563.0	122680.0
p1k_00123	4114831.0	59938.0	108943.0	21404.0	609415.0	141183.0	114968.0
p1k_00124	4389759.0	67817.0	123926.0	19602.0	682165.0	153583.0	127761.0
p1k_00125	4246715.0	115984.0	37631.0	3956.0	485894.0	147475.0	173365.0
p1k_00126	4369905.0	129652.0	37558.0	6340.0	410038.0	152819.0	210919.0
p1k_00127	4414415.0	173136.0	36478.0	7955.0	471682.0	157090.0	196926.0
p1k_00128	6931198.0	14484.0	114148.0	15903.0	548859.0	305774.0	388500.0
p1k_00129	5522386.0	13968.0	172115.0	3619.0	799348.0	227524.0	177640.0
p1k_00130	11587570.0	60637.0	151342.0	9140.0	1274731.0	489231.0	478388.0
p1k_00131	10095563.0	28182.0	134905.0	7504.0	1211431.0	406033.0	408264.0
p1k_00132	1705154.0	593.0	29382.0	6827.0	167020.0	71300.0	35635.0
p1k_00133	4403677.0	3699.0	40739.0	23635.0	503655.0	163590.0	168098.0
p1k_00134	7714971.0	21509.0	161204.0	6889.0	893251.0	275750.0	248631.0
p1k_00135	7743049.0	9788.0	216141.0	13709.0	1027612.0	218887.0	178453.0
p1k_00136	6797969.0	15275.0	202966.0	8647.0	994819.0	241179.0	218453.0
p1k_00137	7348594.0	8915.0	194726.0	9466.0	1020955.0	300282.0	232004.0
p1k_00138	8331499.0	11062.0	145059.0	43851.0	1156902.0	189460.0	103822.0
p1k_00139	5467476.0	5920.0	164589.0	3747.0	910574.0	189650.0	163549.0
p1k_00140	7866327.0	18872.0	245492.0	8529.0	1060128.0	437644.0	196874.0
p1k_00141	7364374.0	10126.0	200742.0	4768.0	1135400.0	276174.0	194608.0
p1k_00142	2447068.0	1163.0	50874.0	6986.0	884952.0	143301.0	80567.0
p1k_00143	2896052.0	2639.0	69307.0	45629.0	271616.0	162032.0	94910.0
p1k_00144	2494532.0	9508.0	63290.0	13768.0	1151376.0	137793.0	79925.0
p1k_00145	2580693.0	5866.0	61105.0	15029.0	942741.0	135264.0	87967.0
p1k_00146	4250634.0	937.0	299930.0	3612.0	885124.0	238120.0	6386.0
p1k_00147	4665956.0	654.0	307263.0	3716.0	767456.0	300590.0	6845.0
p1k_00148	4952872.0	481.0	330963.0	6451.0	806169.0	328134.0	8764.0
p1k_00149	3777215.0	746.0	285257.0	3675.0	743514.0	201566.0	6292.0
p1k_00150	4414141.0	7891.0	306397.0	4258.0	818460.0	302245.0	6579.0
p1k_00151	1537833.0	1479914.0	55929.0	9857.0	685139.0	94728.0	42608.0
p1k_00152	2268424.0	6136.0	48070.0	12774.0	1254473.0	129678.0	68289.0
p1k_00153	2332693.0	858353.0	66214.0	10435.0	830152.0	131091.0	66734.0
p1k_00154	2472844.0	1027.0	64248.0	8988.0	1561337.0	173015.0	70152.0
p1k_00155	2481254.0	1780814.0	302990.0	1785.0	955337.0	172578.0	4529.0
p1k_00156	3198723.0	6758.0	68768.0	10582.0	1050183.0	183226.0	74830.0
p1k_00157	2907918.0	8649.0	53172.0	12461.0	996647.0	151244.0	79341.0
p1k_00158	2095283.0	833368.0	64708.0	11881.0	453143.0	110608.0	63667.0
p1k_00159	2994484.0	4196.0	53984.0	12138.0	746246.0	180370.0	94072.0
p1k_00160	2670926.0	22081.0	59016.0	20149.0	1148384.0	150265.0	91076.0
p1k_00161	11830213.0	3937.0	482039.0	72991.0	880197.0	538181.0	251969.0
p1k_00162	11223365.0	3820.0	422689.0	77645.0	858617.0	518333.0	230704.0
p1k_00163	9099400.0	1411.0	383119.0	989.0	1078522.0	383820.0	61612.0
p1k_00164	6071573.0	3199.0	339852.0	21919.0	880593.0	338945.0	66974.0
p1k_00165	10865624.0	9646.0	425940.0	40819.0	1391477.0	425843.0	151938.0
p1k_00166	10882406.0	8442.0	547122.0	115824.0	1441198.0	502367.0	205704.0
p1k_00167	11229621.0	4909.0	576454.0	108575.0	1481059.0	504368.0	136217.0
p1k_00168	11157408.0	5422.0	446731.0	99680.0	1501379.0	500774.0	133396.0
p1k_00169	5874520.0	6380.0	243833.0	1070.0	1499539.0	259259.0	33487.0
p1k_00170	5893599.0	6680.0	146173.0	1207.0	1380924.0	223652.0	11365.0
p1k_00171	10141476.0	8217.0	538805.0	97564.0	1363085.0	528049.0	195359.0
p1k_00172	10861562.0	9576.0	524540.0	84357.0	1348700.0	574252.0	188566.0
p1k_00173	8496125.0	3358.0	371501.0	83857.0	731975.0	451179.0	172517.0
p1k_00174	10181559.0	2825.0	449103.0	86457.0	888351.0	535490.0	206834.0
p1k_00175	6526441.0	2054.0	389881.0	24596.0	1045559.0	354244.0	64711.0
p1k_00176	6447400.0	936.0	403418.0	24948.0	1070976.0	355578.0	67309.0
p1k_00177	12030390.0	6167.0	492183.0	90950.0	1286965.0	597961.0	240855.0
p1k_00178	11301891.0	4074.0	453450.0	102846.0	1128974.0	553623.0	249670.0
p1k_00179	11865815.0	4140.0	545566.0	119555.0	1463289.0	545716.0	225071.0
p1k_00180	12174688.0	4006.0	540438.0	110586.0	1608256.0	541103.0	238198.0
p1k_00181	11704407.0	4274.0	538630.0	124027.0	1146220.0	569309.0	221960.0
p1k_00182	11170255.0	4841.0	506395.0	117671.0	995140.0	526747.0	245770.0
p1k_00183	6275844.0	2287.0	408844.0	34516.0	1022893.0	338927.0	76627.0
p1k_00184	7207992.0	1222.0	451258.0	32237.0	1189446.0	377144.0	83927.0
p1k_00185	6417442.0	379.0	417589.0	67900.0	663725.0	327906.0	103957.0
p1k_00186	6965872.0	283.0	382257.0	79741.0	698048.0	350964.0	115040.0
p1k_00187	7073574.0	1589.0	397896.0	74827.0	895790.0	370015.0	113817.0
p1k_00188	3566815.0	364.0	279197.0	67929.0	435334.0	189658.0	72020.0
p1k_00189	5236102.0	1439.0	477586.0	81168.0	1107227.0	321447.0	101301.0
p1k_00190	6621315.0	841.0	530427.0	101531.0	1263624.0	406186.0	129079.0
p1k_00191	10571792.0	14680.0	482908.0	74738.0	1041030.0	545866.0	138976.0
p1k_00192	9584139.0	10403.0	288579.0	142189.0	901589.0	499703.0	157330.0
p1k_00193	9179969.0	7138.0	535315.0	118030.0	1291722.0	418731.0	114527.0
p1k_00194	8955321.0	238273.0	498761.0	112087.0	1447103.0	409876.0	107065.0
p1k_00195	8066107.0	6527.0	403414.0	153670.0	873971.0	386137.0	154836.0
p1k_00196	7516395.0	6056.0	337520.0	169851.0	815212.0	373279.0	162610.0
p1k_00197	10832447.0	5289.0	653315.0	83746.0	1274475.0	528759.0	121035.0
p1k_00198	10132952.0	12589.0	564924.0	75256.0	1315972.0	507360.0	109036.0
p1k_00199	8643447.0	4217.0	601373.0	69012.0	1586712.0	447470.0	106811.0
p1k_00200	9199086.0	6545.0	530558.0	64270.0	1392944.0	486341.0	115714.0
p1k_00201	8115970.0	5568.0	468168.0	79833.0	1082842.0	417412.0	115775.0
p1k_00202	11419959.0	9850.0	698490.0	103557.0	1665061.0	593851.0	159318.0
p1k_00203	3527042.0	2804.0	202698.0	36375.0	469494.0	187080.0	52923.0
p1k_00204	3405031.0	2585.0	214657.0	24460.0	442158.0	176398.0	48864.0
p1k_00205	9074064.0	4743.0	559792.0	57619.0	1531018.0	422962.0	95729.0
p1k_00206	10130971.0	36565.0	559555.0	64508.0	1415537.0	486037.0	114656.0
p1k_00207	8920537.0	6356.0	493164.0	407968.0	1525533.0	501737.0	177119.0
p1k_00208	8309975.0	11234.0	473736.0	365434.0	1413854.0	469945.0	168032.0
p1k_00209	9370931.0	9339.0	362571.0	180388.0	1040039.0	491861.0	172357.0
p1k_00210	8215578.0	25692.0	438532.0	58307.0	1038826.0	417533.0	96705.0
p1k_00211	10144356.0	9611.0	682567.0	100570.0	1337985.0	519924.0	151543.0
p1k_00212	11107883.0	8614.0	697068.0	107541.0	1404479.0	571263.0	162086.0
p1k_00213	4233936.0	22606.0	233805.0	33896.0	561542.0	219165.0	58686.0
p1k_00214	5343609.0	4349.0	269021.0	32658.0	695867.0	284194.0	70261.0
p1k_00215	8857081.0	9876.0	506447.0	128215.0	1472817.0	451908.0	135216.0
p1k_00216	9113226.0	10066.0	487804.0	98412.0	1538089.0	468386.0	131055.0
p1k_00217	9183722.0	4538.0	522679.0	108719.0	1861207.0	411157.0	104328.0
p1k_00218	7633168.0	43622.0	436784.0	115870.0	1375888.0	354409.0	103004.0
p1k_00219	5382865.0	479.0	745063.0	5941.0	708433.0	350897.0	97936.0
p1k_00220	5166880.0	396.0	744465.0	6311.0	706171.0	330626.0	88772.0
p1k_00221	4975795.0	815.0	942224.0	3019.0	842037.0	328174.0	69386.0
p1k_00222	4971155.0	826.0	710517.0	5130.0	744561.0	313156.0	80358.0
p1k_00223	7471689.0	971.0	1158904.0	6553.0	1504368.0	479227.0	107303.0
p1k_00224	6976926.0	717.0	1084446.0	6846.0	1285045.0	438748.0	101884.0
p1k_00225	12222217.0	7402.0	1817752.0	15395.0	1911576.0	731346.0	214636.0
p1k_00226	6697911.0	944.0	1074592.0	8203.0	801196.0	398614.0	115756.0
