Sample	pe_sense	pe_antisense	failed	se_sense	se_antisense
p1k_00063	0.0439	0.5203	0.4358		
p1k_00064	0.0168	0.4847	0.4985		
p1k_00065	0.0169	0.4931	0.49		
p1k_00066	0.0165	0.4952	0.4883		
p1k_00067	0.017	0.4901	0.4929		
p1k_00068	0.0606	0.4699	0.4695		
p1k_00069	0.037	0.4418	0.5211		
p1k_00070	0.0374	0.4494	0.5132		
p1k_00071	0.0437	0.4593	0.497		
p1k_00072	0.0446	0.4496	0.5058		
p1k_00073	0.0304	0.4935	0.476		
p1k_00074	0.0274	0.5115	0.4611		
p1k_00075	0.0445	0.4872	0.4683		
p1k_00076	0.0438	0.442	0.5142		
p1k_00077	0.0468	0.4375	0.5158		
p1k_00078	0.0496	0.4537	0.4967		
p1k_00079	0.0371	0.4495	0.5134		
p1k_00080	0.0457	0.508	0.4464		
p1k_00081	0.0477	0.4488	0.5035		
p1k_00082	0.0394	0.4724	0.4882		
p1k_00083	0.0371	0.4673	0.4956		
p1k_00084	0.0372	0.4342	0.5286		
p1k_00085	0.0395	0.4489	0.5116		
p1k_00086	0.0306	0.4767	0.4926		
p1k_00087	0.0296	0.4753	0.4951		
p1k_00088	0.0318	0.4528	0.5154		
p1k_00089	0.0309	0.457	0.5121		
p1k_00090	0.0304	0.4454	0.5242		
p1k_00091	0.0302	0.4461	0.5237		
p1k_00092	0.0321	0.4886	0.4793		
p1k_00093	0.0316	0.4665	0.502		
p1k_00094	0.0147	0.4193	0.5659		
p1k_00095	0.0153	0.4224	0.5623		
p1k_00096	0.0339	0.4753	0.4908		
p1k_00097	0.0307	0.4659	0.5033		
p1k_00098	0.0146	0.4249	0.5604		
p1k_00099	0.0152	0.4264	0.5585		
p1k_00100	0.0375	0.4392	0.5233		
p1k_00101	0.0159	0.4121	0.572		
p1k_00102	0.0161	0.4096	0.5743		
p1k_00103	0.0148	0.3806	0.6046		
p1k_00104	0.0152	0.3774	0.6075		
p1k_00105	0.0365	0.4503	0.5132		
p1k_00106	0.0351	0.4381	0.5268		
p1k_00107	0.0363	0.4346	0.5291		
p1k_00108	0.0167	0.4823	0.501		
p1k_00109	0.0157	0.4931	0.4912		
p1k_00110	0.0163	0.4639	0.5198		
p1k_00111	0.0165	0.4613	0.5221		
p1k_00112	0.0172	0.4696	0.5133		
p1k_00113	0.0151	0.4774	0.5075		
p1k_00114	0.0152	0.4735	0.5113		
p1k_00115	0.0149	0.4834	0.5016		
p1k_00116	0.0162	0.4764	0.5075		
p1k_00117	0.0153	0.4721	0.5127		
p1k_00118	0.0157	0.4796	0.5047		
p1k_00119	0.0142	0.4934	0.4923		
p1k_00120	0.0146	0.4821	0.5033		
p1k_00121	0.0143	0.492	0.4937		
p1k_00122	0.0142	0.4696	0.5162		
p1k_00123	0.0151	0.4744	0.5105		
p1k_00124	0.0146	0.4759	0.5095		
p1k_00125	0.0413	0.4265	0.5321		
p1k_00126	0.0435	0.4004	0.556		
p1k_00127	0.0516	0.4036	0.5449		
p1k_00129	0.029	0.4682	0.5028		
p1k_00130	0.0327	0.4194	0.5479		
p1k_00131	0.0317	0.4409	0.5274		
p1k_00132	0.014	0.4427	0.5433		
p1k_00133	0.0301	0.493	0.4769		
p1k_00134	0.0272	0.4493	0.5235		
p1k_00135	0.0273	0.4451	0.5275		
p1k_00136	0.0302	0.454	0.5158		
p1k_00137	0.0335	0.4422	0.5243		
p1k_00138	0.0218	0.4796	0.4985		
p1k_00139	0.0284	0.4776	0.494		
p1k_00140	0.0326	0.4387	0.5286		
p1k_00141	0.0316	0.4627	0.5057		
p1k_00142	0.0387	0.515	0.4463		
p1k_00143	0.0449	0.4307	0.5244		
p1k_00144	0.0379	0.5278	0.4343		
p1k_00146	0.0155	0.4541	0.5304		
p1k_00147	0.0174	0.4583	0.5243		
p1k_00148	0.0174	0.4684	0.5143		
p1k_00149	0.0145	0.455	0.5305		
p1k_00150	0.0176	0.4641	0.5183		
p1k_00151	0.4081	0.3211	0.2707		
p1k_00152	0.1684	0.4225	0.4092		
p1k_00153	0.2353	0.3913	0.3733		
p1k_00154	0.0488	0.5632	0.3879		
p1k_00155	0.3494	0.3496	0.301		
p1k_00156	0.0554	0.5168	0.4278		
p1k_00157	0.1147	0.4291	0.4561		
p1k_00158	0.2591	0.3538	0.3871		
p1k_00159	0.0787	0.4089	0.5124		
p1k_00160	0.184	0.3688	0.4472		
p1k_00161	0.014	0.4082	0.5779		
p1k_00162	0.0138	0.4047	0.5814		
p1k_00163	0.0131	0.4378	0.5492		
p1k_00164	0.0184	0.4456	0.536		
p1k_00165	0.0154	0.4342	0.5504		
p1k_00166	0.014	0.4436	0.5424		
p1k_00167	0.0172	0.4581	0.5247		
p1k_00168	0.0193	0.4511	0.5296		
p1k_00169	0.0158	0.5283	0.4558		
p1k_00170	0.0161	0.5162	0.4677		
p1k_00171	0.0173	0.4403	0.5423		
p1k_00172	0.0182	0.4422	0.5396		
p1k_00173	0.0165	0.4013	0.5822		
p1k_00174	0.0152	0.4014	0.5833		
p1k_00175	0.0204	0.4773	0.5022		
p1k_00176	0.0196	0.4707	0.5097		
p1k_00177	0.0169	0.4191	0.5641		
p1k_00178	0.0149	0.4175	0.5676		
p1k_00179	0.0171	0.432	0.551		
p1k_00180	0.0184	0.4371	0.5444		
p1k_00181	0.0162	0.4004	0.5835		
p1k_00182	0.0165	0.3966	0.5869		
p1k_00183	0.0316	0.4284	0.5399		
p1k_00184	0.0192	0.439	0.5418		
p1k_00185	0.0163	0.4296	0.5541		
p1k_00186	0.0163	0.4285	0.5552		
p1k_00187	0.0302	0.4234	0.5464		
p1k_00188	0.0236	0.4245	0.5519		
p1k_00189	0.0305	0.4543	0.5152		
p1k_00190	0.0269	0.4551	0.5181		
p1k_00191	0.0184	0.4336	0.5481		
p1k_00192	0.0193	0.4336	0.5472		
p1k_00193	0.0198	0.4611	0.5191		
p1k_00194	0.0184	0.4697	0.5119		
p1k_00195	0.02	0.4433	0.5367		
p1k_00196	0.02	0.4262	0.5537		
p1k_00197	0.0222	0.4443	0.5335		
p1k_00198	0.02	0.4558	0.5242		
p1k_00199	0.0234	0.4796	0.4971		
p1k_00200	0.0222	0.4758	0.502		
p1k_00201	0.0201	0.4521	0.5278		
p1k_00202	0.0208	0.4579	0.5213		
p1k_00203	0.0196	0.4384	0.542		
p1k_00204	0.0176	0.4384	0.544		
p1k_00205	0.0197	0.4781	0.5022		
p1k_00206	0.0194	0.4819	0.4987		
p1k_00207	0.0203	0.4534	0.5263		
p1k_00208	0.0219	0.4545	0.5236		
p1k_00209	0.0193	0.4467	0.534		
p1k_00210	0.0203	0.478	0.5017		
p1k_00211	0.0189	0.4518	0.5292		
p1k_00212	0.0189	0.4458	0.5353		
p1k_00213	0.0168	0.4442	0.5389		
p1k_00214	0.0172	0.4379	0.5449		
p1k_00215	0.0197	0.4547	0.5256		
p1k_00216	0.0172	0.4613	0.5215		
p1k_00217	0.0196	0.4766	0.5039		
p1k_00218	0.0214	0.4811	0.4975		
p1k_00219	0.0279	0.438	0.5341		
p1k_00220	0.027	0.4403	0.5327		
p1k_00221	0.0294	0.4645	0.5061		
p1k_00222	0.027	0.4605	0.5125		
p1k_00223	0.0247	0.4919	0.4834		
p1k_00224	0.0239	0.4864	0.4897		
p1k_00225	0.0255	0.4759	0.4986		
p1k_00226	0.0236	0.4671	0.5093		
p1k_00227	0.0249	0.5972	0.378		
p1k_00228	0.025	0.5667	0.4083		
p1k_00229	0.0253	0.4961	0.4785		
p1k_00230	0.0273	0.476	0.4967		
p1k_00231	0.0281	0.4458	0.5261		
p1k_00232	0.0267	0.4533	0.5201		
p1k_00233	0.0435	0.4853	0.4712		
p1k_00234	0.0444	0.4368	0.5188		
p1k_00235	0.0426	0.4406	0.5168		
p1k_00236	0.0474	0.4425	0.5101		
p1k_00237	0.0441	0.4368	0.5191		
p1k_00238	0.0466	0.4774	0.476		
p1k_00239	0.0441	0.4789	0.477		
p1k_00240	0.046	0.4508	0.5032		
p1k_00241	0.04	0.4981	0.4619		
p1k_00242	0.0379	0.5004	0.4617		
p1k_00243	0.0395	0.4538	0.5066		
p1k_00244	0.0384	0.4558	0.5057		
p1k_00245	0.0482	0.4573	0.4945		
p1k_00246	0.0486	0.4742	0.4772		
p1k_00247	0.0373	0.4968	0.4659		
p1k_00248	0.0368	0.5091	0.4541		
p1k_00249	0.0363	0.4879	0.4758		
p1k_00250	0.034	0.4911	0.4749		
p1k_00251	0.045	0.5119	0.4431		
p1k_00252	0.0451	0.5406	0.4143		
p1k_00253	0.0425	0.4955	0.462		
p1k_00254	0.0484	0.5255	0.4261		
p1k_00255	0.0214	0.436	0.5426		
p1k_00256	0.0187	0.445	0.5363		
p1k_00257	0.0307	0.4828	0.4866		
p1k_00258	0.0325	0.4813	0.4863		
p1k_00259	0.0356	0.4332	0.5312		
p1k_00260	0.0316	0.4419	0.5265		
p1k_00261	0.0295	0.4877	0.4829		
p1k_00262	0.0349	0.4844	0.4806		
p1k_00263	0.0456	0.416	0.5384		
p1k_00264	0.0355	0.4219	0.5426		
p1k_00265	0.0759	0.4101	0.5141		
p1k_00266	0.045	0.4268	0.5282		
p1k_00267	0.0242	0.4103	0.5654		
p1k_00268	0.0244	0.4587	0.5169		
p1k_00269	0.0236	0.4368	0.5396		
p1k_00270	0.0208	0.4537	0.5254		
p1k_00271	0.0028	0.9349	0.0623		
p1k_00273	0.0079	0.8529	0.1392		
p1k_00274	0.0066	0.874	0.1194		
p1k_00275	0.0186	0.4511	0.5303		
p1k_00276	0.0259	0.4565	0.5176		
p1k_00277	0.015	0.4228	0.5622		
p1k_00278	0.0169	0.4302	0.5528		
p1k_00279	0.0239	0.4468	0.5293		
p1k_00280	0.0172	0.4517	0.5312		
p1k_00281	0.0241	0.4413	0.5346		
p1k_00282	0.023	0.495	0.482		
p1k_00283	0.0229	0.4263	0.5508		
p1k_00284	0.0235	0.4348	0.5417		
p1k_00285	0.0432	0.4315	0.5253		
p1k_00286	0.0206	0.4419	0.5375		
p1k_00287	0.0207	0.4149	0.5644		
p1k_00288	0.0189	0.4371	0.544		
p1k_00289	0.0177	0.4242	0.5581		
p1k_00290	0.0173	0.4354	0.5473		
p1k_00291	0.0226	0.4525	0.5249		
p1k_00292	0.0231	0.4471	0.5298		
p1k_00293	0.0228	0.453	0.5242		
p1k_00294	0.0213	0.4593	0.5193		
p1k_00295	0.0227	0.4071	0.5702		
p1k_00297	0.1434	0.3855	0.471		
p1k_00298	0.0175	0.4166	0.5659		
p1k_00299	0.0524	0.4451	0.5026		
p1k_00300	0.0173	0.4203	0.5623		
p1k_00301	0.0225	0.4607	0.5167		
p1k_00302	0.0179	0.4642	0.518		
p1k_00303	0.0195	0.4824	0.498		
p1k_00304	0.0189	0.4813	0.4998		
p1k_00305	0.0202	0.485	0.4948		
p1k_00306	0.0242	0.4684	0.5074		
p1k_00307	0.0333	0.4361	0.5306		
p1k_00308	0.0429	0.4266	0.5306		
p1k_00309	0.0325	0.4596	0.508		
p1k_00310	0.0368	0.4583	0.5049		
p1k_00311	0.0336	0.4728	0.4936		
p1k_00312	0.0332	0.4668	0.5		
p1k_00313	0.0304	0.4082	0.5614		
p1k_00314	0.0322	0.4079	0.56		
p1k_00315	0.0351	0.439	0.5259		
p1k_00316	0.0347	0.4423	0.523		
p1k_00317	0.0388	0.3994	0.5618		
p1k_00318	0.0388	0.3893	0.5718		
p1k_00319	0.0405	0.4083	0.5511		
p1k_00320	0.04	0.4116	0.5483		
p1k_00321	0.0388	0.4099	0.5513		
p1k_00322	0.0393	0.4081	0.5526		
p1k_00323	0.0371	0.4169	0.546		
p1k_00324	0.0376	0.4217	0.5407		
p1k_00325	0.0341	0.478	0.4879		
p1k_00326	0.026	0.4814	0.4927		
p1k_00327	0.0337	0.4709	0.4954		
p1k_00328	0.0358	0.4504	0.5139		
p1k_00329	0.0328	0.4132	0.5539		
p1k_00330	0.0403	0.4226	0.5371		
p1k_00331	0.0367	0.4503	0.513		
p1k_00332	0.0364	0.4477	0.5159		
p1k_00333	0.038	0.4462	0.5158		
p1k_00334	0.0384	0.4551	0.5065		
p1k_00335	0.0392	0.4476	0.5133		
p1k_00336	0.0378	0.4448	0.5174		
p1k_00337	0.031	0.5255	0.4434		
p1k_00338	0.0339	0.5288	0.4373		
p1k_00339	0.0348	0.4913	0.4739		
p1k_00340	0.0327	0.5042	0.4631		
p1k_00341	0.0377	0.4124	0.55		
p1k_00342	0.0404	0.4123	0.5473		
p1k_00343	0.0395	0.4058	0.5547		
p1k_00344	0.0406	0.4063	0.5532		
p1k_00346	0.0367	0.4021	0.5612		
p1k_00347	0.0358	0.401	0.5632		
p1k_00348	0.0357	0.4102	0.554		
p1k_00349	0.0386	0.4386	0.5227		
p1k_00350	0.0404	0.4335	0.5261		
p1k_00351	0.0404	0.4198	0.5397		
p1k_00352	0.0416	0.427	0.5314		
p1k_00353	0.0363	0.4489	0.5147		
p1k_00354	0.0388	0.4495	0.5116		
p1k_00355	0.0393	0.4432	0.5175		
p1k_00356	0.0432	0.4397	0.5171		
p1k_00357	0.0476	0.4647	0.4876		
p1k_00358	0.0382	0.4453	0.5165		
p1k_00359	0.0594	0.4577	0.4829		
p1k_00360	0.042	0.4209	0.5371		
p1k_00361	0.036	0.2346	0.7294		
p1k_00362	0.0668	0.4147	0.5185		
p1k_00363	0.0447	0.5064	0.4488		
p1k_00364	0.0422	0.4678	0.49		
p1k_00365	0.0461	0.4144	0.5396		
p1k_00366	0.0438	0.4265	0.5297		
p1k_00367	0.0455	0.3931	0.5614		
p1k_00368	0.0454	0.4011	0.5534		
p1k_00369	0.036	0.448	0.516		
p1k_00370	0.0319	0.4236	0.5445		
p1k_00371	0.041	0.3813	0.5777		
p1k_00372	0.0392	0.3635	0.5973		
p1k_00373	0.0434	0.3853	0.5712		
p1k_00374	0.043	0.3753	0.5817		
p1k_00375	0.0386	0.4229	0.5385		
p1k_00376	0.0326	0.4211	0.5463		
p1k_00377	0.0442	0.3893	0.5666		
p1k_00378	0.044	0.3834	0.5727		
p1k_00379	0.0381	0.3681	0.5938		
p1k_00380	0.0397	0.3718	0.5886		
p1k_00381	0.0323	0.4244	0.5433		
p1k_00382	0.0353	0.4327	0.532		
p1k_00383	0.0459	0.3647	0.5894		
p1k_00384	0.0494	0.3921	0.5585		
p1k_00385	0.0404	0.3844	0.5752		
p1k_00386	0.0395	0.3742	0.5863		
p1k_00387	0.1333	0.3702	0.4966		
p1k_00388	0.2265	0.3278	0.4458		
p1k_00389	0.0284	0.4471	0.5245		
p1k_00390	0.0285	0.4341	0.5374		
p1k_00391	0.0189	0.4985	0.4825		
p1k_00392	0.0186	0.5064	0.4751		
p1k_00393	0.3824	0.2796	0.3381		
p1k_00394	0.2527	0.3519	0.3955		
p1k_00395	0.0256	0.4432	0.5313		
p1k_00396	0.026	0.4408	0.5332		
p1k_00397	0.0611	0.1761	0.7627		
p1k_00398	0.0321	0.4601	0.5078		
p1k_00399	0.1903	0.3765	0.4332		
p1k_00400	0.0859	0.4345	0.4796		
p1k_00401	0.0289	0.4484	0.5227		
p1k_00402	0.0295	0.4481	0.5224		
p1k_00403	0.0417	0.4574	0.501		
p1k_00404	0.0309	0.4517	0.5173		
p1k_00405	0.0629	0.4265	0.5106		
p1k_00406	0.1097	0.4051	0.4852		
p1k_00407	0.0243	0.4468	0.529		
p1k_00408	0.0244	0.4356	0.54		
p1k_00409	0.0298	0.442	0.5282		
p1k_00410	0.0308	0.4547	0.5145		
p1k_00411	0.1911	0.3493	0.4596		
p1k_00412	0.044	0.4253	0.5308		
p1k_00413	0.0251	0.4346	0.5403		
p1k_00414	0.0251	0.4411	0.5337		
p1k_00415	0.0208	0.4682	0.5111		
p1k_00416	0.0217	0.4667	0.5116		
p1k_00417	0.0354	0.424	0.5405		
p1k_00418	0.0283	0.4305	0.5412		
p1k_00419	0.0297	0.4276	0.5426		
p1k_00420	0.0266	0.4288	0.5446		
p1k_00421	0.0262	0.4275	0.5463		
p1k_00422	0.0277	0.4381	0.5342		
p1k_00423	0.0233	0.4344	0.5423		
p1k_00424	0.0275	0.4351	0.5374		
p1k_00425	0.0209	0.47	0.5091		
p1k_00426	0.0178	0.4833	0.4989		
p1k_00427	0.0189	0.4648	0.5163		
p1k_00428	0.0186	0.4686	0.5129		
p1k_00429	0.0303	0.4274	0.5423		
p1k_00430	0.0348	0.4062	0.559		
p1k_00431	0.0234	0.4392	0.5373		
p1k_00432	0.0237	0.4371	0.5392		
p1k_00433	0.0325	0.4719	0.4956		
p1k_00434	0.0369	0.468	0.495		
p1k_00435	0.0391	0.4337	0.5272		
p1k_00436	0.0344	0.4335	0.5322		
p1k_00437	0.0217	0.4661	0.5122		
p1k_00438	0.0233	0.4671	0.5096		
p1k_00439	0.0313	0.4598	0.5089		
p1k_00440	0.0325	0.4716	0.4959		
p1k_00441	0.0601	0.4341	0.5058		
p1k_00442	0.0552	0.443	0.5018		
p1k_00443	0.0603	0.4391	0.5006		
p1k_00444	0.0493	0.4319	0.5188		
p1k_00445	0.0569	0.4223	0.5208		
p1k_00446	0.0581	0.4314	0.5105		
p1k_00447	0.0506	0.4313	0.5181		
p1k_00448	0.0423	0.4584	0.4993		
p1k_00449	0.0302	0.4246	0.5453		
p1k_00450	0.0279	0.4538	0.5183		
p1k_00451	0.0316	0.4416	0.5268		
p1k_00452	0.0319	0.4462	0.5219		
p1k_00453	0.0316	0.4366	0.5318		
p1k_00454	0.0324	0.4393	0.5283		
p1k_00455	0.017	0.3517	0.6313		
p1k_00456	0.0132	0.3478	0.639		
p1k_00457	0.0268	0.4122	0.561		
p1k_00458	0.0278	0.4193	0.5529		
p1k_00459	0.028	0.3714	0.6006		
p1k_00460	0.0297	0.3788	0.5914		
p1k_00461	0.0272	0.3712	0.6016		
p1k_00462	0.0262	0.3661	0.6076		
p1k_00463	0.0306	0.3991	0.5703		
p1k_00464	0.0329	0.4346	0.5325		
p1k_00465	0.0151	0.3235	0.6614		
p1k_00466	0.0166	0.3419	0.6415		
p1k_00467	0.0287	0.4442	0.5271		
p1k_00468	0.0243	0.3941	0.5816		
p1k_00469	0.0234	0.4095	0.5671		
p1k_00470	0.0242	0.4213	0.5545		
p1k_00471	0.0246	0.3662	0.6092		
p1k_00472	0.0264	0.3698	0.6038		
p1k_00473	0.0361	0.4607	0.5032		
p1k_00474	0.0363	0.4681	0.4956		
p1k_00475	0.0377	0.4591	0.5032		
p1k_00476	0.0363	0.4653	0.4984		
p1k_00477	0.0356	0.4468	0.5176		
p1k_00478	0.0339	0.4476	0.5185		
p1k_00479	0.0368	0.4023	0.561		
p1k_00480	0.0417	0.4675	0.4908		
p1k_00481	0.02	0.4872	0.4927		
p1k_00482	0.0183	0.4479	0.5338		
p1k_00483	0.0256	0.4163	0.558		
p1k_00484	0.025	0.3892	0.5858		
p1k_00485	0.0271	0.3172	0.6557		
p1k_00486	0.0324	0.4428	0.5247		
p1k_00487	0.0307	0.447	0.5223		
p1k_00488	0.0304	0.4463	0.5233		
p1k_00489	0.0314	0.4357	0.5329		
p1k_00490	0.0335	0.4776	0.4889		
p1k_00491	0.031	0.399	0.57		
p1k_00492	0.0317	0.4291	0.5392		
p1k_00493	0.031	0.4136	0.5554		
p1k_00494	0.0318	0.4358	0.5324		
p1k_00495	0.0234	0.3458	0.6309		
p1k_00496	0.024	0.3438	0.6322		
p1k_00497	0.0213	0.4389	0.5398		
p1k_00498	0.0191	0.3697	0.6112		
p1k_00499	0.0342	0.4359	0.53		
p1k_00500	0.0339	0.4321	0.534		
p1k_00501	0.0328	0.4425	0.5247		
p1k_00502	0.0347	0.4603	0.505		
p1k_00503	0.0329	0.4471	0.52		
p1k_00504	0.034	0.4585	0.5075		
p1k_00505	0.04	0.4636	0.4964		
p1k_00506	0.038	0.473	0.489		
p1k_00507	0.0295	0.4142	0.5564		
p1k_00508	0.0284	0.3739	0.5978		
p1k_00509	0.029	0.448	0.523		
p1k_00510	0.028	0.4465	0.5255		
p1k_00511	0.0565	0.4531	0.4904		
p1k_00512	0.0518	0.4358	0.5125		
p1k_00513	0.0466	0.4544	0.499		
p1k_00514	0.043	0.4731	0.484		
p1k_00515	0.0416	0.4762	0.4822		
p1k_00517	0.0534	0.4743	0.4723		
p1k_00518	0.026	0.4444	0.5296		
p1k_00519	0.0248	0.4425	0.5327		
p1k_00520	0.0392	0.4344	0.5264		
p1k_00521	0.0382	0.3794	0.5824		
p1k_00522	0.0404	0.5015	0.4581		
p1k_00523	0.0491	0.4973	0.4536		
p1k_00524	0.0554	0.5029	0.4417		
p1k_00525	0.0541	0.4868	0.4591		
p1k_00526	0.0558	0.4242	0.5199		
p1k_00527	0.0541	0.4293	0.5165		
p1k_00528	0.0499	0.4173	0.5328		
p1k_00529	0.051	0.424	0.525		
p1k_00530	0.0488	0.4662	0.485		
p1k_00531	0.048	0.4628	0.4892		
p1k_00532	0.0427	0.4838	0.4735		
p1k_00533	0.0405	0.4795	0.48		
p1k_00534	0.0448	0.5307	0.4245		
p1k_00535	0.0469	0.5332	0.4199		
p1k_00536	0.0565	0.5235	0.42		
p1k_00537	0.0644	0.5262	0.4094		
p1k_00538	0.0361	0.5118	0.4521		
p1k_00539	0.0281	0.3623	0.6096		
p1k_00540	0.0482	0.4511	0.5007		
p1k_00541	0.0451	0.4534	0.5015		
p1k_00542	0.0473	0.4637	0.489		
p1k_00543	0.0377	0.4129	0.5494		
p1k_00544	0.0411	0.4853	0.4736		
p1k_00545	0.0411	0.4815	0.4774		
p1k_00546	0.0601	0.4388	0.5011		
p1k_00547	0.0596	0.4365	0.5039		
p1k_00548	0.0547	0.4677	0.4777		
p1k_00549	0.0472	0.4685	0.4843		
p1k_00550	0.0516	0.4571	0.4912		
p1k_00551	0.057	0.4683	0.4747		
p1k_00552	0.0521	0.4493	0.4986		
p1k_00553	0.0469	0.4585	0.4946		
p1k_00554	0.0365	0.4658	0.4977		
p1k_00555	0.0381	0.4553	0.5066		
p1k_00556	0.0343	0.5327	0.4329		
p1k_00557	0.0424	0.527	0.4306		
p1k_00558	0.0177	0.4516	0.5307		
p1k_00559	0.0176	0.442	0.5403		
p1k_00560	0.0326	0.469	0.4985		
p1k_00561	0.0343	0.4701	0.4956		
p1k_00562	0.0101	0.4261	0.5639		
p1k_00563	0.011	0.428	0.561		
p1k_00564	0.01	0.4486	0.5414		
p1k_00565	0.0104	0.4553	0.5343		
p1k_00566	0.0291	0.3271	0.6439		
p1k_00567	0.0311	0.4703	0.4986		
p1k_00568	0.0409	0.4718	0.4872		
p1k_00569	0.0384	0.4709	0.4908		
p1k_00570	0.0269	0.4409	0.5322		
p1k_00571	0.0243	0.4718	0.5039		
p1k_00572	0.0322	0.4567	0.5111		
p1k_00573	0.018	0.3118	0.6702		
p1k_00574	0.0391	0.4866	0.4743		
p1k_00575	0.0402	0.47	0.4898		
p1k_00576	0.019	0.4644	0.5166		
p1k_00577	0.0172	0.4565	0.5262		
p1k_00578	0.0452	0.4358	0.519		
p1k_00579	0.0423	0.4387	0.5191		
p1k_00580	0.0121	0.4346	0.5533		
p1k_00581	0.0141	0.4243	0.5616		
p1k_00582	0.0169	0.4528	0.5303		
p1k_00583	0.0172	0.4535	0.5292		
p1k_00584	0.0496	0.5043	0.4461		
p1k_00585	0.049	0.5092	0.4418		
p1k_00586	0.0377	0.4618	0.5005		
p1k_00587	0.044	0.4637	0.4923		
p1k_00588	0.044	0.4626	0.4934		
p1k_00589	0.0408	0.4607	0.4984		
p1k_00590	0.047	0.4474	0.5056		
p1k_00591	0.0485	0.4528	0.4987		
p1k_00592	0.0309	0.4525	0.5166		
p1k_00593	0.0369	0.4708	0.4923		
p1k_00594	0.0351	0.389	0.5759		
p1k_00595	0.0512	0.4303	0.5185		
p1k_00596	0.0532	0.4617	0.4852		
p1k_00597	0.0519	0.4661	0.4821		
p1k_00598	0.0482	0.4744	0.4774		
p1k_00599	0.0509	0.4723	0.4768		
p1k_00600	0.0593	0.4252	0.5155		
p1k_00601	0.0515	0.4314	0.5172		
p1k_00602	0.0493	0.4306	0.5201		
p1k_00603	0.0487	0.4475	0.5038		
p1k_00604	0.0474	0.4431	0.5095		
p1k_00605	0.0477	0.4533	0.499		
p1k_00606	0.0573	0.4568	0.4859		
p1k_00607	0.0495	0.4608	0.4896		
p1k_00608	0.0492	0.4706	0.4802		
p1k_00609	0.0532	0.4339	0.5129		
p1k_00610	0.0494	0.4785	0.4721		
p1k_00611	0.0507	0.4686	0.4807		
p1k_00612	0.0184	0.4239	0.5577		
p1k_00613	0.0172	0.4247	0.5581		
p1k_00614	0.0202	0.5011	0.4787		
p1k_00615	0.0202	0.499	0.4808		
p1k_00616	0.0205	0.4576	0.5219		
p1k_00617	0.0199	0.4611	0.519		
p1k_00618	0.0207	0.4803	0.499		
p1k_00619	0.0159	0.4786	0.5055		
