Sample	pe_sense	pe_antisense	failed	se_sense	se_antisense
p1k_00001	0.0399	0.4468	0.5133		
p1k_00002	0.0409	0.4453	0.5138		
p1k_00003	0.0261	0.5113	0.4626		
p1k_00004	0.0234	0.5314	0.4452		
p1k_00005	0.0314	0.455	0.5135		
p1k_00006	0.0325	0.455	0.5124		
p1k_00007	0.0282	0.5077	0.4641		
p1k_00008	0.0243	0.5273	0.4484		
p1k_00009	0.0304	0.4796	0.49		
p1k_00010	0.0304	0.4813	0.4883		
p1k_00011	0.0305	0.4652	0.5043		
p1k_00012	0.0303	0.463	0.5067		
p1k_00013	0.034	0.4595	0.5065		
p1k_00014	0.0299	0.4743	0.4959		
p1k_00015	0.0302	0.463	0.5068		
p1k_00016	0.032	0.4614	0.5066		
p1k_00017	0.0294	0.4648	0.5058		
p1k_00018	0.0287	0.4623	0.509		
p1k_00019	0.0137	0.4781	0.5081		
p1k_00020	0.0142	0.4797	0.5061		
p1k_00021	0.0144	0.48	0.5056		
p1k_00022	0.0149	0.4807	0.5044		
p1k_00023	0.0135	0.4858	0.5007		
p1k_00024	0.0139	0.4797	0.5064		
p1k_00025	0.015	0.4978	0.4871		
p1k_00026	0.0152	0.4954	0.4894		
p1k_00027	0.0347	0.4839	0.4814		
p1k_00028	0.0333	0.4712	0.4955		
p1k_00029	0.0376	0.456	0.5063		
p1k_00030	0.0376	0.4392	0.5231		
p1k_00031	0.0406	0.4631	0.4963		
p1k_00032	0.0402	0.4669	0.4929		
p1k_00033	0.0355	0.5459	0.4186		
p1k_00034	0.039	0.5052	0.4558		
p1k_00035	0.0339	0.4637	0.5024		
p1k_00036	0.0343	0.4557	0.51		
p1k_00037	0.0367	0.4712	0.4922		
p1k_00038	0.0412	0.4722	0.4866		
p1k_00039	0.0522	0.4401	0.5077		
p1k_00040	0.0514	0.4383	0.5103		
p1k_00041	0.0168	0.4754	0.5078		
p1k_00042	0.0179	0.4566	0.5256		
p1k_00043	0.0134	0.4531	0.5335		
p1k_00044	0.0148	0.4581	0.5271		
p1k_00045	0.0143	0.4466	0.539		
p1k_00046	0.014	0.4486	0.5373		
p1k_00047	0.0149	0.4635	0.5216		
p1k_00048	0.0155	0.4636	0.5209		
p1k_00049	0.0172	0.4492	0.5336		
p1k_00050	0.0412	0.4527	0.5061		
p1k_00051	0.0401	0.4597	0.5002		
p1k_00052	0.0338	0.437	0.5292		
p1k_00053	0.0335	0.4388	0.5277		
p1k_00054	0.053	0.4575	0.4895		
p1k_00055	0.0467	0.4681	0.4851		
p1k_00056	0.0587	0.4948	0.4465		
p1k_00057	0.0849	0.474	0.4411		
p1k_00058	0.0362	0.498	0.4658		
p1k_00059	0.0378	0.4998	0.4624		
p1k_00060	0.0381	0.519	0.4429		
p1k_00061	0.0383	0.5158	0.4458		
p1k_00062	0.0373	0.5322	0.4304		
