,cond1,cond2,n_dima,n_deg,exp_var_dimas,exp_var_all
0,ros_tale:1_1_250pq,ros_tale:3_1_750pq,26,521,0.2970849506627137,0.8283388026704008
1,pcoli:hsPNMT_mb,pcoli:pmTPH,1,163,0.015553033187162613,0.8038189604972736
2,ica:tyr_glcn,ica:ura_pyr,13,159,0.41452000642375486,0.8568937108454917
3,minicoli:minE_Fe_starve,minicoli:W3110_osm,76,1661,0.7858065597475594,0.8903335547998745
4,ros_tale:1_3_750pq,ros_tale:3_1_750pq,48,724,0.5119080021342328,0.8259690996427934
5,ros_tale:11_83_250pq,ros_tale:14_27_750pq,0,1225,0.0,
6,DDB2:PD-004_del-basS_Batch_6h,DDB2:PD-005_MG1655-del-fhuA_Fed-batch_15h,34,529,0.40873321797412376,0.7464005950754812
7,minicoli:W3110_cyt,minicoli:W3110_glyc,5,93,0.049318745524018714,0.8419128116169582
8,efeU:menFentC_ale29,efeU:menFentCubiC_ale37,43,686,0.5671907526142912,0.759500636396383
9,DDB2:PD-004_del-basS_Fed-batch_6h,DDB2:PD-004_del-basS_Fed-batch_15h,7,123,0.07307960489964083,0.7249219434174505
10,tcs:del_atoC_LiCl,tcs:del_phoB_m9p,39,987,0.46706294923551117,0.7473353086781525
11,ica:wt_glc,ica:no3_anaero,27,449,0.6503548435185064,0.8375078752430791
12,tcs:del_atoC_LiCl,tcs:del_rcsB_etoh,81,1684,0.7635114213764407,0.8804278275805539
13,ros_tale:9_77_750pq,ros_tale:14_27_0pq,0,763,0.0,
14,ros_tale:1_0_0pq,ros_tale:2_0_250pq,11,243,0.27812919907893896,0.8137504444086482
15,tcs:del_atoC_m9,tcs:del_rcsB_lb,63,857,0.6135824128671681,0.9041807775514403
16,pcoli:hsTPH_N174trunc,pcoli:ocAANAT,0,51,0.0,0.7703421068930271
17,ros_tale:13_87_250pq,ros_tale:18_36_750pq,0,863,0.0,
18,minicoli:aldA_minE,minicoli:W3110_LB,91,2086,0.765567295017228,0.8994286904498938
19,pcoli:ckDDC,pcoli:rnPNMT,18,332,0.38248198587964055,0.7919911897226792
20,DDB2:PD-003_BW25113_Fed-batch_6h,DDB2:PD-005_del-phoB_Fed-batch_15h,10,123,0.1433748170968936,0.769063708385599
21,hot_tale:42c_ale3_44c,hot_tale:hot_ale16_44c,12,170,0.11540379609147033,0.711169939729251
22,ros_tale:7_103_750pq,ros_tale:17_104_750pq,0,698,0.0,
23,pcoli:hsAANAT,pcoli:osTDC_L360V,28,453,0.4431117862711097,0.7822682260846923
24,pcoli:hsTPH_E2K,pcoli:RFCpluspause,12,255,0.3065991103420952,0.7879517439000419
25,svns_pgi:BmePgi24_52,svns_pgi:PaePgi2_34,9,145,0.17979226182755947,0.7380096200026349
26,DDB2:PD-003_del-phoB_Fed-batch_21h,DDB2:PD-003_del-qseF_Fed-batch_21h,3,29,0.023785220367677606,0.7819716448565677
27,eep:BOP27_ndh-cyoB_A8_F59_I1_R1,eep:BOP27_nuoB-cyoB_A10_F64_I1_R1,26,916,0.2932373633685045,0.7926720281297925
28,pcoli:CC1,pcoli:rnPNMT,21,369,0.3028476750849052,0.7878825834311021
