Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
p1k_00033	10633453	6503206	13857	226542	0	0	0	0	14919	0	0	0	0	3293440	269860	311629	61.157988848965616	10633453.0	10406911.0	97.87	226542.0	2.13	p1k_00033_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10633453.0	0.0	20-31	53.0	20.69646988774876	30.299327321049898	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	10664383	745229	10664383	330595873	5014934	324590213	1.816616748872724	0.0355	0.5459	0.4186		
p1k_00034	10665690	7116316	25547	160931	0	0	0	0	5616	0	0	0	0	2867963	214778	274539	66.72157169390822	10665690.0	10504759.0	98.49	160931.0	1.51	p1k_00034_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10665690.0	0.0	20-31	53.0	17.934546801906798	30.453275596796832	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10681790	754742	10681790	331135490	4912516	325243135	1.779439286317513	0.039	0.5052	0.4558		
p1k_00035	10525205	8182037	4684	170775	0	0	0	0	34042	0	0	0	0	1317247	385105	431315	77.73755475546557	10525205.0	10354430.0	98.38	170775.0	1.62	p1k_00035_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10525205.0	0.0	20-31	52.0	19.82929822914711	30.44916198781877	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10547275	780096	10547275	326965525	4837970	321106056	1.7920754795172975	0.0339	0.4637	0.5024		
p1k_00036	10379093	8247551	4073	193339	0	0	0	0	27169	0	0	0	0	1140187	351618	415156	79.46311879082305	10379093.0	10185754.0	98.14	193339.0	1.86	p1k_00036_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10379093.0	0.0	20-31	53.0	21.70967928162201	30.325305689042384	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10402789	774742	10402789	322486459	4757952	316720376	1.7880077873285216	0.0343	0.4557	0.51		
p1k_00037	4236426	3201416	1657	91387	0	0	0	0	16192	0	0	0	0	634989	137810	152975	75.56879312892518	4236426.0	4145039.0	97.84	91387.0	2.16	p1k_00037_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4236426.0	0.0	20-35	52.0	26.73571211980984	34.52912903470992	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	4261898	1171467	4261898	149166430	194230	147347636	1.2193051747635175	0.0367	0.4712	0.4922		
p1k_00038	3954277	2966289	1707	90171	0	0	0	0	19430	0	0	0	0	600326	133138	143216	75.01469927372311	3954277.0	3864106.0	97.72	90171.0	2.28	p1k_00038_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3954277.0	0.0	20-35	52.0	27.392816659428043	34.52535039907422	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	3977165	1095997	3977165	139200775	184586	137527447	1.2020967555676323	0.0412	0.4722	0.4866		
p1k_00039	4208756	3180664	1122	61006	0	0	0	0	11245	0	0	0	0	618296	150940	185483	75.57254447632506	4208756.0	4147750.0	98.55	61006.0	1.45	p1k_00039_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4208756.0	0.0	20-35	52.0	25.139041750557745	34.522775613506695	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	4231556	1195999	4231556	148104460	193169	146294863	1.2218382890022352	0.0522	0.4401	0.5077		
p1k_00040	4630952	3520107	1598	71462	0	0	0	0	9440	0	0	0	0	666997	160036	201312	76.01259956915986	4630952.0	4559490.0	98.46	71462.0	1.54	p1k_00040_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4630952.0	0.0	20-35	52.0	25.85174546683051	34.587132408195984	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	4656543	1450199	4656543	162979005	876737	160157409	1.7312634839070222	0.0514	0.4383	0.5103		
p1k_00041	8197795	6652546	969	127446	0	0	0	0	36750	0	0	0	0	970097	253329	156658	81.15043130500335	8197795.0	8070349.0	98.45	127446.0	1.55	p1k_00041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8197795.0	0.0	21-76	52.0	21.351125957545147	75.2180563188028	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8206775	993442	8206775	619722573	916758	617480524	0.3617826907847683	0.0168	0.4754	0.5078		
p1k_00042	5676095	4562567	67738	91732	0	0	0	0	40687	0	0	0	0	601807	180439	131125	80.38214652855528	5676095.0	5584363.0	98.38	91732.0	1.62	p1k_00042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5676095.0	0.0	20-76	52.0	23.82608107013469	75.14286001203293	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	5682446	689149	5682446	429222030	670303	427643513	0.367762344351244	0.0179	0.4566	0.5256		
p1k_00043	7641274	6428765	495	85798	0	0	0	0	9240	0	0	0	0	807231	191787	117958	84.13210938385406	7641274.0	7555476.0	98.88	85798.0	1.12	p1k_00043_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7641274.0	0.0	20-76	52.0	22.32669610037468	75.14859747209692	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	7653797	947209	7653797	578229681	800741	575841014	0.4131000324765411	0.0134	0.4531	0.5335		
p1k_00044	9464911	7913787	671	111203	0	0	0	0	16760	0	0	0	0	1016865	245362	160263	83.61184801420742	9464911.0	9353708.0	98.83	111203.0	1.17	p1k_00044_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9464911.0	0.0	20-76	52.0	17.00728652905736	75.25013621364215	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	9484300	1184398	9484300	716552285	981053	713319749	0.4511235352490712	0.0148	0.4581	0.5271		
p1k_00045	6654064	5595002	526	90454	0	0	0	0	8896	0	0	0	0	668625	172675	117886	84.08398236025383	6654064.0	6563610.0	98.64	90454.0	1.36	p1k_00045_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6654064.0	0.0	20-76	52.0	21.96551177885656	75.24174669795782	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	6661396	830257	6661396	503346296	628528	501438916	0.3789399097912503	0.0143	0.4466	0.539		
p1k_00046	6597143	5537000	687	95997	0	0	0	0	8500	0	0	0	0	667647	171904	115408	83.9302710279283	6597143.0	6501146.0	98.54	95997.0	1.46	p1k_00046_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6597143.0	0.0	20-76	52.0	24.07156342261188	75.15664765793314	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6603058	819545	6603058	499002395	658827	497157624	0.3696918128018203	0.014	0.4486	0.5373		
p1k_00047	5195242	4348999	180	76509	0	0	0	0	7940	0	0	0	0	534561	136763	90290	83.71119189442956	5195242.0	5118733.0	98.53	76509.0	1.47	p1k_00047_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5195242.0	0.0	20-76	52.0	27.758254842834237	75.15725619711266	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	5200630	641336	5200630	392982390	510337	391507295	0.3753590587099844	0.0149	0.4635	0.5216		
p1k_00048	6119800	5057220	215	93105	0	0	0	0	18725	0	0	0	0	661665	174506	114364	82.63701428151246	6119800.0	6026695.0	98.48	93105.0	1.52	p1k_00048_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6119800.0	0.0	20-76	52.0	25.520996683876007	75.15387953854702	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6125210	754496	6125210	462867116	614365	461163443	0.3680695692368001	0.0155	0.4636	0.5209		
p1k_00049	7968852	6393013	8946	234682	0	0	0	0	18191	0	0	0	0	926455	231933	155632	80.22501860995787	7968852.0	7734170.0	97.06	234682.0	2.94	p1k_00049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7968852.0	0.0	20-76	52.0	25.719349203502183	75.13530531122927	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7981080	1032230	7981080	603297125	1641523	600360028	0.4868408746353631	0.0172	0.4492	0.5336		
p1k_00050	8038655	6285665	452	163808	0	0	0	0	38684	0	0	0	0	959978	334962	255106	78.19299372842845	8038655.0	7874847.0	97.96	163808.0	2.04	p1k_00050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8038655.0	0.0	20-31	51.0	14.8445560266784	30.44937629491501	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	8100145	1077387	8100145	251104495	5735222	244054432	2.807621185753764	0.0412	0.4527	0.5061		
p1k_00051	9151866	7110316	2252	102408	0	0	0	0	41802	0	0	0	0	1227621	373941	293526	77.69252740370106	9151866.0	9049458.0	98.88	102408.0	1.12	p1k_00051_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9151866.0	0.0	20-31	51.0	14.608278086600018	30.45083691129219	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	9224375	1189905	9224375	285955625	5935754	278575897	2.580724893941149	0.0401	0.4597	0.5002		
p1k_00052	9207222	6976136	928	560242	0	0	0	0	20535	0	0	0	0	1114935	308151	226295	75.76808726888522	9207222.0	8646980.0	93.92	560242.0	6.08	p1k_00052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9207222.0	0.0	20-31	53.0	37.019637668546814	30.02092824524053	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9351020	1363381	9351020	289881620	10089377	278082307	4.070390182033617	0.0338	0.437	0.5292		
p1k_00053	10114106	7085417	916	1362757	0	0	0	0	16907	0	0	0	0	1105621	331052	211436	70.0548026686689	10114106.0	8751349.0	86.53	1362757.0	13.47	p1k_00053_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10114106.0	0.0	20-31	53.0	54.181306841135566	29.682063644577187	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass	2.6	10429535	1741730	10429535	323315585	17503453	303602948	6.097026532141963	0.0335	0.4388	0.5277		
p1k_00054	9372620	7095988	3617	132013	0	0	0	0	52630	0	0	0	0	1474649	369061	244662	75.70975885078025	9372620.0	9240607.0	98.59	132013.0	1.41	p1k_00054_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9372620.0	0.0	20-31	51.0	19.123365761307426	30.397319639545827	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	9437466	1229923	9437466	292561446	6114984	284946444	2.602872697040197	0.053	0.4575	0.4895		
