Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
p1k_00001	6372886	4580247	53735	229666	0	0	0	0	164092	0	0	0	0	828755	260082	256309	71.87084470050146	6372886.0	6143220.0	96.4	229666.0	3.6	p1k_00001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6372886.0	0.0	20-30	52.0	24.41006528369112	29.526617454007493	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6496162	2056266	6496162	201381022	10060007	188572802	6.360192173421386	0.0399	0.4468	0.5133		
p1k_00002	4346353	3183361	26601	199565	0	0	0	0	85134	0	0	0	0	457133	181790	212769	73.24211816205448	4346353.0	4146788.0	95.41	199565.0	4.59	p1k_00002_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4346353.0	0.0	20-30	51.0	27.76035028870588	29.421424812940877	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	4394188	1383413	4394188	136219828	6035575	128348546	5.778367302005403	0.0409	0.4453	0.5138		
p1k_00003	11421794	8766507	5167	179345	0	0	0	0	12588	0	0	0	0	1825105	323835	309247	76.75245237306854	11421794.0	11242449.0	98.43	179345.0	1.57	p1k_00003_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11421794.0	0.0	20-31	52.0	19.003328362239483	30.326628461343287	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	11445313	1513488	11445313	354804703	6338224	346636233	2.3022440037949554	0.0261	0.5113	0.4626		
p1k_00004	10539531	7948109	2908	131778	0	0	0	0	4483	0	0	0	0	1984505	249924	217824	75.41235943041488	10539531.0	10407753.0	98.75	131778.0	1.25	p1k_00004_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10539531.0	0.0	20-31	52.0	14.343977263901166	30.46030852796012	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	10563549	1411164	10563549	327470019	6001546	319757327	2.355236068191024	0.0234	0.5314	0.4452		
p1k_00005	10713890	8153915	1175	562512	0	0	0	0	41171	0	0	0	0	1333527	355955	265635	76.10601751558023	10713890.0	10151378.0	94.75	562512.0	5.25	p1k_00005_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10713890.0	0.0	20-31	51.0	15.876551529280851	30.45475070212593	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10848313	1439302	10848313	336297703	8690930	325858317	3.1042097245606226	0.0314	0.455	0.5135		
p1k_00006	8880301	6723943	1569	510706	0	0	0	0	35416	0	0	0	0	1133212	289581	185874	75.7175122780185	8880301.0	8369595.0	94.25	510706.0	5.75	p1k_00006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8880301.0	0.0	20-31	52.0	21.067760455116385	30.29758844886001	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9037985	1199445	9037985	280177535	8349883	270366795	3.501615502470603	0.0325	0.455	0.5124		
p1k_00007	11279512	8603823	3708	170293	0	0	0	0	8027	0	0	0	0	1876794	330380	286487	76.27832658008609	11279512.0	11109219.0	98.49	170293.0	1.51	p1k_00007_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11279512.0	0.0	20-31	53.0	20.80397950998205	30.309303097509893	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	11303219	1506428	11303219	350399789	6423699	342148845	2.354722879128218	0.0282	0.5077	0.4641		
p1k_00008	11767212	8957314	2215	150293	0	0	0	0	4602	0	0	0	0	2136013	284705	232070	76.12095371443975	11767212.0	11616919.0	98.72	150293.0	1.28	p1k_00008_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11767212.0	0.0	20-31	52.0	17.679463559539386	30.33914048629361	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	11791043	1540767	11791043	365522333	6390710	357267590	2.2583416264198557	0.0243	0.5273	0.4484		
p1k_00009	10556680	7850232	1766	595176	0	0	0	0	26254	0	0	0	0	1583591	308122	191539	74.36269736318616	10556680.0	9961504.0	94.36	595176.0	5.64	p1k_00009_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10556680.0	0.0	20-31	52.0	20.33267556547034	30.310887892784475	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10702587	1409451	10702587	331780197	8836260	321222269	3.1822055974003773	0.0304	0.4796	0.49		
p1k_00010	10032103	7399068	1980	504705	0	0	0	0	56711	0	0	0	0	1593984	298317	177338	73.75390782969433	10032103.0	9527398.0	94.97	504705.0	5.03	p1k_00010_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10032103.0	0.0	20-31	52.0	16.695532827791375	30.458130065052163	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10191100	1338900	10191100	315924100	8602587	305687623	3.2401697116490955	0.0304	0.4813	0.4883		
p1k_00011	10673671	8461697	1930	159726	0	0	0	0	10781	0	0	0	0	1343361	357847	338329	79.27635206294067	10673671.0	10513945.0	98.5	159726.0	1.5	p1k_00011_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10673671.0	0.0	20-31	51.0	17.77210659410987	30.44493520551645	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10705755	1419747	10705755	331878405	6638143	323503075	2.523614032675612	0.0305	0.4652	0.5043		
p1k_00012	10810317	8632967	1252	130681	0	0	0	0	9978	0	0	0	0	1343119	358182	334138	79.8585924908585	10810317.0	10679636.0	98.79	130681.0	1.21	p1k_00012_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10810317.0	0.0	20-31	53.0	19.01882272652426	30.32129825610109	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10835549	1405070	10835549	335902019	6158300	328032197	2.342892139627181	0.0303	0.463	0.5067		
p1k_00013	7211277	3276581	427	3142439	0	0	0	0	3774	0	0	0	0	538419	172828	76809	45.4369038937209	7211277.0	4068838.0	56.42	3142439.0	43.58	p1k_00013_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7211277.0	0.0	20-31	52.0	86.59319848987231	28.957253479515487	pass	fail	fail	warn	fail	pass	pass	warn	pass	pass	pass	2.6	8328676	1820123	8328676	258188956	36639356	219216620	15.09450156342086	0.034	0.4595	0.5065		
p1k_00014	9709633	6542010	728	1565155	0	0	0	0	6191	0	0	0	0	1123041	351594	120914	67.37649095491045	9709633.0	8144478.0	83.88	1565155.0	16.12	p1k_00014_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9709633.0	0.0	20-31	50.0	15.90864489804324	29.93153489941381	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10233764	4370518	10233764	317246684	20085857	291346029	8.1642003860945	0.0299	0.4743	0.4959		
p1k_00015	10675400	8483327	2267	179822	0	0	0	0	9170	0	0	0	0	1343325	363700	293789	79.46612773291866	10675400.0	10495578.0	98.32	179822.0	1.68	p1k_00015_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10675400.0	0.0	20-31	51.0	16.829353569016238	30.41218951983064	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10711415	1446643	10711415	332053865	6743989	323536231	2.5651362317375828	0.0302	0.463	0.5068		
p1k_00016	8610540	6742388	816	144587	0	0	0	0	15964	0	0	0	0	1105739	415609	185437	78.30389267107522	8610540.0	8465953.0	98.32	144587.0	1.68	p1k_00016_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8610540.0	0.0	20-31	52.0	22.487876674382814	29.8778114961431	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	8635899	3565929	8635899	267712869	5353680	257513460	3.809831420543328	0.032	0.4614	0.5066		
p1k_00017	10980944	8703606	1067	183774	0	0	0	0	14508	0	0	0	0	1371148	365488	341353	79.26099978289662	10980944.0	10797170.0	98.33	183774.0	1.67	p1k_00017_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10980944.0	0.0	20-31	53.0	20.18965242104708	30.290639129022058	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	11011905	1453377	11011905	341369055	6629177	332960940	2.4630571742948404	0.0294	0.4648	0.5058		
p1k_00018	9904977	7917434	2027	152833	0	0	0	0	11223	0	0	0	0	1177222	323025	321213	79.93389585861735	9904977.0	9752144.0	98.46	152833.0	1.54	p1k_00018_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9904977.0	0.0	20-31	53.0	20.254176444900445	30.316159239945737	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9930142	1287480	9930142	307834402	5735833	300528274	2.373395550507704	0.0287	0.4623	0.509		
p1k_00019	7946523	6494107	985	95385	0	0	0	0	1713	0	0	0	0	1036329	199826	118178	81.72262258600396	7946523.0	7851138.0	98.8	95385.0	1.2	p1k_00019_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7946523.0	0.0	20-76	52.0	20.07944773915509	75.21496005233988	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7953402	953760	7953402	601200943	737221	599286369	0.3184582496571367	0.0137	0.4781	0.5081		
p1k_00020	8027816	6474752	1107	107246	0	0	0	0	2505	0	0	0	0	1115573	201352	125281	80.65396615966284	8027816.0	7920570.0	98.66	107246.0	1.34	p1k_00020_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8027816.0	0.0	20-76	52.0	21.28854220695088	75.29452394025972	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8039029	652122	8039029	607651741	284530	606532879	0.1841288232234325	0.0142	0.4797	0.5061		
p1k_00021	7809038	6392575	513	143712	0	0	0	0	2174	0	0	0	0	958212	236117	75735	81.86123566052567	7809038.0	7665326.0	98.16	143712.0	1.84	p1k_00021_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7809038.0	0.0	20-76	52.0	21.524291245597837	74.48435184974129	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	7815384	3903394	7815384	590916050	166757	585708213	0.8813158823491086	0.0144	0.48	0.5056		
p1k_00022	8790564	7140477	689	185595	0	0	0	0	2058	0	0	0	0	1154558	208829	98358	81.22888360746819	8790564.0	8604969.0	97.89	185595.0	2.11	p1k_00022_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8790564.0	0.0	20-76	52.0	19.477970931293	75.21665117278027	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	8797292	682029	8797292	665145182	134890	664146138	0.1501993891011902	0.0149	0.4807	0.5044		
p1k_00023	6250510	4824836	1142	97860	0	0	0	0	2090	0	0	0	0	1081994	150754	91834	77.19107720809983	6250510.0	6152650.0	98.43	97860.0	1.57	p1k_00023_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6250510.0	0.0	20-76	52.0	20.404614949730416	75.19698904569387	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6256504	492170	6256504	473059028	92270	472356750	0.1484546237219259	0.0135	0.4858	0.5007		
p1k_00024	7164233	5536686	1554	106219	0	0	0	0	1542	0	0	0	0	1247703	173726	96803	77.28232736149145	7164233.0	7058014.0	98.52	106219.0	1.48	p1k_00024_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7164233.0	0.0	20-76	52.0	19.402624414395817	75.30929465861873	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	7170760	564440	7170760	542184927	122875	541362904	0.1516130307325935	0.0139	0.4797	0.5064		
p1k_00025	8115030	6078360	3271	206831	0	0	0	0	1630	0	0	0	0	1535094	198672	91172	74.90249573938729	8115030.0	7908199.0	97.45	206831.0	2.55	p1k_00025_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8115030.0	0.0	20-76	52.0	17.847861439475622	75.30989164550223	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8126768	637284	8126768	614425064	154465	613415464	0.1643162135065505	0.015	0.4978	0.4871		
p1k_00026	5845829	4415187	1190	162207	0	0	0	0	1187	0	0	0	0	1042739	141843	81476	75.527132251046	5845829.0	5683622.0	97.23	162207.0	2.77	p1k_00026_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5845829.0	0.0	20-76	52.0	21.79799961981172	75.19031021947443	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	5854610	457035	5854610	442624381	123334	441878887	0.1684258780132584	0.0152	0.4954	0.4894		
p1k_00027	8792332	5410228	352556	495093	0	0	0	0	191849	0	0	0	0	1746473	290419	305714	61.53348167471383	8792332.0	8297239.0	94.37	495093.0	5.63	p1k_00027_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8792332.0	0.0	20-30	52.0	20.21758105648452	29.370347252583272	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8879503	2236696	8879503	275264593	10358213	261776711	4.899969826486183	0.0347	0.4839	0.4814		
p1k_00028	8452621	5156847	556086	228719	0	0	0	0	202170	0	0	0	0	1744897	268579	295323	61.00885157396741	8452621.0	8223902.0	97.29	228719.0	2.71	p1k_00028_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8452621.0	0.0	20-30	52.0	18.583938897482422	29.40874410434349	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8527195	2158860	8527195	264343045	9905182	251083439	5.016060097211939	0.0333	0.4712	0.4955		
p1k_00029	6901687	4975355	1374	399717	0	0	0	0	124957	0	0	0	0	882820	254584	262880	72.08896897236863	6901687.0	6501970.0	94.21	399717.0	5.79	p1k_00029_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6901687.0	0.0	20-30	52.0	23.07755367616856	29.4267733381708	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6969271	2056552	6969271	216047401	7327178	205498350	4.882748392793672	0.0376	0.456	0.5063		
p1k_00030	9737032	6691168	309952	627670	0	0	0	0	180065	0	0	0	0	1208389	353285	366503	68.71876358216754	9737032.0	9109362.0	93.55	627670.0	6.45	p1k_00030_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9737032.0	0.0	20-30	52.0	19.87506125078212	29.55195001926665	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	9832264	2906329	9832264	304800184	10302185	289752752	4.936818542078045	0.0376	0.4392	0.5231		
p1k_00031	4907936	3501280	58343	151116	0	0	0	0	111836	0	0	0	0	719831	184945	180585	71.33915356679468	4907936.0	4756820.0	96.92	151116.0	3.08	p1k_00031_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4907936.0	0.0	20-30	52.0	25.560641772252414	29.565330721509	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	4954483	1474713	4954483	153588973	5126513	146058839	4.90278296215966	0.0406	0.4631	0.4963		
p1k_00032	7570460	5336736	51847	352322	0	0	0	0	160530	0	0	0	0	1102021	283295	283709	70.49421039144252	7570460.0	7218138.0	95.35	352322.0	4.65	p1k_00032_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7570460.0	0.0	20-30	51.0	19.83741825733793	29.485296666252776	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	7648208	2282009	7648208	237094448	7900756	225554906	4.867065465826513	0.0402	0.4669	0.4929		
